N	4gram	Bakhtin_Pr_1	Formalny
1	в то же время	3	7
2	бы то ни было	2	4
3	и не может быть	1	3
4	и в то же	2	2
5	с точки зрения самого	2	2
6	не нуждается ни в	1	2
7	на самом же деле	1	2
8	мы можем сказать что	1	1
9	не может и не	2	1
10	и в других областях	1	1
11	а вовсе не как	1	1
12	в настоящее время в	1	1
13	может быть определен в	1	1
14	может иметь место в	1	1
15	ни в коем случае	2	1
16	ее художественного воплощения в	1	1
17	в его лингвистической определенности	3	1
18	в коем случае не	2	1
19	о которых идет речь	1	1
20	от одного к другому	1	1
21	язык в его лингвистической	1	1
22	отсюда отнюдь не следует	1	1
23	имеет место и у	1	1
24	не в том что	1	1
25	что в его состав	1	1
26	с точки зрения одной	1	1
27	отнюдь не следует что	1	1
28	иметь в виду что	1	1
29	в связи с теорией	1	1
30	чего бы то ни	1	1
31	и тем не менее	1	1
32	дело в том что	1	1
33	которые могут быть выделены	1	1
34	по отношению к данному	1	1
35	не выходит за пределы	1	1
36	может быть понята как	1	1
