N	2gram	Losev_Vlad_2	VrazhdaK
1	в году	24	18
2	в бесах	1	10
3	не только	12	9
4	и достоевского	1	9
5	в этом	20	8
6	и в	30	8
7	и что	5	8
8	но и	8	7
9	и все	7	7
10	года в	6	7
11	то что	20	7
12	что в	12	7
13	все же	9	6
14	но в	8	6
15	в нем	4	6
16	как и	5	6
17	в котором	5	6
18	и с	14	6
19	о нем	2	6
20	в начале	4	6
21	и даже	10	6
22	то же	4	5
23	об этом	6	5
24	в то	9	5
25	александра ii	2	5
26	же время	3	5
27	в письме	8	5
28	у него	19	5
29	не было	10	5
30	в россии	3	5
31	и не	18	5
32	в ней	4	4
33	что он	13	4
34	целый ряд	1	4
35	в вестнике	2	4
36	при этом	5	4
37	это не	2	4
38	несмотря на	4	4
39	февраля года	1	4
40	все это	5	4
41	письме к	4	4
42	вестнике европы	2	4
43	в виду	2	4
44	во многом	1	4
45	с ним	5	4
46	о том	4	4
47	для нас	7	4
48	у достоевского	2	4
49	уже в	3	4
50	может быть	7	4
51	он считал	1	4
52	как бы	5	4
53	летом года	6	4
54	в своих	2	4
55	так же	4	4
56	одним из	1	3
57	который был	2	3
58	я не	4	3
59	он был	6	3
60	в чем	2	3
61	с его	4	3
62	в своем	8	3
63	и как	3	3
64	в этот	1	3
65	на то	2	3
66	его в	4	3
67	он не	4	3
68	в париже	6	3
69	далеко не	1	3
70	том что	12	3
71	январе года	1	3
72	но он	3	3
73	в русской	1	3
74	года он	10	3
75	и его	6	3
76	связи с	8	3
77	и о	4	3
78	и во	2	3
79	в его	11	3
80	в том	18	3
81	в январе	2	3
82	апреля года	1	3
83	чтобы он	1	3
84	в конце	13	3
85	тем что	1	3
86	в связи	8	3
87	в те	4	3
88	эти слова	1	3
89	наряду с	2	3
90	имел в	1	3
91	в петербург	5	3
92	марта года	4	3
93	я хотел	2	3
94	к этому	6	3
95	отношения к	3	2
96	и то	5	2
97	но после	1	2
98	и он	4	2
99	он сам	2	2
100	но как	1	2
101	в эти	7	2
102	он пишет	2	2
103	человека с	1	2
104	в той	2	2
105	его на	3	2
106	мая года	2	2
107	ноябре года	1	2
108	за границей	1	2
109	в письмах	1	2
110	июня в	1	2
111	в этой	4	2
112	в себе	6	2
113	влюбился в	1	2
114	время и	1	2
115	после этого	1	2
116	их в	2	2
117	великого князя	1	2
118	таким образом	3	2
119	об этой	1	2
120	в глазах	1	2
121	в них	3	2
122	рядом с	1	2
123	мы знаем	4	2
124	не мог	8	2
125	на первый	2	2
126	во время	1	2
127	точки зрения	7	2
128	в своей	5	2
129	и ее	1	2
130	с точки	3	2
131	место в	1	2
132	письмо к	2	2
133	не менее	7	2
134	европы №	3	2
135	том же	3	2
136	ноября года	1	2
137	никогда не	7	2
138	в мае	1	2
139	м м	4	2
140	приехал в	1	2
141	и это	3	2
142	году в	1	2
143	в в	1	2
144	так в	1	2
145	еще не	1	2
146	он писал	1	2
147	а также	10	2
148	там же	12	2
149	мае года	1	2
150	личные отношения	1	2
151	тем более	3	2
152	после смерти	4	2
153	с нею	1	2
154	уже не	3	2
