N	2gram	Kanaev_Sov_1	NovoeSre
1	а не	3	17
2	и в	7	16
3	не может	17	16
4	совсем не	1	12
5	и не	6	11
6	и есть	2	10
7	что в	2	9
8	в том	4	8
9	жизни и	4	8
10	он не	1	8
11	в этом	7	7
12	может быть	12	7
13	не будет	1	7
14	как и	6	7
15	с его	1	6
16	не в	3	6
17	ни в	1	6
18	никогда не	1	6
19	но это	1	6
20	не знает	1	6
21	должен быть	1	5
22	с ее	1	5
23	в ней	1	5
24	и к	3	5
25	не только	4	5
26	xix века	1	5
27	все это	3	5
28	в нем	3	5
29	новое время	1	4
30	о том	1	4
31	и мы	3	4
32	жизни к	1	4
33	это не	4	4
34	прежде всего	5	4
35	не было	1	4
36	должно быть	1	4
37	и потому	3	4
38	значит что	1	4
39	не менее	2	4
40	и для	1	4
41	не имеет	1	4
42	и все	3	4
43	с другой	1	3
44	начало нового	1	3
45	вопрос о	4	3
46	человека и	1	3
47	и начало	1	3
48	еще не	3	3
49	во всех	1	3
50	конечно не	1	3
51	в мире	1	3
52	и пр	2	3
53	в новое	1	3
54	она не	1	3
55	что такое	2	3
56	жизни не	1	3
57	жизни в	1	3
58	в духе	1	3
59	сказать что	1	3
60	и это	1	2
61	же как	1	2
62	это и	1	2
63	роль в	2	2
64	не имеют	1	2
65	можно было	1	2
66	от старого	1	2
67	времени и	2	2
68	мы не	9	2
69	жизни как	1	2
70	и должно	1	2
71	и что	2	2
72	быть в	1	2
73	но не	1	2
74	все время	1	2
75	с этим	2	2
76	хотя и	1	2
77	но в	3	2
78	все эти	5	2
79	с одной	2	2
80	в себе	3	2
81	уже не	2	2
82	у него	2	2
83	что она	3	2
84	что все	2	2
85	нет и	4	2
86	и даже	2	2
87	и т.п	1	2
88	этом смысле	1	2
89	в природе	1	2
90	и начала	1	2
91	для чего	1	2
92	том что	1	2
93	вместе с	4	2
94	так же	1	2
95	мы говорим	1	2
96	одной стороны	1	2
97	не погиб	1	2
98	центр тяжести	1	2
99	такого рода	2	2
100	по существу	1	2
101	если нет	1	2
102	xviii века	1	2
103	ни одна	2	2
104	такой же	2	2
105	но для	1	2
106	равно как	1	2
107	в то	1	2
108	одна из	3	2
109	мысли в	1	2
110	и от	1	2
111	все они	1	2
112	а в	4	2
113	в будущем	1	2
114	ли это	1	2
115	когда мы	3	2
116	могут быть	2	2
117	свободы и	1	2
118	не хотим	1	2
119	можно назвать	2	2
120	оно может	1	1
121	она через	1	1
122	лишь там	1	1
123	он может	3	1
124	по преимуществу	1	1
125	приводит к	2	1
126	и до	1	1
127	то нужно	1	1
128	стремится быть	1	1
129	мы уже	1	1
130	во многом	1	1
131	все свои	1	1
132	она совсем	1	1
133	еще в	1	1
134	может осуществить	1	1
135	совершенно невозможно	1	1
136	с ним	1	1
137	говорить о	2	1
138	мы всегда	1	1
139	только так	2	1
140	разобраться в	1	1
141	зависимости от	4	1
142	же мере	1	1
143	на них	1	1
144	на их	2	1
145	что его	1	1
146	и во	2	1
147	по многим	1	1
148	не могут	2	1
149	в которую	2	1
150	к нему	1	1
151	то он	1	1
152	в его	2	1
153	отличие от	2	1
154	и только	1	1
155	к которому	1	1
156	в своем	1	1
157	как например	1	1
158	и нет	1	1
159	известном смысле	1	1
160	стал совершенно	1	1
161	человека в	1	1
162	иметь только	1	1
163	только в	1	1
164	в этот	1	1
165	то нет	1	1
166	в самом	2	1
167	к чему	2	1
168	перестал быть	1	1
169	он в	3	1
170	из этих	2	1
171	в известном	1	1
172	должны стремиться	1	1
173	и у	1	1
174	мира но	1	1
175	уже в	3	1
176	в большинстве	1	1
177	быть таким	1	1
178	из них	4	1
179	бы к	1	1
180	и их	1	1
181	всяком случае	2	1
182	к одному	1	1
183	сами по	1	1
184	в конце	3	1
185	но ведь	1	1
186	не случайно	1	1
187	заключает в	1	1
188	в основу	1	1
189	но все	2	1
190	это конечно	1	1
191	и природа	1	1
192	это значит	1	1
193	значение в	2	1
194	том случае	1	1
195	из всех	1	1
196	говорим о	2	1
197	и из	1	1
198	на ее	1	1
199	нельзя сказать	1	1
200	было бы	3	1
201	а это	1	1
202	весь мир	1	1
203	в отличие	2	1
204	на поверхности	1	1
205	для них	1	1
206	нет в	1	1
207	хотим сказать	1	1
208	а на	2	1
209	они не	1	1
210	в этой	3	1
211	этого не	1	1
212	не быть	1	1
213	ее на	2	1
214	и еще	1	1
215	в эту	1	1
216	может иметь	2	1
217	но если	1	1
218	и особенно	1	1
219	в такой	1	1
220	мы конечно	1	1
221	на это	1	1
222	что вся	1	1
223	мы в	1	1
224	и красота	1	1
225	у нас	3	1
226	мы опять	1	1
227	в зависимости	4	1
228	времени не	1	1
229	быть только	1	1
230	мы должны	4	1
231	и более	1	1
232	их в	4	1
233	по себе	1	1
234	совершенно так	1	1
235	и вся	1	1
236	сих пор	1	1
237	так как	4	1
238	системы этот	1	1
239	это уже	1	1
240	века можно	1	1
241	до сих	1	1
242	этой системы	1	1
243	и философы	1	1
244	или нет	1	1
245	и равенства	1	1
246	есть такой	1	1
247	и его	1	1
248	века с	1	1
249	так называемый	1	1
250	все более	1	1
251	есть реакция	1	1
252	в области	3	1
253	только одна	6	1
254	в свою	2	1
255	но можно	1	1
256	того же	1	1
257	ли он	1	1
258	в которой	2	1
259	жизни мы	2	1
260	во всяком	2	1
261	то они	1	1
262	все что	1	1
