N	2gram	Bakhtin_KF_1	RusskieA
1	и в	24	29
2	том что	4	22
3	в том	6	22
4	что в	4	22
5	как бы	9	18
6	так как	1	13
7	может быть	45	13
8	в этом	14	11
9	как и	5	11
10	одна из	1	11
11	в этот	1	10
12	не только	5	10
13	и с	1	10
14	все это	10	10
15	о том	3	9
16	а в	4	9
17	его в	5	8
18	но и	9	8
19	ее в	1	8
20	как в	2	7
21	или в	1	7
22	мы имеем	5	6
23	мы не	3	6
24	еще не	4	6
25	и на	3	6
26	при этом	4	6
27	того чтобы	2	6
28	для нас	4	6
29	для того	3	6
30	с тем	2	6
31	вместе с	1	6
32	в данном	2	6
33	же в	1	6
34	но не	12	5
35	но в	5	5
36	это не	10	5
37	не может	27	5
38	потому что	2	5
39	для этого	2	5
40	то что	7	5
41	с ней	1	5
42	к этому	2	5
43	то же	5	4
44	вопрос о	2	4
45	уже не	7	4
46	их в	1	4
47	том же	1	4
48	а затем	1	4
49	а за	1	4
50	не в	12	4
51	тогда когда	3	4
52	к нему	12	4
53	в виде	2	4
54	именно в	5	4
55	а не	17	4
56	как это	1	4
57	этих случаях	1	4
58	и все	7	4
59	и о	1	3
60	в ее	16	3
61	только тогда	1	3
62	что ее	1	3
63	что это	3	3
64	все эти	10	3
65	в этой	2	3
66	что она	1	3
67	главным образом	1	3
68	и по	1	3
69	на этом	1	3
70	и других	2	3
71	живет в	1	3
72	должен был	1	3
73	в эту	1	3
74	в этих	1	3
75	в котором	24	3
76	не будем	1	3
77	но он	1	3
78	и под	2	3
79	она не	1	3
80	не имеет	5	3
81	и другой	1	3
82	во всех	11	3
83	а именно	1	3
84	того что	3	3
85	между тем	4	3
86	в качестве	2	3
87	связь с	1	3
88	друг друга	1	3
89	где есть	1	3
90	тем что	3	3
91	по всей	1	3
92	до конца	3	3
93	для этой	3	3
94	и от	1	3
95	было бы	8	3
96	мы здесь	2	2
97	и то	2	2
98	на самом	3	2
99	в стороне	1	2
100	это и	2	2
101	так чтобы	1	2
102	не был	1	2
103	а он	1	2
104	а через	1	2
105	с этим	1	2
106	ней в	1	2
107	все же	5	2
108	и как	2	2
109	не было	8	2
110	не можем	1	2
111	та же	2	2
112	в которой	1	2
113	под ним	2	2
114	если он	1	2
115	как оно	2	2
116	не к	1	2
117	людей и	2	2
118	здесь мы	4	2
119	об этом	1	2
120	обе стороны	1	2
121	смерть и	1	2
122	из нее	1	2
123	должно быть	6	2
124	в своей	10	2
125	в их	8	2
126	нечто вроде	2	2
127	имеем не	1	2
128	тем не	2	2
129	не менее	3	2
130	в то	3	2
131	дело не	2	2
132	никогда не	5	2
133	к ней	1	2
134	во всем	7	2
135	к таким	1	2
136	в момент	3	2
137	когда мы	1	2
138	игра в	1	2
139	должен быть	7	2
140	в виду	3	2
141	не с	1	2
142	жизнь и	2	2
143	образом в	1	2
144	а к	1	2
145	с другим	1	2
146	все в	1	2
147	связь между	1	2
148	ее от	1	2
149	что и	7	2
150	в него	2	2
151	он есть	1	2
152	один из	2	2
153	совсем не	2	2
154	в разные	1	2
155	и ее	2	2
156	или просто	1	2
157	одно из	1	2
158	смерти и	1	2
159	чем в	1	2
