N	3gram	Bakhtin_sl_2	Vladivir
1	о том что	1	7
2	в том что	4	7
3	то же время	4	4
4	на то что	1	4
5	в то же	4	4
6	том что в	1	3
7	более или менее	2	3
8	что он не	1	3
9	с другой стороны	1	3
10	не может быть	15	3
11	как мы уже	2	3
12	он не только	1	2
13	на первый план	1	2
14	и в то	1	2
15	не только в	2	2
16	во всяком случае	2	2
17	мы уже сказали	1	2
18	он как мы	1	2
19	тем не менее	1	2
20	для того чтобы	2	2
21	том что он	1	2
22	и т д	2	2
23	как к своему	1	1
24	а следовательно и	1	1
25	в чем не	2	1
26	с ним но	1	1
27	и в особенности	2	1
28	глубокого и тонкого	1	1
29	несколько слов о	2	1
30	как это было	1	1
31	и не может	1	1
32	и в дальнейшем	1	1
33	но все это	1	1
34	именно так как	1	1
35	бы она ни	1	1
36	факт что уже	1	1
37	он никогда не	1	1
38	говорить только с	1	1
39	но в то	3	1
40	с одной стороны	5	1
41	и в историческом	1	1
42	в связи с	2	1
43	а также и	2	1
44	но во всем	1	1
45	а в том	1	1
46	и ни в	1	1
47	ни в чем	2	1
48	так и в	3	1
49	в свою очередь	2	1
50	еще вовсе не	1	1
51	выходят за пределы	1	1
52	может быть также	1	1
53	не только не	1	1
54	можно говорить только	1	1
55	же время и	1	1
56	только в более	1	1
57	в известной степени	1	1
58	уже не только	1	1
59	что как раз	1	1
60	чувствует себя в	1	1
61	одно без другого	1	1
62	во всем его	1	1
63	уже не было	1	1
64	в этом отношении	3	1
65	только с помощью	1	1
66	также и в	1	1
