1	с точки зрения	3	5
2	по отношению к	2	3
3	есть прежде всего	1	3
4	что иное как	1	2
5	с самого начала	1	2
6	не что иное	1	2
7	ничего общего с	1	2
8	в том что	3	2
9	есть не что	1	2
10	в данном случае	1	2
11	то что в	2	1
12	говорить не приходится	1	1
13	и в его	2	1
14	в последнем счете	1	1
15	а также и	1	1
16	все то что	3	1
17	в разных местах	1	1
18	мы уже видели	2	1
19	не может иметь	1	1
20	в изобразительных искусствах	1	1
21	еще тем что	1	1
22	на происшедший в	1	1
23	в связи с	1	1
24	в чем же	1	1
25	вовсе не на	1	1
26	определяет выбор и	1	1
27	можно было бы	2	1
28	в этом отношении	2	1
29	же время в	1	1
30	только и может	1	1
31	то же самое	1	1
32	прежде всего в	4	1
33	более или менее	2	1
34	в чем его	1	1
35	в то же	9	1
36	во всем своем	1	1
37	и в каждой	2	1
38	что в этом	1	1
39	не должно быть	2	1
40	на самом деле	1	1
41	то же время	9	1
42	в связи со	1	1
43	нужно сказать что	1	1
44	выходит за пределы	1	1
45	и находит свое	1	1
46	таким образом мы	1	1
47	как и в	2	1
48	но в то	3	1
