N	3gram	Tiupa_Narr_1	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	5	7
4	с одной стороны	7	6
5	в конечном счете	2	5
6	в том что	8	5
7	состоит в том	3	4
8	с другой стороны	4	4
9	в хх веке	1	4
10	с точки зрения	2	3
11	в этом отношении	3	3
12	в данном случае	4	3
13	в том чтобы	1	3
14	по отношению к	6	3
15	речь идет о	2	3
16	на наш взгляд	1	3
17	о том что	6	2
18	присутствия в мире	2	2
19	подобно тому как	2	2
20	в русской литературе	1	2
21	по крайней мере	1	2
22	в первый раз	1	2
23	в равной степени	1	2
24	в свое время	1	2
25	поскольку речь идет	1	2
26	в том числе	6	2
27	тем не менее	3	2
28	при всей своей	2	2
29	себя в другом	1	1
30	том что в	1	1
31	то в его	1	1
32	не могло не	1	1
33	и когда он	1	1
34	впрочем не столько	1	1
35	мы имеем дело	2	1
36	а не с	1	1
37	как и для	1	1
38	в соответствии с	1	1
39	то же самое	1	1
40	он не может	1	1
41	в отличие от	5	1
42	по отношению ко	1	1
43	в ценностном центре	1	1
44	когда же в	1	1
45	бы то ни	3	1
46	только то что	1	1
47	том числе и	4	1
48	можно было бы	2	1
49	а то и	1	1
50	в основе своей	4	1
51	то что было	1	1
52	принципиальное различие между	1	1
53	с этой точки	1	1
54	и то что	1	1
55	и в то	1	1
56	в качестве коммуникативной	1	1
57	именовал веком героев	1	1
58	гегель именовал веком	1	1
59	в своего рода	1	1
60	в данный момент	1	1
61	другого в себе	1	1
62	и представляет собой	2	1
63	является своего рода	1	1
64	в себя и	2	1
65	и не было	1	1
66	характеристике с.с аверинцева	1	1
67	имеем дело с	1	1
68	может быть представлена	1	1
69	прежде всего в	1	1
70	так и от	1	1
71	как нам представляется	1	1
72	одним из которых	1	1
73	из которых он	1	1
74	все то что	1	1
75	не мог бы	1	1
76	этой точки зрения	2	1
77	в не меньшей	1	1
78	в вечности и	1	1
79	оказывается всего лишь	2	1
80	в свою очередь	3	1
81	на самом деле	1	1
82	то есть в	2	1
83	никогда не бывает	1	1
84	и прежде всего	1	1
85	автора с читателем	1	1
86	той или иной	4	1
87	в этой системе	1	1
88	то ни было	3	1
89	данного текста как	1	1
90	идет не только	1	1
91	а с другой	1	1
92	а во второй	1	1
93	в тексте не	1	1
94	не меньшей степени	1	1
95	тех или иных	1	1
96	роль по отношению	1	1
97	тех кто не	1	1
98	в себе не	1	1
99	до сего времени	1	1
100	как мы видели	1	1
