N	3gram	Vinokur_St_3	EvropaiC
1	в том что	11	16
2	до сих пор	2	12
3	с точки зрения	4	8
4	на самом деле	1	7
5	на то что	3	7
6	более или менее	1	7
7	для того чтобы	1	6
8	в самом деле	1	5
9	о том что	4	4
10	в конце концов	3	4
11	с другой стороны	4	4
12	в этой области	2	4
13	тем не менее	2	4
14	не может быть	5	4
15	заключается в том	2	3
16	так или иначе	1	3
17	в том же	1	3
18	таким образом в	1	3
19	в связи с	3	3
20	не может не	1	3
21	в том виде	1	2
22	в то же	3	2
23	с одной стороны	2	2
24	а с другой	2	2
25	что же касается	1	2
26	ответить на вопрос	1	2
27	но так как	1	2
28	что несмотря на	1	2
29	но все же	2	2
30	и может быть	1	2
31	он не может	1	2
32	во всех этих	2	2
33	то же время	3	2
34	вместе с тем	1	2
35	ко всему этому	1	2
36	принять во внимание	1	2
37	во всяком случае	4	2
38	в свою очередь	1	2
39	том что он	1	2
40	в этом и	1	1
41	это не так	2	1
42	то обстоятельство что	5	1
43	с самого начала	2	1
44	что все они	1	1
45	между тем как	2	1
46	одной и той	1	1
47	приводит к тому	1	1
48	благодаря тому что	1	1
49	должна была бы	2	1
50	и в конце	1	1
51	и для самого	1	1
52	того что в	1	1
53	не только не	1	1
54	не в том	3	1
55	одна из этих	1	1
56	иметь в виду	1	1
57	в другом случае	1	1
58	примеры показывают что	1	1
59	что это есть	2	1
60	тем более что	2	1
61	к тому что	2	1
62	и если бы	1	1
63	независимо от того	2	1
64	то же самое	1	1
65	тот или иной	1	1
66	как и вообще	1	1
67	то что эти	1	1
68	в дальнейшем же	1	1
69	но в сущности	1	1
70	состоит в том	3	1
71	том виде в	1	1
72	а как бы	1	1
73	что именно этот	1	1
74	и при помощи	1	1
75	и сам он	1	1
76	и той же	1	1
77	нельзя не отметить	1	1
78	все что мы	1	1
79	настолько сильна что	1	1
80	может быть не	1	1
81	все же он	1	1
82	и что если	1	1
83	этой области не	1	1
84	не знает что	1	1
85	а лишь о	1	1
86	что у него	1	1
87	это есть не	1	1
88	как мы видели	1	1
89	на пути к	1	1
90	только тогда когда	2	1
91	в лучшем случае	1	1
92	в одно целое	1	1
93	один общий тон	1	1
94	не говоря уже	1	1
95	то время как	4	1
96	но в целом	1	1
97	не менее в	1	1
98	а не в	1	1
99	является одним из	1	1
100	говоря уже о	1	1
101	и в другом	1	1
102	к ней и	1	1
103	по крайней мере	4	1
104	в то время	4	1
105	же он не	1	1
