N	2gram	Tiupa_Hudo_1	EvropaiE
1	и в	19	37
2	в отношении	3	32
3	в пределах	3	25
4	точки зрения	10	23
5	что в	6	21
6	не только	16	18
7	с точки	3	17
8	в то	6	16
9	то же	10	15
10	отношении к	2	15
11	в своем	2	14
12	но в	7	14
13	же время	5	14
14	в качестве	24	14
15	но и	10	14
16	и не	15	14
17	в этом	11	12
18	в их	5	11
19	в области	6	11
20	в том	18	11
21	так и	11	10
22	отнюдь не	2	9
23	в себе	9	9
24	только в	5	9
25	прежде всего	4	9
26	не может	7	9
27	так же	2	9
28	в ее	5	8
29	было бы	1	8
30	в своей	5	8
31	к тому	4	8
32	между тем	4	8
33	с одной	2	8
34	одной стороны	2	8
35	также и	1	7
36	а также	5	7
37	того что	4	7
38	так как	1	7
39	с другой	7	7
40	как и	2	7
41	по своему	2	7
42	может быть	14	6
43	и на	2	6
44	во всех	3	6
45	на то	1	6
46	то есть	18	6
47	том что	8	6
48	того чтобы	2	6
49	вслед за	1	6
50	вовсе не	2	6
51	для того	2	6
52	и даже	1	6
53	как бы	9	6
54	с этой	1	6
55	то что	4	6
56	же как	1	5
57	столь же	1	5
58	но не	11	5
59	не в	7	5
60	и по	2	5
61	но если	1	5
62	тем самым	4	5
63	как мы	1	5
64	одной из	2	5
65	со стороны	2	5
66	в частности	13	5
67	и потому	2	5
68	в той	3	5
69	этой точки	1	5
70	то в	2	4
71	в полной	1	4
72	в самом	5	4
73	во многих	1	4
74	то ни	1	4
75	того или	3	4
76	как совокупность	1	4
77	даже в	3	4
78	не имеет	1	4
79	и притом	3	4
80	иными словами	1	4
81	в перспективе	1	4
82	той или	4	4
83	бы то	1	4
84	по себе	2	4
85	можно сказать	5	4
86	тем более	1	4
87	именно в	2	4
88	ни было	1	4
89	или иной	7	4
90	не на	3	4
91	мира в	2	4
92	как это	5	4
93	сказать что	4	4
94	или иного	3	4
95	культуры в	2	4
96	в каком	2	4
97	в сфере	1	3
98	идет о	1	3
99	бы и	1	3
100	и со	1	3
101	того же	2	3
102	время в	1	3
103	как в	2	3
