N	2gram	Propp_Morf_1	Myshleni
1	в этом	14	29
2	точки зрения	2	28
3	и в	13	26
4	то что	8	24
5	не только	4	24
6	таким образом	21	23
7	с точки	2	21
8	того чтобы	3	19
9	представляет собой	17	19
10	в том	6	18
11	и не	12	18
12	для того	2	18
13	том что	4	17
14	потому что	3	16
15	как и	3	15
16	так же	3	14
17	того что	3	14
18	этом случае	8	14
19	как мы	6	14
20	так как	16	14
21	с помощью	1	13
22	и его	1	12
23	что в	8	12
24	в ходе	4	12
25	не может	14	11
26	но и	4	11
27	в которой	3	11
28	что они	2	10
29	в себе	1	9
30	в сущности	3	9
31	тем что	4	9
32	по своему	2	9
33	тому что	4	9
34	что мы	2	9
35	то же	7	8
36	ее в	1	8
37	сказать что	2	8
38	что она	2	8
39	что он	4	8
40	только в	2	8
41	с самого	1	7
42	и то	1	7
43	прежде всего	9	7
44	и к	4	7
45	к тому	4	7
46	самого начала	1	7
47	мы не	8	7
48	может быть	52	7
49	все эти	2	6
50	все же	7	6
51	вопрос о	7	6
52	как на	1	6
53	что это	1	6
54	в какой	3	6
55	что эта	2	6
56	самом деле	4	6
57	между собой	4	6
58	было бы	3	6
59	мы должны	3	6
60	во всех	4	6
61	и тем	2	6
62	и что	2	6
63	а не	11	6
64	по отношению	4	6
65	своему строению	1	6
66	как бы	3	6
67	и с	1	5
68	данном случае	1	5
69	можно сказать	2	5
70	в качестве	5	5
71	и для	2	5
72	отношению к	4	5
73	чем это	2	5
74	и их	2	5
75	как это	3	5
76	с тем	2	5
77	одно из	1	5
78	в начале	3	5
79	только что	2	5
80	что этот	1	5
81	на вопрос	2	5
82	в целом	3	5
83	с этой	1	5
84	мы нашли	1	5
85	в силу	1	5
86	если бы	2	5
87	одной стороны	1	5
88	же самое	1	5
89	с одной	1	5
90	оно есть	1	5
91	могли бы	1	5
92	она не	2	5
93	у нее	1	5
94	если мы	5	5
95	что с	1	5
96	в виду	1	5
97	в данном	1	5
98	друг друга	3	4
99	еще не	3	4
100	и наконец	1	4
101	должны быть	1	4
102	перейти к	2	4
103	связи с	10	4
104	не менее	5	4
105	на то	2	4
106	не по	2	4
107	отношение между	1	4
108	не в	3	4
109	приводит к	2	4
110	так что	1	4
111	в нашем	3	4
112	не можем	1	4
113	одной из	1	4
114	в той	1	4
115	в его	1	4
116	в момент	1	4
117	как в	3	4
118	это и	2	4
119	если в	5	4
120	о чем	1	4
121	показать что	4	4
122	не могут	4	4
123	но в	2	4
124	с другой	8	4
125	о том	2	4
126	чем в	1	4
127	в области	1	4
128	целый ряд	3	4
129	нами в	2	4
130	не есть	1	4
131	не означает	1	3
132	момент в	1	3
133	одно и	1	3
134	в собственном	3	3
135	первом случае	3	3
136	этом отношении	1	3
137	с собой	3	3
138	так и	6	3
139	учение о	3	3
140	только на	1	3
141	в другую	2	3
142	к нему	3	3
143	сих пор	1	3
144	из двух	2	3
145	как раз	1	3
146	но мы	3	3
147	связаны между	1	3
148	ожидать что	1	3
149	до сих	1	3
150	на котором	3	3
151	с другими	1	3
152	структурных особенностей	1	3
153	в своей	1	3
154	для него	1	3
155	были бы	1	3
156	мы находим	1	3
157	в первой	1	3
158	но не	4	3
159	между ними	1	3
160	собственном смысле	3	3
161	на самом	4	3
162	это не	6	3
163	что и	7	3
164	такой же	1	3
165	имеет в	1	3
166	между двумя	1	3
167	привести к	1	3
168	из этих	1	3
169	это положение	2	3
170	но это	6	3
171	есть то	1	3
172	связана с	3	3
173	она все	1	3
174	в то	3	3
175	для нее	1	3
176	в чем	1	3
177	во всем	1	3
178	в одной	1	3
179	в первом	3	3
180	тем не	5	3
181	в основе	1	3
182	только и	1	3
183	что эти	2	3
184	мы уже	1	3
185	в этой	2	3
186	в новой	1	3
187	мы видим	13	3
188	мы можем	2	3
189	он не	3	3
190	нашли что	1	3
191	в этот	1	3
192	нашей работы	2	3
193	о его	1	3
194	об этом	4	3
195	не является	3	3
196	состоит в	2	3
197	втором случае	1	3
198	совершается в	2	3
199	и по	2	3
200	мог бы	1	3
201	это делается	1	3
202	во втором	3	3
203	одним из	1	2
204	с ее	1	2
205	форм и	1	2
206	о которых	1	2
207	вовсе не	4	2
208	может и	1	2
209	прежде чем	3	2
210	на ее	1	2
211	и здесь	5	2
212	но с	1	2
213	на его	4	2
214	для нас	2	2
215	во всяком	2	2
216	это мы	1	2
217	если же	5	2
218	или в	4	2
219	она является	1	2
220	проявляются в	1	2
221	не содержат	1	2
222	случае не	3	2
223	время как	3	2
224	и ее	3	2
225	большинстве случаев	3	2
226	здесь как	1	2
227	она может	1	2
228	как такового	1	2
229	что не	1	2
230	только о	1	2
231	в большинстве	3	2
232	даже в	1	2
233	его и	2	2
234	рабочая гипотеза	1	2
235	вывод что	2	2
236	друг с	1	2
237	могут быть	16	2
238	наряду с	5	2
239	совершенно не	1	2
240	при различных	1	2
241	то в	3	2
242	со всеми	1	2
243	его в	2	2
244	ответ на	1	2
245	что же	2	2
246	что ее	1	2
247	никем не	1	2
248	почти всегда	1	2
249	отношение к	1	2
250	с другом	1	2
251	а затем	4	2
252	этому же	1	2
253	входит в	2	2
254	но если	7	2
255	к ней	1	2
256	особую функцию	1	2
257	этом и	1	2
258	но эта	1	2
259	в этих	13	2
260	из которых	3	2
261	которые в	1	2
262	она должна	1	2
263	но он	1	2
264	и при	1	2
265	из этого	1	2
266	что при	2	2
267	можно говорить	1	2
268	у нас	2	2
269	что его	2	2
270	чем перейти	1	2
271	оно имеет	1	2
272	с этим	11	2
273	к этой	1	2
274	оказывается что	1	2
275	находится в	1	2
276	не исключает	2	2
277	вспомнить о	1	2
278	ни в	1	2
279	один из	5	2
280	это остается	1	2
281	отличие от	1	2
282	должно быть	1	2
283	на первом	1	2
284	ничего не	4	2
285	на основании	1	2
286	к другу	2	2
287	можно ли	1	2
288	то как	2	2
289	значение и	1	2
290	вопроса о	1	2
291	к целому	2	2
292	ту же	2	2
293	приводят к	1	2
294	во время	6	2
295	и она	1	2
296	убедиться что	1	2
297	точку зрения	1	2
298	к двум	1	2
299	того как	2	2
300	относится ко	1	2
301	во всей	1	2
302	а по	3	2
303	себя и	2	2
304	также и	4	2
305	а в	7	2
306	нельзя было	2	2
307	несмотря на	4	2
308	мы говорили	1	2
309	никто не	3	2
310	само собой	1	2
311	исходить из	1	2
312	не имеет	2	2
313	говорит что	1	2
314	то время	3	2
315	и до	1	2
316	иначе чем	2	2
317	и есть	2	2
318	в которых	2	2
319	к этому	3	2
320	она в	2	2
321	с другим	1	2
322	точно так	1	2
323	благодаря этому	3	2
