N	3gram	Voloshinov_1	Myslijsy
1	по отношению к	9	8
2	в том что	4	7
3	в этом случае	1	5
4	по крайней мере	1	5
5	не может быть	3	5
6	о том что	1	5
7	а между тем	1	4
8	до сих пор	3	4
9	сам по себе	2	4
10	можно сказать что	3	4
11	для того чтобы	1	4
12	тем не менее	2	4
13	на самом деле	2	3
14	с точки зрения	10	3
15	во всяком случае	3	3
16	и т д	1	3
17	и таким образом	1	3
18	то же время	5	3
19	мы не можем	1	3
20	в то же	5	3
21	таким образом что	1	2
22	только потому что	1	2
23	в таком случае	2	2
24	хотя бы и	2	2
25	до известной степени	1	2
26	на этот вопрос	1	2
27	вместе с этим	1	2
28	в данном случае	3	2
29	и по отношению	2	2
30	не могут быть	3	2
31	один и тот	2	2
32	равно как и	1	2
33	в большинстве случаев	4	2
34	можем сказать что	2	2
35	и тот же	2	2
36	другими словами мы	1	1
37	а следовательно и	2	1
38	для нее нет	1	1
39	к дальнейшему развитию	1	1
40	хотя и не	1	1
41	в следующем в	1	1
42	что же касается	1	1
43	мы найдем и	1	1
44	дело в том	1	1
45	и той же	1	1
46	в настоящее время	1	1
47	то время когда	1	1
48	самом деле только	1	1
49	со всех сторон	1	1
50	и во многих	1	1
51	и в разных	1	1
52	того что мы	1	1
53	мы должны признать	1	1
54	по отношению ко	2	1
55	при этом мы	1	1
56	но и в	1	1
57	что все эти	3	1
58	а может быть	1	1
59	не было бы	1	1
60	в этом отношении	2	1
61	того и другого	1	1
62	к тому чтобы	3	1
63	и не подозревает	1	1
64	и не может	1	1
65	большую роль в	1	1
66	и др в	1	1
67	может быть и	1	1
68	нет и не	1	1
69	имеющие ничего общего	1	1
70	ничего общего с	1	1
71	мы не знаем	1	1
72	с одной стороны	1	1
73	на первый взгляд	1	1
74	связанная с ним	1	1
75	человека и все	1	1
76	но при этом	1	1
77	и в отношении	1	1
78	в свою очередь	1	1
79	уже и в	1	1
80	все то что	2	1
81	в свое время	1	1
82	отношению ко всем	1	1
83	мы различаем в	1	1
84	это относится и	1	1
85	человека и животных	2	1
86	сих пор не	1	1
87	это было бы	1	1
88	находится в сознании	1	1
89	таким образом в	1	1
90	иметь в виду	1	1
91	в голову по	1	1
92	роль в истории	1	1
93	в то время	1	1
94	точки зрения этого	1	1
95	не имеющие ничего	1	1
96	относится и к	1	1
97	с самого начала	5	1
98	нам в голову	1	1
99	в связь с	1	1
100	что это не	1	1
101	во второй половине	1	1
102	и быть не	1	1
103	не теряет своей	1	1
104	мы говорим в	1	1
105	одной и той	1	1
106	у нас в	2	1
107	бы предположить что	1	1
108	быть не может	1	1
109	на всю жизнь	1	1
110	не без влияния	1	1
111	этом мы можем	1	1
112	представлений и слов	1	1
113	мы видели что	1	1
