N	3gram	Propp_Russ_1	EvropaiC
1	в том что	15	16
2	по отношению к	1	10
3	друг с другом	1	9
4	с точки зрения	3	8
5	на самом деле	1	7
6	на то что	1	7
7	в этом случае	5	4
8	может быть и	2	4
9	о том что	4	4
10	тем не менее	3	4
11	и того же	1	3
12	в настоящее время	3	3
13	одного и того	1	3
14	так же как	1	3
15	в данном случае	1	3
16	все же не	2	3
17	в связи с	4	3
18	в целом ряде	1	3
19	время от времени	1	2
20	о том чтобы	1	2
21	вместе с тем	6	2
22	каждый из этих	1	2
23	друг к другу	2	2
24	во всяком случае	1	2
25	во всех этих	1	2
26	как и в	1	2
27	в свою очередь	2	2
28	ничего общего с	1	2
29	но все же	2	2
30	не более как	1	2
31	и в том	1	2
32	а следовательно и	1	1
33	хотя и не	1	1
34	еще далеко не	1	1
35	к таким народам	1	1
36	о том кто	1	1
37	между прочим в	1	1
38	могут рассматриваться как	1	1
39	по этому вопросу	1	1
40	не только по	2	1
41	иметь в виду	1	1
42	свой народ и	2	1
43	что для этого	1	1
44	никак не может	1	1
45	целом ряде других	1	1
46	только по отношению	1	1
47	деле это не	1	1
48	из них в	1	1
49	и в дальнейшем	1	1
50	и другие народы	1	1
51	независимо от того	1	1
52	от своих предшественников	1	1
53	это имеет место	2	1
54	точно так же	1	1
55	очень много и	1	1
56	в себе и	1	1
57	том что до	1	1
58	стоит в связи	2	1
59	в один из	1	1
60	состоит в том	8	1
61	и в нашем	1	1
62	если стремление к	1	1
63	может быть потому	1	1
64	из приведенных выше	1	1
65	приводит к тому	1	1
66	на основании этих	1	1
67	быть и не	1	1
68	менее похожи на	1	1
69	в одно целое	1	1
70	но вместе с	1	1
71	того же явления	1	1
72	сливаются в одно	1	1
73	между тем такие	1	1
74	в тех случаях	1	1
75	и некоторые другие	2	1
76	в то время	1	1
77	и что следовательно	1	1
78	ни одна из	1	1
79	при этом не	1	1
80	одно из непременных	1	1
81	не может признать	1	1
82	несмотря на все	1	1
83	можно рассматривать как	1	1
84	тех случаях когда	1	1
85	так и у	1	1
86	ничего не говорить	1	1
87	к тому что	4	1
88	мы видим что	1	1
89	как мы видели	1	1
90	во многих отношениях	1	1
91	мы уже знаем	1	1
92	только одно из	1	1
93	и у нас	2	1
94	по существу совершенно	1	1
95	только тогда когда	1	1
96	как мы знаем	1	1
