N	3gram	Tiupa_Teor_1	Marksizm
1	с точки зрения	3	13
2	не может быть	4	10
3	по отношению к	4	8
4	то же время	5	8
5	в то же	5	8
6	в связи с	1	7
7	для того чтобы	1	6
8	в том что	8	6
9	то же самое	1	5
10	может быть и	2	5
11	но в то	1	5
12	в свою очередь	2	5
13	в большинстве случаев	1	5
14	и того же	3	4
15	бы то ни	1	4
16	то ни было	1	4
17	в отношении к	1	4
18	в русском языке	1	4
19	той или иной	1	4
20	одного и того	3	4
21	в той или	1	3
22	в отличие от	6	3
23	одно и то	1	3
24	с одной стороны	2	3
25	и то же	1	3
26	о том что	1	3
27	к тому что	2	3
28	всех без исключения	3	2
29	в противном случае	1	2
30	более или менее	2	2
31	того или иного	3	2
32	ни в коем	2	2
33	внутренней и внешней	2	2
34	по крайней мере	1	2
35	в коем случае	2	2
36	в значительной степени	1	2
37	– может быть	1	2
38	в следующей главе	1	2
39	в данном контексте	1	2
40	добро и зло	1	1
41	в сочетании с	2	1
42	что иное как	1	1
43	место лишь в	1	1
44	форм высказывания в	1	1
45	дело в том	1	1
46	в том числе	2	1
47	в соответствии с	2	1
48	или даже вовсе	1	1
49	точки зрения в	1	1
50	– это еще	1	1
51	ни к чему	1	1
52	тот или иной	2	1
53	до известной степени	2	1
54	но он не	1	1
55	том числе и	1	1
56	речи может быть	1	1
57	в данном высказывании	1	1
58	которого только и	1	1
59	не могли бы	1	1
60	так или иначе	4	1
61	во внутренней речи	1	1
62	в данный момент	2	1
63	и его внешней	2	1
64	– не может	1	1
65	с другой –	1	1
66	или менее широком	1	1
67	в равной степени	3	1
68	тем не менее	3	1
69	не могут быть	2	1
70	а с другой	2	1
71	приводит к тому	2	1
72	тем или иным	1	1
73	как впрочем и	1	1
74	к чему не	1	1
75	между ним и	1	1
76	заключать в себе	1	1
77	с другой стороны	5	1
78	языка не может	1	1
79	лишь в контексте	1	1
80	не совпадает с	1	1
81	и соответствующих форм	1	1
82	коем случае не	2	1
83	то или иное	1	1
84	начало и конец	1	1
85	в конечном счете	6	1
86	в статье о	1	1
87	не что иное	1	1
88	в русской литературе	2	1
89	можно сказать что	2	1
90	бы они ни	1	1
91	они ни были	1	1
92	же время эти	1	1
93	в данном отношении	1	1
94	друг от друга	1	1
95	искусства и религии	1	1
96	не сводится к	4	1
97	может быть признано	1	1
98	то что они	1	1
99	как и в	2	1
100	отношении к нему	1	1
101	именно к пониманию	1	1
102	в более или	1	1
