N	2gram	Tiupa_Narr_2	EvropaiC
1	таким образом	5	32
2	в том	14	31
3	и в	13	24
4	том что	13	20
5	все эти	3	19
6	не может	8	18
7	то что	8	17
8	может быть	10	15
9	все же	6	15
10	точки зрения	5	13
11	самом деле	3	12
12	в своем	6	12
13	до сих	1	12
14	в этом	13	12
15	сих пор	1	12
16	между тем	3	11
17	все это	1	11
18	во всех	1	10
19	по отношению	5	10
20	так и	9	10
21	как бы	6	10
22	отношению к	5	10
23	все что	4	10
24	того же	1	9
25	на то	2	9
26	при этом	14	9
27	как и	4	9
28	в результате	2	9
29	что в	4	9
30	в самом	2	8
31	с точки	2	8
32	не в	8	8
33	ясно что	1	8
34	если бы	4	8
35	так же	2	8
36	и все	4	8
37	а между	1	7
38	на самом	2	7
39	из этих	2	7
40	в силу	4	7
41	или менее	1	7
42	не менее	4	7
43	того чтобы	3	7
44	по своей	3	7
45	к тому	9	7
46	о том	5	7
47	и что	2	7
48	что он	5	7
49	для того	1	7
50	но и	15	7
51	и не	14	7
52	более или	1	7
53	о котором	3	7
54	из этого	1	7
55	должна быть	2	6
56	начало и	1	6
57	еще не	2	6
58	в общем	1	6
59	тогда как	15	6
60	что касается	1	6
61	в этой	4	6
62	в мире	4	6
63	в сознании	2	6
64	несмотря на	2	6
65	с ним	4	6
66	что и	2	6
67	того что	6	6
68	только в	11	6
69	так что	1	6
70	с другой	5	6
71	вместе с	1	6
72	как на	2	6
73	между двумя	1	5
74	столь же	2	5
75	как к	3	5
76	и к	6	5
77	но в	6	5
78	в которой	1	5
79	что это	4	5
80	в целом	3	5
81	в себе	8	5
82	тому же	4	5
83	не только	26	5
84	не будет	2	5
85	что все	1	5
86	и с	1	5
87	и без	1	5
88	что с	2	5
89	в то	5	5
90	как будто	1	5
91	что при	1	5
92	по сравнению	1	5
93	в его	6	5
94	большею частью	1	5
95	потому что	2	5
96	и их	1	5
97	у него	6	5
98	именно в	2	5
99	далеко не	5	5
100	ничем не	1	5
101	по своему	2	5
102	сравнению с	1	5
103	быть и	1	5
104	и для	3	5
105	и от	1	5
106	к этому	1	5
107	одним из	1	4
108	в такой	1	4
109	то же	4	4
110	между собой	3	4
111	отношение к	1	4
112	данный момент	1	4
113	хотя и	5	4
114	он не	5	4
115	должно быть	1	4
116	иначе говоря	7	4
117	и конец	1	4
118	признать что	1	4
119	тем не	5	4
120	связи с	1	4
121	тех кто	1	4
122	и сейчас	1	4
123	никогда не	6	4
124	и т.д	4	4
125	и у	4	4
126	в виде	2	4
127	а потому	1	4
128	в конце	4	4
129	в области	2	4
130	а с	2	4
131	его собственной	1	4
132	как сказано	1	4
133	не могут	1	4
134	в течение	2	4
135	мы должны	1	4
136	хотя бы	2	4
137	в таком	3	4
138	же как	2	3
139	вопрос о	1	3
140	но по	1	3
141	не вполне	2	3
142	в данном	10	3
143	мы будем	1	3
144	очевидно что	1	3
145	и наконец	1	3
146	так или	1	3
147	в нашем	2	3
148	этой культуры	1	3
149	в нем	5	3
150	и по	3	3
151	это не	3	3
152	в жизни	6	3
153	и того	3	3
154	одного и	1	3
155	в этих	1	3
156	таким же	1	3
157	освободиться от	1	3
158	для нас	2	3
159	а лишь	1	3
160	у нас	2	3
161	как для	1	3
162	данном случае	6	3
163	жизнь и	1	3
164	с одной	5	3
165	то они	1	3
166	может не	1	3
167	даже если	1	3
168	очень много	1	3
169	в начале	2	3
170	от тех	1	3
171	может служить	2	3
172	каждый из	1	3
173	отличие от	5	3
174	является ли	1	3
175	как у	4	3
176	или иначе	2	3
177	прежде всего	6	3
178	в связи	1	3
179	и потому	1	3
180	не подлежит	1	3
181	что только	1	3
182	бы в	2	3
183	тем более	2	3
184	только что	2	3
185	а в	9	3
186	что мы	1	3
187	в психологии	1	3
188	можно назвать	2	3
189	которого в	1	2
190	от своей	1	2
191	в котором	5	2
192	со своей	2	2
193	по его	2	2
194	также и	1	2
195	и состоит	2	2
196	а для	1	2
197	с ее	1	2
198	мы и	1	2
199	в ней	2	2
200	двух или	2	2
201	от себя	1	2
202	во всяком	1	2
203	в сторону	1	2
204	него с	1	2
205	что они	3	2
206	из таких	1	2
207	есть в	1	2
208	то в	1	2
209	вследствие этого	2	2
210	что она	2	2
211	не следует	3	2
212	однако при	1	2
213	о которой	3	2
214	при виде	1	2
215	из него	1	2
216	конечно в	1	2
217	то есть	9	2
218	в глазах	4	2
219	и особенно	1	2
220	со своими	2	2
221	и уже	4	2
222	на первый	1	2
223	давно уже	2	2
224	никто не	1	2
225	представить себе	3	2
226	можно ли	1	2
227	от времени	1	2
228	в которых	1	2
229	точку зрения	3	2
230	совершенно иной	1	2
231	и более	2	2
232	тому что	3	2
233	она не	1	2
234	между людьми	1	2
235	тем самым	5	2
236	одна из	3	2
237	на него	5	2
238	в процессе	2	2
239	в основе	1	2
240	говорить о	2	2
241	только не	2	2
242	в самой	1	2
243	в противоречие	1	2
244	на этом	1	2
245	сходство с	1	2
246	имеет место	2	2
247	если же	1	2
248	о них	2	2
249	как мы	1	2
250	в себя	4	2
251	или нескольких	1	2
252	на том	3	2
253	и сам	3	2
254	что у	2	2
255	на нее	1	2
256	те же	2	2
257	все его	4	2
258	в виду	1	2
259	а к	3	2
260	сводится к	9	2
261	в другом	4	2
262	другими словами	1	2
263	же время	3	2
264	к нему	1	2
265	них в	1	2
266	было бы	2	2
267	но с	1	2
268	каждого человека	1	2
269	этот вопрос	1	2
270	и так	1	2
271	жизни и	4	2
272	то и	3	2
273	одно из	2	2
274	не будут	1	2
275	для него	4	2
276	всяком случае	1	2
277	вовсе не	2	2
278	которые могут	1	2
279	к той	1	2
280	которые по	1	2
281	одной стороны	5	2
282	отнюдь не	4	2
283	в частности	11	2
284	все то	2	2
