N	2gram	Berdyaev_N_1	Tvorches
1	и в	16	20
2	не только	5	13
3	никогда не	6	11
4	в то	2	10
5	в его	1	10
6	и его	1	9
7	и не	11	9
8	и с	2	8
9	в том	8	8
10	может быть	7	8
11	в этом	7	8
12	прежде всего	4	8
13	но и	3	8
14	это не	4	7
15	наряду с	3	7
16	потому что	4	7
17	не может	16	7
18	xix века	5	7
19	что в	9	7
20	как и	7	6
21	в своей	3	6
22	что он	1	6
23	так и	2	6
24	в конце	1	6
25	у него	2	6
26	а не	17	6
27	все это	5	6
28	еще не	3	5
29	и на	2	5
30	но не	2	5
31	в этой	1	5
32	в мире	3	5
33	о том	4	5
34	и даже	2	5
35	но это	6	5
36	так же	2	5
37	мы не	2	4
38	все эти	2	4
39	как в	3	4
40	хотя и	2	4
41	но в	2	4
42	не в	6	4
43	что она	2	4
44	в духе	3	4
45	в чем	1	4
46	а в	2	4
47	и потому	4	4
48	и от	2	4
49	том что	2	4
50	же как	2	3
51	человека и	3	3
52	и через	1	3
53	на западе	1	3
54	с большим	1	3
55	в себе	2	3
56	в нем	5	3
57	он не	8	3
58	в образе	1	3
59	человека в	1	3
60	и мы	4	3
61	в самом	1	3
62	в котором	1	3
63	место в	2	3
64	своего рода	1	3
65	тем что	1	3
66	одна из	2	3
67	и это	2	3
68	быть может	4	3
69	с ним	1	3
70	творческий процесс	1	3
71	до сих	1	3
72	уже не	2	3
73	так как	1	3
74	то что	4	3
75	что не	1	3
76	превращается в	1	3
77	вместе с	2	3
78	сих пор	1	3
79	нет ничего	1	3
80	жизни в	3	3
81	от этой	1	2
82	и есть	10	2
83	по преимуществу	1	2
84	говорить о	1	2
85	я не	2	2
86	в xix	1	2
87	в ее	3	2
88	нет и	2	2
89	во многом	1	2
90	в истории	3	2
91	в этот	1	2
92	в которой	1	2
93	тоже не	1	2
94	особое место	1	2
95	но ведь	1	2
96	идей и	1	2
97	в статье	1	2
98	такой же	2	2
99	и еще	1	2
100	в такой	1	2
101	не столько	1	2
102	в отличие	1	2
103	права на	2	2
104	их в	1	2
105	не могли	2	2
106	что этот	1	2
107	не менее	4	2
108	xviii века	2	2
109	а во	1	2
110	другой стороны	2	2
111	у нас	1	2
112	могут быть	2	2
113	более не	2	2
114	приводит к	1	2
115	роль в	2	2
116	познания и	2	2
117	и что	2	2
118	что его	1	2
119	и только	1	2
120	всяком случае	1	2
121	все время	2	2
122	в которую	1	2
123	к которому	1	2
124	не случайно	1	2
125	только в	1	2
126	наше время	4	2
127	себя в	2	2
128	и у	1	2
129	уже в	1	2
130	из них	1	2
131	давно уже	1	2
132	друг друга	1	2
133	сильнее и	2	2
134	отличие от	1	2
135	с другой	3	2
136	не было	4	2
137	не означает	3	2
138	зависит от	2	2
139	не знал	2	2
140	к жизни	3	2
141	в россии	3	2
142	о человеке	1	2
143	только для	1	2
144	в наше	3	2
145	это уже	1	2
146	себя на	1	2
147	в силах	1	2
148	в основе	3	2
149	более всего	1	2
150	ни к	2	2
151	с другими	1	2
152	процессы в	1	2
153	образ человека	1	2
154	но если	1	2
155	отказаться от	1	2
156	во всяком	1	2
157	нем нет	2	1
158	связана с	2	1
159	истории ее	1	1
160	не имел	1	1
161	бытия а	1	1
162	только потому	1	1
163	переход от	1	1
164	и должно	2	1
165	это и	2	1
166	идеями в	1	1
167	по старой	1	1
168	было то	1	1
169	перед лицом	1	1
170	мы говорим	2	1
171	мы уже	1	1
172	из всех	1	1
173	со всех	4	1
174	роль она	1	1
175	общества и	2	1
176	большую роль	4	1
177	на место	1	1
178	на себя	1	1
179	эпохи в	1	1
180	как я	1	1
181	то это	1	1
182	личности с	1	1
183	всех сторон	4	1
184	они считают	2	1
185	быть в	2	1
186	не был	1	1
187	с его	6	1
188	во всех	3	1
189	которую она	2	1
190	есть по	1	1
191	менее всего	1	1
192	нужно быть	1	1
193	в жизни	5	1
194	сама жизнь	2	1
195	с этим	2	1
196	и нет	1	1
197	говорит что	1	1
198	и к	5	1
199	от бога	6	1
200	в известном	1	1
201	из этих	1	1
202	падения и	1	1
203	думать что	2	1
204	что ничего	1	1
205	с их	2	1
206	и до	1	1
207	это связано	2	1
208	мысли и	2	1
209	высшей степени	6	1
210	не значит	3	1
211	к одному	1	1
212	не к	2	1
213	переходит от	1	1
214	народ не	1	1
215	в силу	1	1
216	можно было	2	1
217	принято считать	1	1
218	жить в	1	1
219	что все	2	1
220	значение в	1	1
221	чего он	1	1
222	в глубине	1	1
223	а по	1	1
224	в будущее	1	1
225	ней нет	1	1
226	было бы	1	1
227	это одна	1	1
228	по себе	1	1
229	мысль еще	1	1
230	ни в	6	1
231	для них	1	1
232	в них	4	1
233	нет в	1	1
234	всю жизнь	1	1
235	от творческих	1	1
236	должно быть	4	1
237	перед собой	1	1
238	в эту	1	1
239	в этих	1	1
240	во время	1	1
241	жизнь не	1	1
242	в недра	1	1
243	начиная со	1	1
244	войне и	1	1
245	величие и	1	1
246	но он	1	1
247	и более	1	1
248	возвращается к	2	1
249	нас к	1	1
250	дня и	3	1
251	она не	3	1
252	человечества и	1	1
253	истории с	1	1
254	не имеет	4	1
255	на путях	2	1
256	самой жизни	2	1
257	жизни не	3	1
258	она должна	1	1
259	в русском	2	1
260	к ней	1	1
261	карикатура на	1	1
262	жизни как	2	1
263	человека так	1	1
264	как будто	2	1
265	в области	1	1
266	ли это	2	1
267	нашей эпохи	3	1
268	ему не	1	1
269	к себе	1	1
270	не могут	1	1
271	истории не	3	1
272	во все	1	1
273	и вполне	1	1
274	числе и	1	1
275	к тому	3	1
276	всего что	1	1
277	бы он	1	1
278	на это	1	1
279	должен быть	5	1
280	для себя	1	1
281	характер и	1	1
282	что само	1	1
283	культуры и	7	1
284	то время	1	1
285	миру а	1	1
286	учит нас	1	1
287	не с	1	1
288	вопрос этот	1	1
289	к самой	2	1
290	с собой	1	1
291	еще в	1	1
292	в виду	1	1
293	обречен на	1	1
294	это я	1	1
295	с одной	2	1
296	лишь в	6	1
297	он стремился	1	1
298	во имя	15	1
299	истории в	5	1
300	раньше чем	1	1
301	но нет	1	1
302	века и	2	1
303	если взять	1	1
304	от всех	1	1
305	и мир	1	1
306	xix век	2	1
307	значит что	4	1
308	известном смысле	1	1
309	в формах	1	1
310	нуждается в	1	1
311	ли он	1	1
312	это тем	1	1
313	то он	1	1
314	характерная для	1	1
315	который в	2	1
316	в обществе	2	1
317	он действует	1	1
318	и началом	1	1
319	том чтобы	2	1
320	но сам	1	1
321	переходит в	1	1
322	вот что	1	1
323	истории человечества	1	1
324	в большинстве	1	1
325	к богу	2	1
326	человека на	1	1
327	страшным и	1	1
328	мир в	1	1
329	и их	1	1
330	сами по	1	1
331	бытия и	1	1
332	быть понята	1	1
333	французской революции	3	1
334	истории я	1	1
335	играют большую	1	1
336	во власти	1	1
337	до начала	1	1
338	возможно что	1	1
339	отпадения от	1	1
340	говорим о	1	1
341	в высшей	6	1
342	новый мир	1	1
343	сам себя	1	1
344	связано с	1	1
345	с большей	1	1
346	как ни	1	1
347	одну из	1	1
348	жизнь в	1	1
349	принципу который	1	1
350	всемирной истории	2	1
351	и имеет	1	1
352	уже давно	1	1
353	и она	1	1
354	эти слова	1	1
355	и особенно	1	1
356	и а	1	1
357	я уже	2	1
358	как это	2	1
359	ничего нет	1	1
360	нет ни	1	1
361	власть над	1	1
362	такого рода	2	1
363	духовной жизни	2	1
364	том смысле	1	1
365	а к	1	1
366	с раскрытием	1	1
367	бога и	3	1
368	общественной жизни	6	1
369	и для	4	1
370	явились результатом	1	1
371	огромную роль	1	1
372	или нет	1	1
373	будто бы	1	1
374	есть бог	1	1
375	что вообще	1	1
376	не есть	3	1
377	и начинается	2	1
378	в свою	1	1
379	не знает	6	1
380	сказать что	3	1
381	не быть	1	1
382	но можно	1	1
383	и культурный	1	1
384	капитализм и	2	1
385	и повести	1	1
386	огромное значение	1	1
387	для настоящего	1	1
388	того времени	1	1
389	я могу	1	1
