N	2gram	Savitsky_P_1	Marksizm
1	точки зрения	3	34
2	может быть	5	26
3	и не	12	26
4	не может	4	24
5	с точки	3	20
6	и в	14	19
7	в этом	10	16
8	как бы	4	15
9	прежде всего	3	13
10	как и	1	12
11	и пр	5	12
12	если мы	1	11
13	в нем	3	10
14	в самом	1	10
15	только в	7	9
16	в результате	1	9
17	все же	1	8
18	не только	17	8
19	друг друга	1	8
20	но и	6	8
21	то что	4	8
22	во всех	2	7
23	в ее	2	7
24	но в	9	7
25	то же	9	7
26	в каждом	1	7
27	а не	2	7
28	так же	1	7
29	отнюдь не	2	6
30	мы не	3	6
31	в пределах	8	6
32	и здесь	1	6
33	настоящее время	1	6
34	в его	2	6
35	в том	9	6
36	в основном	1	6
37	в смысле	6	6
38	в настоящее	1	6
39	другой стороны	1	6
40	отличие от	1	5
41	по преимуществу	1	5
42	в отличие	1	5
43	не в	5	5
44	того чтобы	1	5
45	те же	1	5
46	ясно что	1	5
47	в начале	2	5
48	с другой	5	5
49	именно в	2	5
50	мы знаем	1	5
51	и потому	4	5
52	хотя бы	8	5
53	во всяком	1	5
54	переход от	2	4
55	вопрос о	1	4
56	и на	1	4
57	не будем	2	4
58	было бы	6	4
59	не столько	2	4
60	мысли и	1	4
61	не менее	2	4
62	по себе	4	4
63	в отношении	10	4
64	в идеологическом	1	4
65	в ней	6	4
66	в рамки	1	4
67	еще не	1	4
68	только на	1	4
69	для того	3	4
70	далеко не	1	4
71	с этим	2	4
72	в данном	1	4
73	дело идет	1	4
74	в условиях	1	4
75	тот же	3	4
76	а в	4	4
77	отношении к	5	4
78	что в	4	4
79	и есть	2	3
80	в большинстве	1	3
81	оно ни	1	3
82	в истории	1	3
83	и как	3	3
84	и к	4	3
85	в которой	1	3
86	его в	1	3
87	том что	4	3
88	и ее	1	3
89	в котором	4	3
90	место в	1	3
91	является в	2	3
92	в то	7	3
93	для каждого	1	3
94	– все	1	3
95	не имеет	1	3
96	же время	7	3
97	в области	11	3
98	не есть	1	3
99	и это	2	3
100	сводится к	3	3
101	того что	2	3
102	в какой	1	3
103	между тем	3	3
104	большинстве случаев	1	3
105	из них	2	3
106	или иной	1	3
107	в каком	1	3
108	не было	2	3
109	в бытии	1	3
110	все это	2	3
111	xix века	6	3
112	нет ничего	1	3
113	она может	1	3
114	пр в	1	3
115	и при	1	3
116	мы должны	4	3
117	же как	1	2
118	связана с	1	2
119	два основных	1	2
120	не все	1	2
121	не просто	1	2
122	из важнейших	2	2
123	что во	1	2
124	как к	1	2
125	в своем	4	2
126	бы и	1	2
127	формы в	1	2
128	из этих	1	2
129	в себе	3	2
130	если он	1	2
131	как оно	1	2
132	должна быть	1	2
133	не как	1	2
134	от нее	1	2
135	что все	1	2
136	и с	2	2
137	до тех	1	2
138	на этой	1	2
139	и иных	1	2
140	этом смысле	1	2
141	для них	2	2
142	должно быть	2	2
143	мысль и	1	2
144	в философии	1	2
145	и более	1	2
146	эта мысль	1	2
147	в русской	4	2
148	одна из	2	2
149	иными словами	1	2
150	как она	1	2
151	могут быть	3	2
152	числе и	1	2
153	темы и	1	2
154	она не	1	2
155	с ее	1	2
156	культуры и	1	2
157	никогда не	1	2
158	если бы	4	2
159	ними как	1	2
160	пор пока	1	2
161	что и	1	2
162	и только	1	2
163	ни к	1	2
164	эта проблема	1	2
165	именно на	1	2
166	в качестве	9	2
167	и других	2	2
168	всяком случае	1	2
169	мы можем	1	2
170	как раз	2	2
171	связаны с	1	2
172	что не	1	2
173	там где	1	2
174	не об	1	2
175	в частности	2	2
176	в тот	2	2
177	тех пор	1	2
178	или хотя	1	2
179	но для	1	2
180	слова но	2	2
181	в эти	1	2
182	к внешнему	1	2
183	к этой	1	2
184	именно здесь	1	2
185	том числе	2	2
186	от этой	1	1
187	также и	1	1
188	поскольку вообще	1	1
189	например в	2	1
190	должен быть	1	1
191	и то	1	1
192	и без	3	1
193	может по	1	1
194	тем же	1	1
195	века в	1	1
196	момент когда	1	1
197	из всех	1	1
198	и само	1	1
199	которую мы	2	1
200	в хозяйстве	2	1
201	бы что	1	1
202	говорить о	2	1
203	столь же	3	1
204	в различных	1	1
205	с его	1	1
206	чуть ли	1	1
207	различия между	1	1
208	на основе	1	1
209	но как	1	1
210	в общем	2	1
211	от разрешения	1	1
212	под его	1	1
213	– но	1	1
214	эти силы	1	1
215	этой последней	1	1
216	хотя и	3	1
217	могли бы	1	1
218	оказывается в	1	1
219	более или	1	1
220	с определенной	1	1
221	необходимы и	1	1
222	значение если	1	1
223	что это	1	1
224	в этой	1	1
225	в известном	1	1
226	во многих	1	1
227	не могла	1	1
228	и если	4	1
229	главным образом	2	1
230	не внешнее	1	1
231	соприкасается со	1	1
232	есть та	1	1
233	и вот	2	1
234	в россии	3	1
235	какой бы	1	1
236	и по	1	1
237	как автор	1	1
238	в предыдущем	1	1
239	это не	3	1
240	и тем	2	1
241	потому в	2	1
242	с тем	3	1
243	и вся	1	1
244	еще в	1	1
245	может идти	1	1
246	нисколько не	1	1
247	философской и	1	1
248	в других	1	1
249	хх века	2	1
250	или менее	1	1
251	представить себе	1	1
252	на каждом	1	1
253	до которых	1	1
254	разработки в	1	1
255	творчества и	2	1
256	друг другу	2	1
257	что было	1	1
258	различий в	1	1
259	ни были	1	1
260	как проблема	1	1
261	и очень	1	1
262	что есть	1	1
263	тем самым	3	1
264	xviii века	1	1
265	есть прежде	1	1
266	тогда когда	1	1
267	надстройка над	2	1
268	и всегда	1	1
269	этих двух	1	1
270	в русском	2	1
271	потому что	3	1
272	наша задача	1	1
273	с другом	1	1
274	половины xix	1	1
275	бытия как	1	1
276	исходить из	1	1
277	стороны и	2	1
278	особый и	2	1
279	не та	1	1
280	бы это	1	1
281	в применении	1	1
282	только то	1	1
283	сменяют друг	1	1
284	из двух	1	1
285	на нее	1	1
286	и признаки	1	1
287	особенно в	1	1
288	по природе	1	1
289	быть разрешена	1	1
290	и глубины	1	1
291	осуществляется в	2	1
292	разнообразнейших формах	1	1
293	в которые	1	1
294	момента и	1	1
295	для этого	1	1
296	широкой и	1	1
297	не означает	1	1
298	и что	1	1
299	находятся в	1	1
300	в значительной	2	1
301	намеченных в	1	1
302	в которую	2	1
303	сознания к	1	1
304	говорить об	1	1
305	во всей	2	1
306	них в	1	1
307	также в	1	1
308	и мир	1	1
309	мы видим	1	1
310	с ними	3	1
311	именно о	1	1
312	будем касаться	1	1
313	во времени	1	1
314	бы ни	2	1
315	тот или	1	1
316	с одной	3	1
317	и современная	1	1
318	уже в	1	1
319	получили в	1	1
320	это значение	1	1
321	связывается с	1	1
322	материализма и	2	1
323	выражена в	1	1
324	разрешения в	1	1
325	сами по	3	1
326	не о	2	1
327	само по	1	1
