N	2gram	Bakhtin_Pr_1	Sovremen
1	не может	27	17
2	может быть	26	12
3	точки зрения	8	12
4	таким образом	10	11
5	в каждом	2	8
6	в этом	15	7
7	не можем	2	7
8	и в	38	7
9	каждый раз	1	6
10	мы можем	6	6
11	ничего не	6	6
12	как и	7	6
13	и не	42	6
14	в результате	1	6
15	и наконец	6	5
16	все эти	5	5
17	прежде всего	13	5
18	с точки	6	5
19	в дальнейшем	3	4
20	вопрос о	1	4
21	нет и	3	4
22	мы должны	2	4
23	в том	8	4
24	в целом	3	4
25	из них	1	4
26	не только	9	4
27	с помощью	7	4
28	как бы	22	4
29	вместе с	1	4
30	это не	5	4
31	а в	6	4
32	жизни и	1	4
33	можем назвать	1	3
34	ли мы	3	3
35	он может	2	3
36	в первом	1	3
37	то же	5	3
38	ясно что	3	3
39	отнюдь не	19	3
40	все же	6	3
41	еще не	7	3
42	но в	4	3
43	в этой	1	3
44	в себе	4	3
45	как он	1	3
46	в наших	1	3
47	в одном	1	3
48	в нем	15	3
49	при этом	5	3
50	и мы	1	3
51	было бы	8	3
52	основной вопрос	1	3
53	а не	5	3
54	и потому	4	3
55	мы называем	1	3
56	не в	7	3
57	все это	3	3
58	не подлежит	1	3
59	одна из	2	3
60	для нас	1	3
61	и все	3	3
62	у нас	2	3
63	и к	3	3
64	отличается от	2	3
65	в области	11	3
66	как мы	7	2
67	свою очередь	1	2
68	и есть	2	2
69	приводит к	3	2
70	все те	1	2
71	на этом	2	2
72	для его	1	2
73	и даже	3	2
74	говорить о	3	2
75	настоящее время	1	2
76	и что	2	2
77	на их	1	2
78	и во	2	2
79	самом деле	6	2
80	в которую	1	2
81	говорить об	1	2
82	в его	43	2
83	с совершенно	2	2
84	может иметь	5	2
85	дает нам	2	2
86	быть и	1	2
87	только один	1	2
88	в самом	7	2
89	к чему	2	2
90	в которой	1	2
91	не будем	3	2
92	или же	1	2
93	что это	2	2
94	в нашем	4	2
95	с одной	3	2
96	со всеми	3	2
97	ни одна	2	2
98	уже не	1	2
99	в виде	2	2
100	тем не	3	2
101	который как	1	2
102	принципиально не	4	2
