N	4gram	Vygotskiy__2	Analitik
1	в то же время	2	6
2	и не может быть	1	4
3	не что иное как	1	4
4	бы то ни было	1	3
5	есть не что иное	1	3
6	искусства в том и	1	2
7	в том что он	3	2
8	одного и того же	1	2
9	и разумное толкование которое	1	1
10	дает художник или читатель	1	1
11	произведению следует рассматривать при	1	1
12	или иному произведению следует	1	1
13	толкование которое дает художник	1	1
14	одно и то же	1	1
15	одна и та же	1	1
16	в том случае если	4	1
17	разумное толкование которое дает	1	1
18	тому или иному произведению	1	1
19	одной и той же	4	1
20	художник или читатель тому	1	1
21	заключается что и процессы	1	1
22	его создания и процессы	1	1
23	и заключается что и	1	1
24	сторона искусства в том	1	1
25	с этой точки зрения	1	1
26	создания и процессы пользования	1	1
27	при этом как позднейшую	1	1
28	до тех пор пока	1	1
29	и процессы пользования им	1	1
30	одни и те же	2	1
31	один и тот же	1	1
32	что и процессы его	1	1
33	которое дает художник или	1	1
34	и процессы его создания	1	1
35	иному произведению следует рассматривать	1	1
36	этом как позднейшую рационализацию	1	1
37	следует рассматривать при этом	1	1
38	том и заключается что	1	1
39	процессы его создания и	1	1
40	существенная сторона искусства в	1	1
41	или читатель тому или	1	1
42	в том и заключается	2	1
43	сознательное и разумное толкование	1	1
44	ни на что не	1	1
45	самая существенная сторона искусства	1	1
46	процессы пользования им оказываются	1	1
47	читатель тому или иному	1	1
48	рассматривать при этом как	1	1
