N	2gram	Medvedev_F_2	Marksizm
1	точки зрения	8	34
2	может быть	23	26
3	и не	20	26
4	не может	14	24
5	с точки	7	20
6	и в	38	19
7	и его	21	19
8	об идеологиях	1	18
9	языка как	11	17
10	таким образом	20	17
11	в этом	27	16
12	как бы	4	15
13	в процессе	9	14
14	языка в	9	14
15	как мы	7	13
16	языка и	12	13
17	прежде всего	15	13
18	как и	9	12
19	социального общения	4	12
20	и пр	21	12
21	если мы	5	11
22	так и	8	11
23	связи с	13	11
24	и для	5	11
25	самом деле	8	10
26	в нем	13	10
27	в слове	5	10
28	в самом	16	10
29	идеологического творчества	1	9
30	лишь в	7	9
31	только в	6	9
32	для него	7	9
33	в результате	6	9
34	на материале	1	8
35	бы то	1	8
36	как система	1	8
37	все же	8	8
38	не только	9	8
39	без исключения	2	8
40	при этом	9	8
41	о языке	4	8
42	то ни	2	8
43	до сих	1	8
44	но и	13	8
45	в контексте	1	8
46	сих пор	1	8
47	то что	6	8
48	язык как	8	7
49	во всех	5	7
50	в ее	2	7
51	точка зрения	1	7
52	но в	4	7
53	все эти	6	7
54	то же	6	7
55	в каждом	1	7
56	слова как	2	7
57	а не	6	7
58	систему языка	1	7
59	в связи	10	7
60	так же	1	7
61	в направлении	1	7
62	отнюдь не	8	6
63	кроме того	2	6
64	так сказать	3	6
65	мы не	3	6
66	ничего не	4	6
67	в пределах	12	6
68	и здесь	3	6
69	настоящее время	1	6
70	в его	10	6
71	в организме	1	6
72	на почве	9	6
73	в том	11	6
74	является не	2	6
75	с помощью	10	6
76	в смысле	1	6
77	в настоящее	1	6
78	другой стороны	4	6
79	того же	1	6
80	гуманитарных наук	1	5
81	языку как	2	5
82	отличие от	2	5
83	конечно не	1	5
84	индивидуального организма	1	5
85	по преимуществу	5	5
86	входит в	4	5
87	языка для	1	5
88	рядом с	1	5
89	в отличие	2	5
90	не в	15	5
91	того чтобы	3	5
92	общения и	2	5
93	ничего общего	1	5
94	направлении к	1	5
95	те же	1	5
96	как ее	3	5
97	и все	3	5
98	этот вопрос	2	5
99	опираться на	1	5
100	ясно что	1	5
101	в конце	2	5
102	вовсе не	11	5
103	с другой	3	5
104	за пределы	1	5
105	именно в	5	5
106	настоящего времени	1	5
107	до конца	2	5
108	как системы	1	5
