N	2gram	Tiupa_Disk_2	Istorich
1	и в	16	26
2	мы имеем	2	14
3	никогда не	2	13
4	потому что	4	13
5	и на	5	12
6	в этом	16	12
7	таким образом	1	12
8	в том	8	12
9	что в	5	12
10	может быть	16	11
11	не только	10	10
12	том что	10	10
13	в образе	1	10
14	с другой	5	10
15	и не	15	10
16	еще не	6	9
17	о смерти	1	9
18	что он	2	9
19	но и	11	9
20	и это	2	8
21	все эти	3	8
22	все же	6	8
23	в нем	7	8
24	с ним	1	8
25	вместе с	2	8
26	другой стороны	2	8
27	например в	3	7
28	но в	11	7
29	и его	3	7
30	о том	4	7
31	с одной	4	7
32	уже не	3	7
33	превращается в	1	7
34	одной стороны	4	7
35	мы не	1	6
36	как в	8	6
37	так в	1	6
38	в русской	3	6
39	и с	2	6
40	то что	5	6
41	и там	1	6
42	этом случае	2	6
43	ее в	1	6
44	не может	9	6
45	то же	6	5
46	в ней	2	5
47	как и	16	5
48	и что	1	5
49	в то	5	5
50	так и	9	5
51	в его	3	5
52	только в	3	5
53	тем что	1	5
54	там где	1	5
55	как это	1	5
56	его в	3	5
57	с его	6	4
58	из этих	3	4
59	это не	3	4
60	не имели	1	4
61	но здесь	2	4
62	а также	8	4
63	что и	2	4
64	в других	1	4
65	прежде всего	7	4
66	как бы	4	4
67	в это	1	4
68	в книге	1	4
69	но это	3	4
70	в античности	1	4
71	же как	2	3
72	и то	4	3
73	там же	2	3
74	должна быть	2	3
75	из которых	1	3
76	это еще	2	3
77	когда он	1	3
78	и наконец	3	3
79	в себе	19	3
80	при этом	17	3
81	в них	3	3
82	такой же	2	3
83	в своей	6	3
84	и ее	3	3
85	в одном	4	3
86	не в	3	3
87	их в	2	3
88	она не	1	3
89	того как	1	3
90	могут быть	3	3
91	его с	1	3
92	приходит к	1	3
93	данном случае	6	3
94	только через	1	3
95	один из	1	3
96	в сказании	3	3
97	в качестве	16	3
98	так что	1	3
99	и только	1	3
100	со стороны	10	3
101	далеко не	2	3
102	но есть	1	3
103	не было	3	3
104	в частности	12	3
105	к своему	2	3
106	в данном	7	3
107	как будто	3	3
108	и от	1	3
109	вопрос о	1	3
110	на первый	2	3
111	солнца и	1	3
112	а в	2	3
113	еще в	3	3
114	сказать что	1	3
115	из этого	1	3
116	как на	3	3
117	в своих	6	3
118	к этому	4	3
119	того же	2	2
120	не умирает	1	2
121	представляет собой	11	2
122	он был	1	2
123	но не	7	2
124	по отношению	4	2
125	тогда как	11	2
126	а через	1	2
127	в одной	1	2
128	в своем	5	2
129	такова же	1	2
130	что касается	1	2
131	перед нами	3	2
132	и как	3	2
133	в этой	4	2
134	и они	1	2
135	и до	1	2
136	он не	3	2
137	с этой	1	2
138	но все	1	2
139	человека в	4	2
140	его не	1	2
141	живет в	2	2
142	приходит в	1	2
143	ни в	7	2
144	вовсе не	1	2
145	вопрос этот	1	2
146	а потом	2	2
147	я его	1	2
148	человеком и	1	2
149	в которых	1	2
150	своего рода	10	2
151	что этот	1	2
152	превратилось в	1	2
153	даже в	1	2
154	тем самым	6	2
155	одна из	1	2
156	на него	1	2
157	не вполне	1	2
158	в городе	1	2
159	отличается от	1	2
160	об одном	3	2
161	к тому	1	2
162	утверждать что	1	2
163	в свое	2	2
164	но при	2	2
165	здесь не	2	2
166	только то	1	2
167	и сам	1	2
168	ничего не	1	2
169	сводится к	2	2
170	можно сказать	3	2
171	как у	1	2
172	в форме	1	2
173	того что	1	2
174	самого себя	1	2
175	всяком случае	1	2
176	близок к	1	2
177	а с	5	2
178	и др	1	2
179	в некоторых	1	2
180	а не	14	2
181	о чем	2	2
182	что из	1	2
183	в одно	1	2
184	может иметь	2	2
185	к себе	1	2
186	что же	2	2
187	отношению к	4	2
188	стороны и	2	2
189	была так	1	2
190	видно что	1	2
191	но для	1	2
192	под названием	1	2
193	мира и	4	2
194	обращается к	1	2
195	в этих	3	2
196	не есть	1	2
197	героя в	5	2
198	жизни и	3	2
199	также не	1	2
200	во всяком	1	2
201	речь идет	1	1
202	соответствии с	3	1
203	одним из	1	1
204	также и	3	1
205	потом и	2	1
206	переходит к	1	1
207	мере в	1	1
208	и есть	1	1
209	между человеком	1	1
210	есть не	1	1
211	оно означает	1	1
212	героя но	1	1
213	этом не	1	1
214	он как	1	1
215	равно как	1	1
216	совпадает с	2	1
217	но она	3	1
218	строятся на	1	1
219	в полной	1	1
220	пребывания в	1	1
221	а другие	1	1
222	чего оно	1	1
223	и мн	2	1
224	во всех	1	1
225	мотив в	1	1
226	общих чертах	2	1
227	как правило	1	1
228	быть признаны	1	1
229	рассмотренных выше	3	1
230	друг на	1	1
231	состоял в	1	1
232	отличие от	12	1
233	тут же	2	1
234	не просто	1	1
235	весьма древним	1	1
236	лицом к	1	1
237	в истории	1	1
238	идет о	2	1
239	более чем	2	1
240	некоторое время	1	1
241	до его	1	1
242	что как	2	1
243	однако не	1	1
244	им в	1	1
245	в полном	2	1
246	хотя и	1	1
247	начинается разложение	1	1
248	как уже	2	1
249	в этот	1	1
250	здесь представляет	1	1
251	ни один	1	1
252	в целом	2	1
253	будет сказано	1	1
254	раз в	1	1
255	лица и	1	1
256	по имени	1	1
257	но на	1	1
258	в случае	1	1
259	одно и	2	1
260	жизнью и	2	1
261	к выводу	1	1
262	не имеют	1	1
263	задний план	1	1
264	тем не	1	1
265	в первую	2	1
266	в силу	1	1
267	никак не	1	1
268	на смерть	1	1
269	свое время	2	1
270	туман и	1	1
271	смертью в	1	1
272	подобно тому	2	1
273	что ни	2	1
