N	2gram	Propp_Isto_5	UchenyiS
1	и в	25	14
2	а не	2	10
3	не только	13	10
4	прежде всего	6	8
5	и не	11	8
6	не может	6	7
7	в этом	10	7
8	то что	7	7
9	может быть	17	6
10	в искусстве	1	6
11	то же	4	5
12	и только	1	5
13	все это	4	5
14	хотя бы	1	5
15	художественного творчества	1	5
16	с другой	9	4
17	но и	13	4
18	что такое	1	4
19	в их	1	4
20	в этой	3	4
21	конечно не	1	4
22	вряд ли	1	3
23	это не	6	3
24	было бы	1	3
25	как и	7	3
26	для этого	1	3
27	в частности	7	3
28	в своей	2	3
29	очевидно что	2	3
30	к сожалению	1	3
31	в то	3	3
32	все же	10	3
33	но в	1	3
34	же время	1	3
35	другой стороны	8	3
36	для него	1	3
37	не как	4	3
38	что все	4	2
39	одним из	2	2
40	и с	3	2
41	до сих	2	2
42	а как	2	2
43	это было	2	2
44	самом деле	2	2
45	пишет он	1	2
46	должна быть	1	2
47	в некоторых	4	2
48	превращается в	7	2
49	мы не	5	2
50	о чем	2	2
51	если бы	2	2
52	что мы	2	2
53	ничего не	2	2
54	как таковой	1	2
55	если не	4	2
56	том что	8	2
57	сводится к	1	2
58	но даже	1	2
59	мы и	2	2
60	ни от	1	2
61	но не	5	2
62	в его	12	2
63	по существу	2	2
64	что и	6	2
65	по себе	2	2
66	сих пор	2	2
67	но это	7	2
68	в том	6	2
69	это уже	2	2
70	с проблемой	1	2
71	и для	2	2
72	что он	22	2
73	в себе	1	2
74	формы и	2	2
75	в самом	1	2
76	и у	1	2
77	только в	7	2
78	мы получаем	1	2
79	не в	6	2
80	вопроса о	1	2
81	как принцип	1	2
82	все они	1	2
83	еще ничего	1	2
84	наконец он	1	2
85	его и	2	2
86	всех этих	1	2
87	могут быть	6	2
88	в конце	1	2
89	тем что	10	2
90	что она	1	2
91	таким образом	9	2
92	и это	4	1
93	гораздо больше	1	1
94	об этом	2	1
95	же как	4	1
96	связанных с	1	1
97	человека и	2	1
98	даже не	1	1
99	в виду	1	1
100	сам по	1	1
101	изобразительном искусстве	1	1
102	входит в	5	1
103	данном случае	2	1
104	сюда же	3	1
105	к следующему	1	1
106	вверх ногами	1	1
107	происходит уже	1	1
108	и быть	2	1
109	возвращается в	1	1
110	в пределах	4	1
111	и др	3	1
112	еще одно	1	1
113	она все	1	1
114	что для	1	1
115	никогда не	3	1
116	не ограничиваются	1	1
117	как живой	1	1
118	и вы	1	1
119	одной стороны	7	1
120	той же	1	1
121	относится к	1	1
122	этого не	1	1
123	с тем	8	1
124	мы имеем	14	1
125	сдвиг в	1	1
126	он знает	1	1
127	со своими	2	1
128	при более	1	1
129	именно к	1	1
130	и даже	1	1
131	можно сказать	2	1
132	не вполне	1	1
133	стороны в	1	1
134	о нем	3	1
135	материал и	1	1
136	свое первоначальное	1	1
137	предметы по	1	1
138	затем он	1	1
139	как на	1	1
140	приводит к	1	1
141	о том	7	1
142	в ней	5	1
143	и потому	2	1
144	относятся к	1	1
145	в котором	1	1
146	только для	1	1
147	и что	8	1
148	она в	1	1
149	и этого	1	1
150	все его	2	1
151	в различных	2	1
152	единства и	1	1
153	быть в	1	1
154	из которых	2	1
155	и некоторыми	1	1
156	где же	1	1
157	слагается из	1	1
158	в течение	2	1
159	своей работе	1	1
160	он может	2	1
161	является с	1	1
162	в данном	3	1
163	не то	1	1
164	бы в	1	1
165	того что	2	1
166	в которых	3	1
167	доказывает что	1	1
168	и приемы	1	1
169	не без	1	1
170	их в	3	1
171	друг с	2	1
172	ней не	1	1
173	говорит он	1	1
174	это значит	2	1
175	что этот	2	1
176	ночью в	1	1
177	формы как	1	1
178	случилось с	1	1
179	на то	2	1
180	быть не	1	1
181	к изучению	1	1
182	еще один	2	1
183	отнюдь не	1	1
184	она не	2	1
185	этом случае	7	1
186	представляется не	1	1
187	его на	4	1
188	в своем	1	1
189	что с	1	1
190	но для	2	1
191	и все	3	1
192	обе эти	1	1
193	того как	4	1
194	тот же	1	1
195	верно но	1	1
196	как таковое	2	1
197	есть ли	1	1
198	и действительно	5	1
199	частности с	1	1
200	момент является	1	1
201	в изобразительном	1	1
202	он уже	1	1
203	по мнению	1	1
204	так много	1	1
205	имеются не	1	1
206	в которой	4	1
207	он пытается	1	1
208	не было	1	1
209	находятся в	1	1
210	он в	1	1
211	это же	3	1
212	камня и	1	1
213	тогда когда	2	1
214	с одной	7	1
215	в качестве	7	1
216	с новой	1	1
217	уже не	11	1
218	то и	1	1
219	же в	2	1
220	в процессе	1	1
221	в виде	9	1
222	в нем	7	1
223	связанные с	2	1
224	или даже	1	1
225	или просто	1	1
226	с другом	2	1
227	но если	1	1
228	он не	4	1
229	сказать что	2	1
230	только как	1	1
231	состоит из	3	1
232	они до	1	1
233	они в	1	1
234	очень часто	1	1
235	одно из	1	1
236	равно как	1	1
237	и так	1	1
238	именно такую	1	1
239	в современном	1	1
240	что под	1	1
241	находящихся в	2	1
242	в свое	2	1
243	это верно	1	1
244	но он	2	1
245	работ в	1	1
246	у него	2	1
247	само по	1	1
248	мы можем	2	1
249	ее в	2	1
250	а это	1	1
251	он ставит	1	1
252	что при	3	1
253	к этому	2	1
254	что в	8	1
255	в таком	1	1
256	все что	1	1
