N	2gram	Propp_Isto_3	KulturaY
1	т е	16	38
2	и т	16	33
3	в том	9	30
4	и в	22	24
5	потому что	3	23
6	том что	8	21
7	что в	15	17
8	было бы	3	15
9	и пр	11	15
10	в этом	17	14
11	т д	15	14
12	точки зрения	2	14
13	может быть	11	13
14	все же	5	12
15	таким образом	10	12
16	и не	12	12
17	в его	3	12
18	не в	4	11
19	только в	4	11
20	хотя бы	1	10
21	не только	14	10
22	в силу	2	10
23	у нас	4	10
24	вовсе не	2	10
25	самом деле	1	9
26	с точки	1	9
27	так как	7	9
28	если бы	6	9
29	о том	3	9
30	того что	5	9
31	отношению к	2	9
32	прежде всего	3	9
33	то что	7	9
34	по отношению	2	8
35	уже не	7	8
36	то обстоятельство	1	8
37	то же	6	8
38	том чтобы	1	8
39	обстоятельство что	1	8
40	тем что	4	8
41	а не	6	8
42	не может	4	7
43	это не	6	7
44	в них	6	7
45	не менее	5	7
46	связи с	6	7
47	так и	2	7
48	в качестве	2	7
49	с другой	7	7
50	как бы	1	7
51	вместе с	9	7
52	мы имеем	19	6
53	на себе	1	6
54	в ней	2	6
55	все эти	4	6
56	при этом	2	6
57	в которых	2	6
58	можно было	1	6
59	что он	9	6
60	но и	12	6
61	что же	1	6
62	все это	1	6
63	другой стороны	7	6
64	что такое	1	6
65	например в	2	5
66	еще не	10	5
67	но не	7	5
68	не просто	1	5
69	что это	1	5
70	и с	4	5
71	но уже	1	5
72	с тем	2	5
73	и его	4	5
74	к тому	3	5
75	с ним	1	5
76	и что	2	5
77	между тем	2	5
78	всяком случае	2	5
79	что не	2	5
80	целый ряд	3	5
81	а в	6	5
82	речи и	1	5
83	во всяком	2	5
84	это и	1	4
85	и на	4	4
86	что они	8	4
87	как в	2	4
88	в целом	3	4
89	из этих	3	4
90	роль в	2	4
91	на то	1	4
92	в нем	9	4
93	в первую	1	4
94	в данном	4	4
95	тем не	5	4
96	стоит в	2	4
97	в таких	1	4
98	того как	1	4
99	в русском	2	4
100	к себе	1	4
101	в пределах	4	4
102	что и	9	4
103	с ними	3	4
104	так что	5	4
105	не есть	1	4
106	из них	7	4
107	со стороны	3	4
108	до сих	5	4
109	там где	7	4
110	в частности	5	4
111	и потому	2	4
112	с этим	8	4
113	в тех	2	4
114	сих пор	5	4
115	один из	5	4
116	указать на	2	4
117	же в	2	4
118	в этих	11	4
119	так же	3	4
120	и то	2	3
121	в котором	2	3
122	той же	2	3
123	на себя	2	3
124	то это	2	3
125	и он	2	3
126	с большим	5	3
127	то мы	2	3
128	в связи	3	3
129	в своем	2	3
130	хотя и	2	3
131	его к	1	3
132	что так	1	3
133	в этой	5	3
134	на его	3	3
135	не имеют	2	3
136	должна быть	1	3
137	на том	3	3
138	состоит в	3	3
139	что она	5	3
140	соответствии с	1	3
141	представление о	3	3
142	и эти	3	3
143	даже в	2	3
144	казалось бы	1	3
145	свою очередь	1	3
146	здесь не	3	3
147	не с	2	3
148	ясно что	1	3
149	для этого	1	3
150	по мере	1	3
151	в известных	1	3
152	и здесь	7	3
153	можно сказать	2	3
154	меня и	1	3
155	мы увидим	3	3
156	уже в	1	3
157	себе в	2	3
158	в одном	2	3
159	связано с	4	3
160	уже и	1	3
161	не было	2	3
162	в особенности	2	3
163	и даже	2	3
164	в свою	4	3
165	в соответствии	1	3
166	языка не	1	3
167	под влиянием	1	3
168	если не	2	3
169	как это	4	3
170	а если	3	3
171	смысле этого	1	3
172	этого слова	1	3
173	была бы	1	3
174	как на	1	3
175	но еще	1	3
176	в таком	1	3
177	они не	4	3
178	одним из	4	2
179	также и	1	2
180	эти случаи	3	2
181	и есть	2	2
182	на месте	2	2
183	очень много	2	2
184	все те	1	2
185	я не	3	2
186	один пример	1	2
187	иное как	3	2
188	что его	1	2
189	на самом	2	2
190	не все	6	2
191	тогда как	1	2
192	себе и	2	2
193	относится к	2	2
194	тех случаях	1	2
195	и как	3	2
196	но в	10	2
197	и говорит	9	2
198	так или	1	2
199	же из	1	2
200	во многих	2	2
201	больше всего	1	2
202	он не	5	2
203	так например	1	2
204	но все	2	2
205	как они	1	2
206	или чтобы	2	2
207	в состоянии	1	2
