N	2gram	Nazirov_Tv_1	OGranits
1	и в	21	13
2	и его	6	12
3	прежде всего	4	9
4	может быть	5	8
5	не может	4	8
6	и не	7	8
7	в его	13	7
8	и их	1	7
9	только в	5	6
10	как бы	17	6
11	не только	7	6
12	то что	8	6
13	мы должны	1	6
14	таким образом	5	6
15	все же	5	5
16	и наконец	2	5
17	в процессе	1	5
18	хотя бы	5	5
19	но мы	1	4
20	но в	7	4
21	то же	13	4
22	в своей	4	4
23	в школе	1	4
24	было бы	1	4
25	все это	10	4
26	в двух	2	4
27	в каждом	3	4
28	вряд ли	2	3
29	связана с	1	3
30	в ее	1	3
31	самом деле	2	3
32	так и	2	3
33	г в	1	3
34	говорить о	1	3
35	в их	3	3
36	по отношению	1	3
37	с этим	1	3
38	в которой	3	3
39	в себе	2	3
40	к одному	1	3
41	в одном	1	3
42	так как	3	3
43	здесь мы	2	3
44	но и	3	3
45	как и	12	3
46	и уже	1	3
47	что же	1	3
48	не в	2	3
49	да и	1	3
50	никогда не	3	3
51	и все	6	3
52	превращается в	1	3
53	отношению к	1	3
54	не столько	2	3
55	что в	12	3
56	в искусстве	1	3
57	данном случае	2	2
58	роль в	1	2
59	которое может	1	2
60	и этот	1	2
61	мы уже	1	2
62	есть не	2	2
63	что иное	1	2
64	иное как	1	2
65	не что	1	2
66	к предмету	1	2
67	с самого	3	2
68	и должно	1	2
69	себе что	1	2
70	в ней	2	2
71	ее в	3	2
72	в чем	2	2
73	мы понимаем	1	2
74	между тем	1	2
75	нуждается в	1	2
76	во всей	2	2
77	вслед за	2	2
78	наконец в	1	2
79	к сожалению	1	2
80	как в	8	2
81	в которую	1	2
82	в данном	2	2
83	в этом	6	2
84	творческого сознания	1	2
85	в полном	1	2
86	в том	7	2
87	тот же	2	2
88	с ними	1	2
89	в действительности	1	2
90	в этот	1	2
91	во времени	3	2
92	в целом	4	2
93	и тем	2	2
94	все эти	1	2
95	с одной	1	2
96	учение о	1	2
97	уже в	3	2
98	кажется что	1	2
99	виноградов в	1	2
100	в нем	3	2
101	связанные с	1	2
102	при этом	7	2
103	школы и	1	2
104	для него	6	2
105	отношений между	2	2
106	вовсе не	5	2
107	тем что	1	2
108	в них	1	2
109	этой проблемы	2	2
110	в области	1	2
111	с другой	3	2
112	а как	2	2
113	в самом	3	2
114	одной стороны	1	2
115	он только	1	2
116	соответствии с	3	2
117	не на	1	2
118	а не	5	2
119	другой стороны	1	2
120	в руках	1	2
121	не мог	2	2
122	в связи	1	2
123	том что	11	2
124	с помощью	1	2
125	и ее	1	2
126	так же	3	2
127	в отношении	1	2
128	своего рода	4	2
129	с этой	1	2
130	слова и	1	2
131	художественное произведение	1	2
132	не менее	6	2
133	что эта	1	2
134	самого начала	3	2
135	не имеет	1	2
136	в книге	3	2
137	форм и	1	2
138	от всех	1	2
139	а в	6	2
140	еще в	2	2
141	в целях	1	2
142	героя и	2	2
143	в материал	2	2
144	и к	1	2
145	имеет место	1	2
146	элемента в	1	2
147	могут быть	2	2
148	в своих	5	2
149	к тому	2	2
150	и это	1	1
151	одним из	4	1
152	также и	1	1
153	же как	1	1
154	xvii века	1	1
155	и уж	1	1
156	совершенно справедливо	1	1
157	человека и	4	1
158	и через	1	1
159	себя как	2	1
160	в виду	2	1
161	того же	2	1
162	как известно	1	1
163	что до	1	1
164	это и	3	1
165	в собственном	1	1
166	но тем	1	1
167	мышкин и	1	1
168	границы этого	1	1
169	и есть	1	1
170	нам кажется	1	1
171	в себя	2	1
172	ту же	3	1
173	и до	1	1
174	духа но	1	1
175	не имеют	4	1
176	на том	2	1
177	в образе	1	1
178	в несколько	1	1
179	особенно в	1	1
180	здесь нет	2	1
181	или на	1	1
182	повести гоголя	1	1
183	мы имеем	1	1
184	даже у	1	1
185	на первом	2	1
186	и о	1	1
187	но у	1	1
188	быть может	2	1
189	для этого	1	1
190	по себе	1	1
191	по мере	1	1
192	этой концепции	2	1
193	подхода к	3	1
194	связанное с	1	1
195	на себя	1	1
196	с ее	3	1
197	событий и	1	1
198	но даже	1	1
199	социальных связей	1	1
200	то это	1	1
201	не совсем	1	1
202	в действительной	1	1
203	в мире	4	1
204	и он	2	1
205	с большим	1	1
206	внимание на	1	1
207	и что	1	1
208	натурализма гоголь	1	1
209	еще не	1	1
210	они считают	1	1
211	на втором	1	1
212	нам представляется	1	1
213	столь же	1	1
214	время в	3	1
215	времени в	13	1
216	не могу	2	1
217	тем как	1	1
218	в эстетической	1	1
219	в конечном	4	1
220	жизни он	2	1
221	к нему	1	1
222	на самом	3	1
223	совсем не	1	1
224	но не	3	1
225	вся эта	1	1
226	переходит в	2	1
227	него все	1	1
228	этой среды	1	1
229	может и	1	1
230	отметить что	1	1
231	и место	1	1
232	и достоевский	2	1
233	на словах	1	1
234	в истории	1	1
235	в одной	2	1
236	эта связь	1	1
237	для создания	1	1
238	до его	1	1
239	в своем	4	1
240	один из	4	1
241	князь мышкин	3	1
242	в цепь	1	1
