N	2gram	Berdyaev_O_1	UchenyiS
1	и в	19	14
2	а не	11	10
3	не только	11	10
4	и не	13	8
5	прежде всего	9	8
6	в этом	12	7
7	не может	4	7
8	то что	5	7
9	может быть	11	6
10	все это	6	5
11	хотя бы	3	5
12	художественного творчества	1	5
13	но и	13	4
14	в этой	5	4
15	в россии	5	4
16	у нас	1	3
17	в своей	2	3
18	все же	2	3
19	и формы	1	3
20	в частности	1	3
21	для него	5	3
22	но в	2	3
23	и то	2	3
24	было бы	3	3
25	это не	3	3
26	как и	6	3
27	и через	1	2
28	в себе	3	2
29	бы и	1	2
30	и с	2	2
31	же не	1	2
32	не случайно	1	2
33	по себе	2	2
34	интереса к	1	2
35	но не	1	2
36	с его	4	2
37	смысле этого	1	2
38	ничего не	2	2
39	тем что	2	2
40	и для	2	2
41	даже и	2	2
42	о чем	1	2
43	не все	2	2
44	что она	1	2
45	это было	3	2
46	что он	3	2
47	что все	2	2
48	должна быть	1	2
49	в том	5	2
50	что и	2	2
51	в его	7	2
52	художественном творчестве	2	2
53	если бы	1	2
54	могут быть	3	2
55	еще ничего	1	2
56	не в	11	2
57	его и	1	2
58	в самом	5	2
59	самом деле	1	2
60	мы не	1	2
61	этом отношении	1	2
62	в конце	1	2
63	но это	1	2
64	не есть	2	2
65	том что	2	2
66	не могут	3	2
67	было сделать	1	1
68	друг с	1	1
69	в процессе	1	1
70	и что	1	1
71	в которой	2	1
72	до конца	7	1
73	он не	7	1
74	с другом	1	1
75	от которой	1	1
76	само по	1	1
77	все что	3	1
78	он ставит	1	1
79	с тем	2	1
80	что было	1	1
81	бы в	1	1
82	толстого и	1	1
83	свое оправдание	1	1
84	в свое	1	1
85	в виду	1	1
86	что только	1	1
87	у толстого	1	1
88	достоевского и	5	1
89	природе и	1	1
90	одно из	2	1
91	она не	1	1
92	но он	7	1
93	все и	1	1
94	сказать что	2	1
95	о нем	1	1
96	о том	3	1
97	не внешне	1	1
98	не существует	1	1
99	его как	1	1
100	что же	2	1
101	было и	1	1
102	ее в	2	1
103	и потому	2	1
104	все его	1	1
105	у кого	2	1
106	было у	1	1
107	всего что	1	1
108	что в	4	1
109	он был	8	1
110	а это	1	1
111	к которой	1	1
112	может служить	1	1
113	ней не	1	1
114	и требованиями	1	1
115	того что	3	1
116	существование в	1	1
117	должно быть	2	1
118	в этот	2	1
119	на своем	1	1
120	уже не	1	1
121	к этому	2	1
122	не делает	1	1
123	так и	2	1
124	быть не	1	1
125	и действительно	1	1
126	него не	2	1
127	о которой	2	1
128	человека и	10	1
129	для тех	1	1
130	л толстого	1	1
131	состоит из	1	1
132	из самых	1	1
133	и все	10	1
134	говорит он	1	1
135	никогда и	2	1
136	и это	1	1
137	не было	9	1
138	на то	1	1
139	сам по	1	1
140	которой все	1	1
141	никогда не	9	1
142	он в	2	1
143	и даже	1	1
144	что для	2	1
145	в котором	1	1
146	он знает	1	1
147	связаны и	1	1
148	у него	22	1
149	это для	1	1
150	всего только	1	1
151	в нем	10	1
152	бы ни	1	1
153	и эта	1	1
154	в ней	1	1
155	все в	4	1
156	того как	1	1
157	и прежде	1	1
158	она должна	1	1
159	он и	1	1
160	не вполне	1	1
161	они в	1	1
162	он прежде	2	1
163	ее как	1	1
164	в своем	2	1
