N	2gram	Propp_Isto_6	IolandNe
1	и с	6	3
2	должен быть	1	2
3	и не	10	2
4	в этом	12	2
5	он не	2	2
6	что в	12	2
7	самого себя	2	2
8	ничего не	2	2
9	бы что	1	2
10	нет есть	1	1
11	все это	1	1
12	и др	2	1
13	и тот	1	1
14	и в	26	1
15	только что	2	1
16	и о	1	1
17	в эту	2	1
18	то и	2	1
19	них не	1	1
20	а по	1	1
21	бы в	1	1
22	более чем	1	1
23	как только	3	1
24	того же	2	1
25	с другой	10	1
26	а в	3	1
27	того что	2	1
28	стороны он	3	1
29	после смерти	2	1
30	в руки	2	1
31	все тех	1	1
32	как о	1	1
33	а позднее	1	1
34	на котором	3	1
35	а с	2	1
36	другой стороны	8	1
37	и чрезвычайно	1	1
38	с героем	1	1
39	в первую	1	1
40	не так	2	1
41	для него	1	1
42	а также	4	1
43	нам в	1	1
44	получается нечто	1	1
45	в основе	1	1
46	что при	2	1
47	как отец	1	1
48	и сам	2	1
49	есть только	1	1
50	видит в	1	1
51	отношению к	2	1
52	а если	1	1
53	так и	5	1
54	от этого	3	1
55	того чтобы	1	1
56	не случайно	1	1
57	никогда не	13	1
58	следующим образом	1	1
59	о ней	1	1
60	не здесь	1	1
61	жизни и	2	1
62	и очень	1	1
63	тех же	1	1
64	тем что	5	1
65	в целом	1	1
66	по отношению	2	1
67	в них	3	1
68	все эти	8	1
69	по существу	1	1
70	от нее	2	1
71	если бы	3	1
72	для того	1	1
