1	к тому что	2	3
2	бы и не	1	2
3	то что я	2	2
4	в нем нет	3	2
5	а между тем	1	2
6	и т д	19	2
7	добра и зла	1	2
8	в том что	7	2
9	познания добра и	1	2
10	не верит в	1	2
11	от бога по	1	1
12	и есть то	1	1
13	имеет своим предметом	1	1
14	да и то	3	1
15	все равно не	1	1
16	с ними как	1	1
17	другой стороны в	1	1
18	и в этом	3	1
19	веры а не	1	1
20	по сравнению с	2	1
21	все это мы	1	1
22	но от этого	1	1
23	в я в	1	1
24	так как она	4	1
25	не есть метафизическое	2	1
26	есть прежде всего	1	1
27	д и т	2	1
28	но все же	1	1
29	и то и	2	1
30	т д и	2	1
31	с другой стороны	4	1
32	по крайней мере	4	1
33	в конце концов	3	1
34	есть то что	1	1
35	то и другое	2	1
