N	2gram	Tiupa_Vved_1	Stilisti
1	и в	13	42
2	не только	20	27
3	как бы	4	27
4	и т.п	9	24
5	прежде всего	7	22
6	и т.д	5	20
7	хотя бы	1	17
8	то же	5	15
9	но и	19	15
10	и не	12	14
11	не может	7	12
12	может быть	18	12
13	как и	11	11
14	точки зрения	1	11
15	отнюдь не	7	10
16	в этом	21	10
17	как мы	3	10
18	ситуации и	3	10
19	мы должны	1	10
20	что мы	2	10
21	мы не	4	9
22	при этом	26	9
23	в то	4	9
24	то что	6	9
25	в ней	4	8
26	все же	6	8
27	в себе	5	8
28	таким образом	4	8
29	тем самым	5	8
30	с тем	1	8
31	что же	3	8
32	в зависимости	1	7
33	зависимости от	1	7
34	и на	3	7
35	было бы	4	7
36	и тем	2	7
37	никогда не	4	7
38	же время	3	7
39	потому что	5	7
40	речевого взаимодействия	1	7
41	того чтобы	1	7
42	данной ситуации	2	7
43	только в	6	7
44	и его	5	7
45	мы можем	2	7
46	а не	15	7
47	и от	2	7
48	во всех	2	6
49	в этой	1	6
50	на его	1	6
51	в нем	5	6
52	не в	6	6
53	в процессе	1	6
54	в области	3	6
55	так и	8	6
56	в форме	1	6
57	и так	1	6
58	в конце	1	6
59	или иной	3	6
60	говорящего и	1	6
61	в свою	4	6
62	той же	1	5
63	уже в	1	5
64	в нашем	6	5
65	в той	4	5
66	и наконец	2	5
67	и с	2	5
68	мы видели	2	5
69	тому что	1	5
70	в сознании	4	5
71	а в	6	5
72	не является	3	5
73	же самое	1	5
74	те же	2	5
75	в его	4	5
76	и их	1	5
77	слова в	2	5
78	точек зрения	2	5
79	с помощью	1	5
80	вместе с	1	5
81	как это	1	5
82	слова и	1	5
83	самом деле	3	4
84	тем же	1	4
85	общения в	1	4
86	себя в	1	4
87	и к	2	4
88	но в	6	4
89	в самом	2	4
90	что это	1	4
91	так сказать	2	4
92	уже не	5	4
93	можно было	2	4
94	на него	2	4
95	у нас	1	4
96	к тому	6	4
97	той или	3	4
98	свою очередь	4	4
99	было в	1	4
100	если бы	7	4
101	о том	5	4
102	можно сказать	4	4
103	того что	6	4
104	один из	3	4
105	мы видим	1	4
106	с появлением	2	4
107	мы увидим	1	4
108	в качестве	8	4
109	если мы	1	4
110	точка зрения	3	4
111	а с	2	4
112	в слове	3	4
113	то есть	8	4
114	к своему	1	4
115	не что	1	4
116	все это	1	4
117	не существует	2	4
