N	2gram	Bakhtin_Fr_2	TeoriaLi
1	в мире	2	24
2	не только	17	18
3	в качестве	2	17
4	и не	15	16
5	а в	4	14
6	и в	49	13
7	в частности	1	13
8	то есть	32	12
9	так и	6	12
10	может быть	5	12
11	в этом	15	11
12	при этом	5	11
13	в том	3	11
14	но не	5	10
15	и его	17	10
16	а не	1	10
17	то же	7	9
18	в его	18	9
19	по отношению	1	8
20	такого рода	2	8
21	своего рода	1	8
22	но и	13	8
23	отношению к	1	8
24	что в	2	8
25	в себе	4	7
26	том что	4	7
27	точки зрения	6	7
28	в то	6	7
29	во второй	1	7
30	только в	13	7
31	еще не	2	6
32	с его	5	6
33	но в	4	6
34	лишь в	4	6
35	место в	3	6
36	же время	6	6
37	как бы	11	6
38	мы имеем	1	5
39	в своем	5	5
40	в самом	3	5
41	он не	1	5
42	того или	1	5
43	как и	11	5
44	не в	1	5
45	в нем	9	5
46	в ее	3	5
47	в пределах	2	5
48	и одновременно	1	5
49	с другой	4	5
50	как в	1	5
51	или иного	1	5
52	по преимуществу	2	4
53	а и	1	4
54	отношение к	8	4
55	хотя и	2	4
56	то что	6	4
57	ни в	3	4
58	в своей	5	4
59	в их	2	4
60	не менее	1	4
61	можно сказать	2	4
62	в форме	4	4
63	и ее	1	4
64	но он	6	4
65	и т.п	11	4
66	в свою	1	4
67	на смену	1	4
68	сказать что	6	4
69	не может	7	4
70	и то	1	3
71	например в	1	3
72	и т.д	2	3
73	в художественном	2	3
74	перед нами	1	3
75	и к	4	3
76	в противоположность	2	3
77	со своей	1	3
78	все эти	7	3
79	в нашем	2	3
80	в этой	10	3
81	и вот	3	3
82	и по	1	3
83	его в	1	3
84	по мысли	1	3
85	и сам	1	3
86	в этих	4	3
87	художественного творчества	1	3
88	в отношении	2	3
89	и внешней	1	3
90	никогда не	5	3
91	как раз	1	3
92	потому что	1	3
93	другой стороны	3	3
94	в произведении	2	3
95	так в	3	3
96	в другом	2	3
97	входит в	1	3
98	того что	1	3
99	в итоге	1	3
100	для него	9	3
101	слова в	1	3
102	с ее	3	3
103	именно в	6	3
104	и др	9	3
105	нового времени	4	3
106	прежде всего	19	3
107	и потому	5	3
108	по своему	1	3
109	к которому	1	3
110	таким образом	7	3
111	отношения к	4	2
112	мире это	1	2
113	того же	1	2
114	и это	3	2
115	это и	2	2
116	перед лицом	2	2
117	но она	1	2
118	я не	1	2
119	в целом	1	2
120	но напротив	1	2
121	в чем	1	2
122	и мира	1	2
123	могло быть	1	2
124	у него	2	2
125	и весьма	1	2
126	за пределы	2	2
127	что они	2	2
128	как к	2	2
129	одного текста	1	2
130	и как	1	2
131	в которой	1	2
132	образом и	1	2
133	в году	13	2
134	здесь мы	1	2
135	могла бы	1	2
136	об этом	1	2
137	это не	1	2
138	на уровне	1	2
139	вовсе не	10	2
140	с точки	5	2
141	внутренняя граница	1	2
142	их в	3	2
143	даже в	3	2
144	автора и	2	2
145	литературы как	1	2
146	только не	1	2
147	и для	1	2
148	вокруг него	1	2
149	частной жизни	1	2
150	имеет место	1	2
151	и о	4	2
152	здесь не	2	2
153	в себя	6	2
154	роль в	5	2
155	что может	1	2
156	если бы	1	2
157	в виду	3	2
158	и здесь	1	2
159	о том	3	2
160	к действительности	1	2
161	к нему	3	2
162	во всех	6	2
163	в литературе	6	2
164	к числу	2	2
165	мире и	3	2
166	с одной	3	2
167	этом что	1	2
168	в большинстве	1	2
169	в конце	2	2
170	во всей	1	2
171	и даже	2	2
172	в области	4	2
173	себя и	1	2
174	одной стороны	3	2
175	не на	1	2
176	одну из	2	2
177	о чем	3	2
178	на фоне	2	2
179	вместе с	2	2
180	так же	2	2
181	и особенно	3	2
182	из которых	1	2
183	могут быть	2	2
184	к тому	1	2
185	в художественной	1	2
186	жизни в	3	2
187	одной из	2	2
188	в романе	9	2
