N	3gram	Bakhtin_KF_1	EvropaiE
1	с точки зрения	9	16
2	в то же	2	15
3	то же время	2	14
4	и в то	1	8
5	в том что	2	6
6	для того чтобы	1	5
7	бы то ни	2	4
8	то ни было	2	4
9	и в этом	3	4
10	того или иного	3	4
11	само по себе	1	4
12	той или иной	2	4
13	к настоящему моменту	1	3
14	в этом смысле	3	3
15	хотя бы и	1	3
16	ту или иную	1	3
17	в известном смысле	1	3
18	во всяком случае	1	3
19	как бы ни	1	3
20	и на своем	1	2
21	того что в	1	2
22	между прочим и	1	2
23	только в том	1	2
24	но в то	1	2
25	и только в	2	2
26	не может быть	11	2
27	в свою очередь	1	2
28	на то что	1	2
29	во второй половине	1	2
30	в большинстве случаев	1	2
31	и того же	1	1
32	не может не	1	1
33	а не к	1	1
34	в этом мире	1	1
35	собой столь же	1	1
36	или иную эпоху	1	1
37	дело в том	1	1
38	хотя бы только	1	1
39	не может дать	2	1
40	имеют дело с	1	1
41	в соответствии с	2	1
42	в том же	1	1
43	несмотря на то	1	1
44	в нем и	3	1
45	и не в	1	1
46	в лучшем случае	1	1
47	нужно помнить что	1	1
48	и та же	1	1
49	в противном случае	1	1
50	то или иное	2	1
51	может быть и	1	1
52	не нужно думать	1	1
53	это может быть	1	1
54	и в своем	1	1
55	бы ни была	1	1
56	отказаться от своей	2	1
57	значит ли это	1	1
58	нужно думать что	1	1
59	и тот же	1	1
60	смысле этого слова	1	1
61	было бы совершенно	1	1
62	в значительной степени	1	1
63	во всех этих	2	1
64	в том случае	1	1
65	одна и та	1	1
66	как одно из	1	1
67	что в области	1	1
68	вместо того чтобы	1	1
69	к ним они	1	1
70	один и тот	1	1
71	мы не можем	1	1
72	и тем самым	1	1
73	во всем его	2	1
74	одного и того	1	1
75	оставить в стороне	1	1
76	но не в	1	1
77	он не дает	1	1
78	ли это что	1	1
79	к тому что	1	1
80	в том смысле	1	1
81	в ту или	1	1
82	в себе в	1	1
83	а именно в	1	1
84	всех этих случаях	1	1
85	независимо от того	1	1
86	только тогда когда	1	1
87	и не быть	2	1
88	с разных точек	1	1
