N	3gram	Vygotskiy__6	Literetu
1	в этом отношении	3	5
2	в отличие от	1	5
3	по отношению к	10	4
4	в данном случае	1	4
5	с одной стороны	1	4
6	в том что	19	4
7	в том числе	1	3
8	с точки зрения	10	3
9	не может быть	2	3
10	то что я	1	2
11	состоит в том	2	2
12	в самом деле	1	2
13	подобно тому как	1	2
14	то же самое	6	2
15	из того что	3	2
16	том числе и	1	2
17	не только в	1	2
18	а не как	1	2
19	с другой стороны	2	2
20	а и в	1	2
21	и тем самым	5	2
22	той или иной	1	2
23	на то что	4	2
24	отношение к предмету	2	1
25	что иное как	1	1
26	может быть выражено	3	1
27	он сам не	1	1
28	не только по	1	1
29	начинается с того	2	1
30	на самом деле	1	1
31	о том как	1	1
32	и там где	2	1
33	друг от друга	1	1
34	только в том	1	1
35	но не в	1	1
36	именно то что	1	1
37	вместе с тем	2	1
38	так как мы	1	1
39	в первую очередь	3	1
40	во второй половине	1	1
41	эти два момента	1	1
42	то что в	1	1
43	по аналогии с	1	1
44	именно в этом	2	1
45	и то что	2	1
46	как раз в	2	1
47	там где есть	1	1
48	едва ли не	1	1
49	в самом начале	4	1
50	не что иное	1	1
51	как мы и	1	1
52	содержит в себе	1	1
53	вообще не знает	1	1
54	в действительности же	1	1
55	в связи с	2	1
56	исходит из того	1	1
57	его за собой	1	1
58	лишь тогда когда	1	1
59	вопрос о том	1	1
60	как бы в	1	1
61	для того чтобы	8	1
62	на вопрос что	1	1
63	этой точки зрения	1	1
64	в ряду других	1	1
65	того что у	1	1
66	которое может быть	1	1
67	в свою очередь	1	1
68	содержат в себе	1	1
69	ничего общего с	1	1
70	с того что	2	1
71	не только не	2	1
72	с этой точки	1	1
73	тогда когда оно	1	1
74	если бы они	1	1
75	но отнюдь не	1	1
76	к тому что	7	1
77	тем не менее	1	1
78	они входят в	1	1
79	может быть в	1	1
80	там где мы	1	1
