N	3gram	Propp_Isto_5	Freidism
1	с точки зрения	1	11
2	по отношению к	2	8
3	во всяком случае	1	7
4	не может быть	3	7
5	в самом деле	1	6
6	мы знаем что	4	4
7	в зависимости от	1	4
8	то же время	1	4
9	в то же	1	4
10	в данном случае	2	4
11	на самом деле	1	4
12	можно сказать что	1	4
13	как мы видели	1	4
14	для того чтобы	3	3
15	в свою очередь	1	3
16	с самого начала	1	3
17	не дает нам	1	2
18	он не только	1	2
19	до сих пор	2	2
20	в таких случаях	2	2
21	в отличие от	1	2
22	по своему содержанию	1	2
23	но мы знаем	1	2
24	может быть это	1	2
25	на этом мы	1	2
26	что в его	1	2
27	с одной стороны	7	2
28	тем не менее	4	2
29	мы уже знаем	1	2
30	мы видели что	2	2
31	сводится к следующему	1	1
32	большую роль в	1	1
33	мы видим в	1	1
34	это означает что	1	1
35	в мифах и	1	1
36	так как в	2	1
37	это уже не	2	1
38	другими словами мы	1	1
39	в этом случае	7	1
40	но тем не	1	1
41	в нем и	3	1
42	в свою противоположность	2	1
43	конечно не может	1	1
44	много лет тому	1	1
45	в себе и	1	1
46	во всех этих	1	1
47	из того что	1	1
48	что мы знаем	1	1
49	то это означает	1	1
50	а иногда и	1	1
51	он связан с	1	1
52	время в своем	1	1
53	мы видели также	1	1
54	и тем не	1	1
55	мы не знаем	2	1
56	она основана на	1	1
57	только один из	1	1
58	но вместе с	3	1
59	дает нам никакого	1	1
60	лет тому назад	1	1
61	и потому не	1	1
62	то что он	1	1
63	на ней мы	1	1
64	мы знаем о	1	1
65	это не совсем	1	1
66	свою противоположность и	1	1
67	это было бы	1	1
68	таким образом в	1	1
69	они и не	1	1
70	то обстоятельство что	1	1
71	в то время	1	1
72	мы не будем	2	1
73	и от случайных	1	1
74	о том что	4	1
75	в пределах одной	1	1
76	на другую сторону	1	1
77	его в себя	2	1
78	но все же	4	1
79	на которой он	1	1
80	знаем что это	2	1
81	интересен тем что	1	1
82	не соответствует действительности	1	1
83	и что он	1	1
84	и т д	18	1
85	то же что	1	1
86	в том что	2	1
87	что и в	2	1
88	и входит в	1	1
89	не теряет своей	1	1
