N	2gram	Losev_Vlad_2	Dialekti
1	не есть	4	47
2	и не	18	30
3	может быть	7	20
4	не только	12	19
5	и в	30	19
6	по себе	5	18
7	и т	1	17
8	а не	7	16
9	в себе	6	15
10	т д	1	15
11	что она	1	14
12	потому что	9	14
13	то что	20	14
14	в том	18	14
15	так как	5	14
16	и даже	10	14
17	как бы	5	14
18	вовсе не	4	13
19	то же	4	12
20	точки зрения	7	12
21	не просто	1	12
22	но и	8	12
23	значит что	1	12
24	и все	7	12
25	и как	3	10
26	что это	4	10
27	в нем	4	10
28	ни в	7	10
29	как и	5	10
30	том что	12	10
31	сказать что	11	10
32	так и	5	10
33	это не	2	10
34	по крайней	4	9
35	никогда не	7	9
36	времени и	1	9
37	крайней мере	4	9
38	же и	2	9
39	не может	9	9
40	она есть	1	9
41	мы уже	2	8
42	в этом	20	8
43	в своей	5	8
44	с точки	3	8
45	не в	9	8
46	есть нечто	2	8
47	она не	2	8
48	прежде всего	6	8
49	это есть	1	8
50	это значит	2	8
51	и то	5	7
52	есть не	1	7
53	время как	2	7
54	так что	5	7
55	и к	6	7
56	должно быть	3	7
57	как это	7	7
58	и притом	2	7
59	только тогда	2	7
60	в душе	1	7
61	но что	5	7
62	как будто	2	7
63	но это	4	7
64	что в	12	7
65	я не	4	6
66	но не	3	6
67	что они	1	6
68	тогда когда	2	6
69	в то	9	6
70	не могу	2	6
71	и вообще	10	6
72	и та	1	6
73	что он	13	6
74	конечно не	4	6
75	что не	2	6
76	того что	5	6
77	да и	3	6
78	и может	2	6
79	личности и	1	6
80	есть и	2	6
81	жизни и	6	6
82	и потому	2	5
83	и это	3	5
84	говорить о	1	5
85	все равно	1	5
86	иной раз	2	5
87	же время	3	5
88	и его	6	5
89	и с	14	5
90	в виду	2	5
91	о том	4	5
92	и что	5	5
93	можно сказать	4	5
94	но как	1	5
95	не мешает	1	5
96	не то	3	5
97	что и	3	5
98	а именно	6	5
99	по своему	2	5
100	в смысле	1	5
101	как раз	1	5
102	в самом	2	5
103	только в	6	5
104	и есть	2	4
105	поэзии и	1	4
106	еще не	1	4
107	быть в	3	4
108	самом деле	1	4
109	тут же	2	4
110	независимо от	1	4
111	в своем	8	4
112	все же	9	4
113	нет никакой	1	4
114	только то	1	4
115	та же	1	4
116	как он	2	4
117	и если	4	4
118	при этом	5	4
119	он не	4	4
120	же это	2	4
121	и вот	3	4
122	содержит в	4	4
123	и по	2	4
124	таким образом	3	4
125	заключается в	2	4
126	нисколько не	2	4
127	в одном	1	4
128	но он	3	4
129	все это	5	4
130	с ним	5	4
131	связи с	8	4
132	в таком	3	4
133	в каком	1	4
134	не могут	1	4
135	есть только	1	4
136	это конечно	1	4
137	без всякого	2	4
138	ясно что	1	4
139	может не	1	4
140	к нему	2	4
141	есть сама	1	4
