N	3gram	Bakhtin_Fr_4	Sovremen
1	с точки зрения	2	5
2	не может быть	1	4
3	мы видели что	1	3
4	с самого начала	3	3
5	в отличие от	1	2
6	в свою очередь	1	2
7	может быть и	1	2
8	то же самое	1	2
9	том что эта	1	1
10	одной стороны и	1	1
11	уже знаем что	1	1
12	его таким образом	1	1
13	в связи с	1	1
14	дело в том	1	1
15	на самом деле	1	1
16	и до сих	1	1
17	один и тот	2	1
18	до наших дней	2	1
19	до сих пор	1	1
20	то же время	8	1
21	раз и навсегда	1	1
22	и в то	4	1
23	сих пор в	1	1
24	таким образом все	2	1
25	мы не знаем	1	1
26	в конечном счете	1	1
27	и не может	1	1
28	только один смысл	1	1
29	в том случае	1	1
30	в то же	8	1
31	мы видим что	1	1
32	но мы уже	1	1
33	мы уже знаем	1	1
34	в том что	1	1
35	в данном случае	1	1
36	же самое что	1	1
37	с одной стороны	2	1
38	на этот раз	1	1
39	и тот же	2	1
