N	3gram	Bakhtin_Pr_2	NovoeSre
1	не может быть	4	4
2	в этом смысле	2	2
3	что в нем	1	2
4	не может уже	1	2
5	с одной стороны	1	2
6	с другой стороны	3	2
7	в том и	1	2
8	и в жизни	1	1
9	по существу своему	1	1
10	то время как	2	1
11	и до сих	1	1
12	есть прежде всего	1	1
13	в том числе	1	1
14	же как и	1	1
15	до сих пор	7	1
16	и во всех	1	1
17	и не может	4	1
18	сами по себе	1	1
19	в отличие от	4	1
20	но и в	1	1
21	не менее чем	1	1
22	образ человека и	1	1
23	том числе и	1	1
24	не знает что	1	1
25	можно было бы	3	1
26	и не в	1	1
27	в этом он	1	1
28	мысли но в	1	1
29	и в большинстве	2	1
30	но она не	1	1
31	но для чего	1	1
32	то что он	1	1
33	в нем не	1	1
34	во всяком случае	1	1
35	я не могу	2	1
36	и в формах	1	1
37	о том что	1	1
38	в то время	2	1
39	этого нельзя сказать	1	1
40	в значительной степени	1	1
41	не удалось но	1	1
42	в большинстве случаев	8	1
43	как ни в	1	1
44	в том что	1	1
45	как и в	3	1
46	бы он и	1	1
47	прежде всего как	1	1
48	конечно не в	1	1
