N	2gram	Losev_Vesc_1	VelikijI
1	во имя	1	32
2	и не	29	20
3	и в	21	16
4	так как	7	9
5	то что	27	9
6	еще не	8	8
7	в истории	1	8
8	что они	6	7
9	а не	19	7
10	и потому	5	7
11	человека и	1	6
12	не есть	49	6
13	на себя	1	5
14	но и	18	5
15	того что	8	5
16	хотя и	4	5
17	все это	5	5
18	что есть	5	5
19	как бы	12	5
20	и есть	26	4
21	говорить о	6	4
22	в его	2	4
23	к личности	1	4
24	и я	1	4
25	мы хотим	1	4
26	в этом	4	4
27	что он	1	4
28	потому что	16	4
29	в нем	2	4
30	так и	3	4
31	что все	2	4
32	что не	5	4
33	с богом	1	4
34	как и	8	4
35	что мы	14	4
36	в котором	3	4
37	в ней	12	4
38	и все	5	4
39	это еще	1	4
40	о смысле	4	4
41	все что	1	4
42	в абсолютном	1	3
43	от этого	2	3
44	и что	15	3
45	должна быть	4	3
46	нас и	1	3
47	хотя бы	6	3
48	то это	3	3
49	как не	1	3
50	в чем	6	3
51	с его	1	3
52	во всех	2	3
53	что и	3	3
54	и будет	1	3
55	в том	8	3
56	тот же	3	3
57	но в	5	3
58	в вопросе	1	3
59	бы и	5	3
60	все эти	3	3
61	в конце	2	3
62	их в	3	3
63	в своей	5	3
64	и мы	1	3
65	в жизни	3	3
66	ни в	1	3
67	не было	1	3
68	должно быть	6	3
69	если не	3	3
70	в этих	1	3
71	что я	24	3
72	не в	5	3
73	к чему	1	3
74	тому что	2	3
75	но это	10	3
76	к бытию	1	3
77	не верят	1	3
78	никогда не	2	3
79	верят в	1	3
80	личности и	1	3
81	превращается в	1	3
82	и для	9	3
83	к тому	3	3
84	жизни и	2	3
85	что в	9	3
86	оно не	3	3
87	и это	14	2
88	нем нет	1	2
89	того чтобы	3	2
90	и то	10	2
91	у людей	1	2
92	но мы	1	2
93	это мы	1	2
94	и т	19	2
95	можно было	2	2
96	мы не	6	2
97	и новые	1	2
98	с ним	8	2
99	будет уже	1	2
100	мы взяли	1	2
101	и во	3	2
102	нет и	1	2
103	от этих	1	2
104	не с	7	2
105	на нас	2	2
106	только в	14	2
107	в себя	13	2
108	конечно не	1	2
109	уже не	9	2
110	не только	36	2
111	на этих	1	2
112	раз навсегда	2	2
113	его и	2	2
114	не так	1	2
115	для него	4	2
116	не к	1	2
117	вот почему	3	2
118	тем что	2	2
119	не будет	12	2
120	это не	5	2
121	т д	19	2
122	истории и	2	2
123	а с	3	2
124	прежде всего	9	2
125	все равно	2	2
126	с тем	5	2
127	мы и	1	2
128	один из	3	2
129	выше всякого	1	2
130	для человека	1	2
131	и тогда	1	2
132	когда я	5	2
133	я говорю	1	2
134	теперь только	1	2
135	зачем же	2	2
136	нет еще	1	2
137	является в	2	2
138	а есть	2	2
139	самого себя	1	2
140	да и	3	2
141	личность как	2	2
142	в смысл	1	2
143	одна из	5	2
144	основанную на	1	2
145	уже на	1	2
146	том что	8	2
147	тот кто	1	2
148	для нас	2	2
149	они и	1	2
150	ее в	1	2
151	есть уже	1	2
152	до того	1	2
153	а в	4	2
154	но не	5	2
155	в духе	1	2
156	могут быть	1	2
157	понимает и	1	2
158	во всяком	3	2
159	всегда в	1	1
160	к полному	1	1
161	эта новая	1	1
162	как мы	4	1
163	имя этого	1	1
164	быть может	1	1
165	в виду	2	1
166	для себя	5	1
167	в ее	7	1
168	же теперь	1	1
169	упорно и	1	1
170	было сказать	1	1
171	и самое	2	1
172	значение в	1	1
173	мы будем	1	1
174	имя его	1	1
175	то же	6	1
176	и вечном	1	1
177	из всего	1	1
178	бытие не	1	1
179	в результате	3	1
180	и тут	3	1
181	это только	1	1
182	по сравнению	7	1
183	вопрос о	1	1
184	объективную реальность	2	1
185	нас это	1	1
186	но может	1	1
187	только это	3	1
188	находится в	3	1
189	я не	4	1
190	и ее	18	1
191	по смыслу	5	1
192	зависимости от	1	1
193	кто же	1	1
194	думаю что	1	1
195	и который	1	1
196	если исключить	1	1
197	бы то	4	1
198	что оно	8	1
199	к нему	1	1
200	ее к	2	1
201	сознания не	1	1
202	если в	1	1
203	тогда как	1	1
204	что человек	1	1
205	себе и	1	1
206	бы в	5	1
207	себя но	1	1
208	не просто	19	1
209	революция духа	1	1
210	крайней мере	4	1
211	другое и	1	1
212	и можно	1	1
213	и чем	3	1
214	в утверждении	1	1
215	и уж	1	1
216	его на	1	1
217	бытия на	1	1
218	и пусть	1	1
219	это ни	1	1
220	в своем	6	1
221	с именем	4	1
222	все же	4	1
223	но с	2	1
224	себя с	5	1
225	д и	5	1
226	сделать это	2	1
227	в двух	1	1
228	могли бы	1	1
229	есть что-нибудь	1	1
230	мы видим	2	1
231	с ними	3	1
232	было что	1	1
233	позитивизма и	1	1
