N	3gram	Vygotskiy__2	FransuaR
1	мы уже говорили	3	11
2	как мы уже	3	6
3	о том что	4	5
4	в другом месте	2	4
5	в самом деле	4	4
6	с одной стороны	7	4
7	на первый план	1	3
8	в этом отношении	3	3
9	характер носит и	1	3
10	и т.п но	1	3
11	до сих пор	1	3
12	вместо того чтобы	1	3
13	здесь в этой	1	2
14	одной стороны и	2	2
15	с точки зрения	18	2
16	и вовсе не	1	2
17	и то что	1	2
18	в данном случае	3	2
19	т.п но и	1	2
20	и тот же	1	2
21	о том какое	1	2
22	с другой стороны	1	2
23	в том что	21	2
24	с помощью которых	1	2
25	по отношению к	5	1
26	в той или	1	1
27	с таким же	2	1
28	по этому вопросу	1	1
29	том что в	2	1
30	о котором говорит	1	1
31	дело в том	1	1
32	более или менее	2	1
33	в которых он	1	1
34	и т.п то	1	1
35	с этим словом	1	1
36	о том как	1	1
37	один и тот	1	1
38	того же самого	1	1
39	не только свои	1	1
40	точку зрения на	1	1
41	мы находим в	1	1
42	между небом и	1	1
43	как и все	1	1
44	всем тем что	1	1
45	именно в этом	1	1
46	в сущности в	1	1
47	в одном отношении	1	1
48	у него в	1	1
49	на самом же	1	1
50	никогда не могут	1	1
51	из того что	4	1
52	на этот вопрос	5	1
53	рано или поздно	1	1
54	по самому своему	1	1
55	мы не будем	1	1
56	только для того	1	1
57	падает на землю	1	1
58	человека и в	1	1
59	сам по себе	1	1
60	именно это и	1	1
61	только то что	1	1
62	как раз в	2	1
63	смысле этого слова	3	1
64	со всем тем	1	1
65	а для этого	1	1
66	самому своему существу	1	1
67	как и вообще	1	1
68	это все же	1	1
69	в связи с	6	1
70	то что он	2	1
71	друг к другу	1	1
72	это значило бы	1	1
73	мы все время	1	1
74	для того чтобы	10	1
75	не может быть	6	1
76	мы видели что	3	1
77	что в начале	1	1
78	в зависимости от	6	1
79	заключается в том	7	1
80	после того как	1	1
81	той или иной	1	1
82	можно сказать что	1	1
83	за то что	1	1
84	видели что это	1	1
85	или иной мере	1	1
86	а с другой	4	1
87	в предисловии к	4	1
88	самом же деле	1	1
89	том что он	1	1
90	эта мысль не	1	1
91	того факта что	1	1
92	связи с этой	1	1
