N	3gram	Vygotskiy__5	Otkroven
1	от него и	1	4
2	в нем нет	1	3
3	в романах достоевского	1	3
4	для того чтобы	19	3
5	и в этом	1	2
6	что у него	1	2
7	не может быть	2	2
8	не могут быть	1	2
9	с тем что	3	2
10	смысле этого слова	1	1
11	в другом месте	1	1
12	как будто бы	1	1
13	по сравнению с	4	1
14	указывали на то	1	1
15	потому что в	2	1
16	том что в	1	1
17	ни к каким	1	1
18	друг к другу	4	1
19	того чтобы сделать	1	1
20	я имею в	1	1
21	в самом деле	5	1
22	есть не только	1	1
23	как бы в	2	1
24	и в том	1	1
25	в совершенно ином	1	1
26	на поверхности у	1	1
27	должен был бы	3	1
28	и когда он	2	1
29	когда он попал	1	1
30	он попал в	1	1
31	и все же	1	1
32	имею в виду	1	1
33	сам по себе	3	1
34	он должен был	2	1
35	само по себе	2	1
36	после того как	1	1
37	о том что	6	1
38	в этом отношении	3	1
39	то что в	2	1
40	и в самом	2	1
41	себе что он	1	1
42	заключает в себе	4	1
43	в том что	14	1
44	на то что	16	1
45	и не в	1	1
46	вот с чем	1	1
47	в том случае	1	1
48	и то что	3	1
49	он никогда не	1	1
50	уже указывали на	1	1
51	друг с другом	3	1
52	вместо того чтобы	1	1
53	что он был	1	1
54	и в его	1	1
55	но к этому	1	1
