N	2gram	Vinokur_St_1	Literetu
1	не только	18	24
2	при этом	2	19
3	в качестве	4	17
4	но и	10	17
5	в том	36	16
6	а не	16	16
7	в частности	4	15
8	том что	29	14
9	может быть	15	13
10	и не	16	12
11	в этом	21	12
12	в своем	2	11
13	своего рода	3	11
14	прежде всего	7	11
15	в русской	1	10
16	такого рода	2	10
17	то что	18	10
18	или иначе	2	9
19	в целом	5	8
20	так или	2	8
21	не в	12	8
22	в тексте	12	8
23	и в	44	8
24	только в	10	8
25	как это	4	8
26	я не	7	7
27	отказ от	1	7
28	как бы	4	7
29	в себе	2	7
30	не менее	5	7
31	в его	9	7
32	уже не	1	7
33	и я	3	6
34	то есть	2	6
35	как и	9	6
36	точки зрения	11	6
37	и сам	2	6
38	того что	9	6
39	себя в	1	6
40	xix века	1	6
41	то же	5	5
42	как в	13	5
43	не столько	1	5
44	в то	9	5
45	для себя	3	5
46	казалось бы	1	5
47	а также	2	5
48	же время	4	5
49	что он	10	5
50	уже в	2	5
51	русской поэзии	1	5
52	не может	8	5
53	в данном	14	5
54	с этой	3	5
55	я в	1	5
56	с его	1	5
57	тем самым	2	5
58	в своей	6	4
59	еще не	3	4
60	столь же	4	4
61	но не	3	4
62	в этой	11	4
63	все же	8	4
64	в случае	2	4
65	не как	1	4
66	лишь в	3	4
67	для этого	2	4
68	и его	8	4
69	данном случае	6	4
70	никогда не	5	4
71	так и	9	4
72	еще в	1	4
73	и тем	3	4
74	из них	8	4
75	в конце	3	4
76	как раз	4	4
77	со стороны	6	4
78	это не	8	4
79	культуры в	3	4
80	в своих	2	4
81	например в	8	3
82	тех же	1	3
83	и есть	1	3
84	тем же	3	3
85	исходит из	1	3
86	также и	9	3
87	что его	1	3
88	по отношению	3	3
89	более чем	2	3
90	в самом	7	3
91	бы не	2	3
92	с их	1	3
93	таким образом	7	3
94	той же	5	3
95	его в	2	3
96	самого пушкина	5	3
97	в повестях	6	3
98	далеко не	1	3
99	несмотря на	2	3
100	но в	10	3
101	том же	1	3
102	дело в	6	3
103	одна из	1	3
104	в основе	3	3
105	не должен	1	3
106	в области	14	3
107	ли не	2	3
108	в виду	1	3
109	нуждается в	1	3
110	по своей	2	3
111	потому что	6	3
112	одно из	2	3
113	у него	2	3
114	и даже	5	3
115	с другой	9	3
116	еще и	2	3
