1	то же время	4	7
2	в то же	4	7
3	в отличие от	1	5
4	в этом отношении	2	5
5	в данном случае	1	4
6	в том что	3	4
7	с одной стороны	1	4
8	о том что	1	4
9	в том числе	3	3
10	с точки зрения	8	3
11	не может быть	1	3
12	разумеется не в	1	2
13	но и в	3	2
14	не только в	5	2
15	и вместе с	1	2
16	особое место в	1	2
17	дело разумеется не	1	2
18	в одном из	1	2
19	то же самое	2	2
20	том числе и	2	2
21	той или иной	1	2
22	к себе самому	3	2
23	с другой стороны	1	2
24	с тех пор	1	1
25	на первый взгляд	1	1
26	только в том	1	1
27	в европейской литературе	1	1
28	то что в	1	1
29	что ему нужно	1	1
30	к тому что	1	1
31	в той или	1	1
32	отношение к себе	1	1
33	как бы уже	1	1
34	свое место в	1	1
35	xix и xx	1	1
36	было бы и	1	1
37	и т п	11	1
38	но при этом	1	1
39	и не только	1	1
40	это как бы	1	1
41	на свое место	1	1
42	в связи с	7	1
43	то что было	2	1
44	именно на этот	1	1
45	и в самый	1	1
46	с этой точки	1	1
47	вместе с тем	1	1
48	но одновременно он	1	1
49	для того чтобы	7	1
50	том что они	1	1
51	в другом месте	2	1
52	отношения к себе	1	1
53	и наконец в	1	1
54	как бы в	1	1
55	о том как	3	1
56	на самом деле	1	1
57	по аналогии со	1	1
58	в свою очередь	1	1
59	и было будущее	1	1
60	по аналогии с	1	1
61	между тем как	1	1
62	друг от друга	2	1
63	в основе этих	1	1
64	этой точки зрения	1	1
