N	2gram	Berdyaev_O_1	IolandNe
1	и с	2	3
2	и не	13	2
3	в этом	12	2
4	оба они	1	2
5	записок из	5	2
6	он не	7	2
7	творчества достоевского	1	2
8	что в	4	2
9	ничего не	2	2
10	о достоевском	2	2
11	же это	2	1
12	все это	6	1
13	нисколько не	1	1
14	и в	19	1
15	жизни этого	1	1
16	и о	2	1
17	из мертвого	2	1
18	бы в	1	1
19	к достоевскому	2	1
20	было не	1	1
21	я нисколько	1	1
22	это было	3	1
23	человеке и	5	1
24	а в	5	1
25	художественного творчества	1	1
26	того что	3	1
27	и без	1	1
28	всего творчества	1	1
29	а с	1	1
30	вся диалектика	1	1
31	и наказания	1	1
32	не так	1	1
33	для него	5	1
34	писателя а	1	1
35	что для	2	1
36	самого достоевского	3	1
37	был человек	1	1
38	и сам	1	1
39	художественном творчестве	2	1
40	слишком много	1	1
41	так и	2	1
42	мертвого дома	2	1
43	от этого	1	1
44	того чтобы	4	1
45	братья карамазовы	1	1
46	достоевского с	2	1
47	ушел от	1	1
48	не случайно	1	1
49	никогда не	9	1
50	из подполья	11	1
51	жизни и	1	1
52	и очень	2	1
53	преступления и	1	1
54	тем что	2	1
55	в них	1	1
56	все эти	4	1
57	со всеми	1	1
58	если бы	1	1
59	для того	3	1
