N	2gram	Medvedev_V_1	Komedia
1	и в	2	22
2	том что	2	12
3	в том	2	11
4	и его	1	8
5	и не	1	8
6	то же	1	6
7	в конце	2	6
8	потому что	1	5
9	все это	1	5
10	в другом	1	4
11	в их	1	4
12	так как	1	4
13	так в	1	4
14	ясно что	1	4
15	именно в	1	4
16	конце концов	2	4
17	по поводу	1	4
18	к этому	1	4
19	в этом	1	3
20	главным образом	1	3
21	да и	1	3
22	в частности	1	3
23	только в	1	3
24	столь же	1	2
25	в самом	1	2
26	для них	1	2
27	стр и	1	2
28	даже не	1	2
29	но это	1	2
30	социальных отношений	1	1
31	хотел сказать	1	1
32	а только	1	1
33	говорится в	1	1
34	по существу	1	1
35	значительной степени	1	1
36	в которых	1	1
37	том же	1	1
38	и почти	1	1
39	по своим	1	1
40	в значительной	1	1
41	и только	1	1
42	хотя бы	1	1
43	ничуть не	1	1
44	далеко не	1	1
45	впрочем не	1	1
46	с большой	1	1
47	в книге	3	1
48	гораздо более	1	1
