N	3gram	Propp_Isto_7	VrazhdaK
1	в связи с	1	3
2	он не только	1	2
3	с точки зрения	1	2
4	и что в	1	2
5	не может быть	3	2
6	в том что	4	2
7	между прочим и	2	1
8	в ответ на	3	1
9	до сих пор	2	1
10	он вспоминает о	1	1
11	независимо от того	1	1
12	но это не	2	1
13	точно так же	2	1
14	с тех пор	1	1
15	не имеет никаких	1	1
16	о том как	1	1
17	так же как	4	1
18	в свете этой	1	1
19	и что он	1	1
20	на первый взгляд	4	1
21	все же не	1	1
22	на свое место	2	1
23	что у него	4	1
24	с другой стороны	8	1
25	тем не менее	4	1
26	что они не	1	1
27	в то время	2	1
28	не все ясно	2	1
29	о том что	5	1
30	почему этого не	1	1
31	еще один пример	1	1
