N	4gram	Losev_Prob_3	Vladivir
1	дело в том что	2	4
2	еще и потому что	1	2
3	заключение мы должны сказать	1	1
4	в заключение мы должны	1	1
5	чего бы то ни	2	1
6	в конце концов и	1	1
7	на самом же деле	4	1
8	но на этот раз	1	1
9	ничего о ней не	1	1
10	ни в каком случае	2	1
11	в чем не заинтересованного	1	1
12	самом же деле это	1	1
13	одно и то же	3	1
14	выдвинуть на первый план	1	1
15	не что иное как	4	1
16	в то время как	4	1
17	в каком случае не	1	1
18	собственно говоря никогда не	2	1
19	бы то ни было	3	1
20	мы должны сказать что	2	1
21	но в том виде	1	1
22	и т д в	1	1
23	ни в чем не	2	1
24	у а к толстого	1	1
25	и ни в чем	2	1
26	указанием на то что	1	1
27	есть не что иное	4	1
28	также и то что	4	1
29	заключается в том чтобы	1	1
30	мы уже видели что	1	1
