N	3gram	Propp_Isto_2	SlovoVZh
1	по отношению к	3	11
2	не может быть	2	7
3	в том что	5	4
4	тем не менее	1	3
5	до сих пор	6	3
6	это как бы	1	3
7	и то же	1	2
8	на самом деле	2	2
9	с другой стороны	2	2
10	для нас же	1	2
11	в зависимости от	1	2
12	мы можем сказать	1	2
13	с этой стороны	1	2
14	с одной стороны	3	2
15	том что в	1	1
16	но все же	4	1
17	само нуждается в	1	1
18	в высшую степень	1	1
19	и др все	1	1
20	так как в	2	1
21	это только одна	1	1
22	но уже в	1	1
23	что мы имеем	1	1
24	сам по себе	1	1
25	таким образом мы	1	1
26	но и в	2	1
27	о том что	2	1
28	с самого начала	2	1
29	и прежде всего	1	1
30	можно было бы	3	1
31	подобно тому как	3	1
32	и здесь мы	1	1
33	мы имеем в	5	1
34	можно найти в	1	1
35	мы обратимся к	1	1
36	со всех сторон	4	1
37	только одна сторона	1	1
38	так и к	1	1
39	бы показать что	1	1
40	и в нем	1	1
41	к нему в	1	1
42	так же как	4	1
43	сих пор мы	2	1
44	к тому же	2	1
45	мы увидим что	3	1
46	в высшей степени	1	1
47	прежде всего нужно	1	1
