N	2gram	Bakhtin_Fr_8	Russkaja
1	не может	2	22
2	и не	9	19
3	в том	13	17
4	в этом	14	17
5	и в	56	14
6	с другом	1	14
7	друг с	1	14
8	то что	3	13
9	то же	11	11
10	точки зрения	6	11
11	таким образом	17	11
12	в то	12	10
13	же время	10	10
14	но и	9	10
15	в себе	4	9
16	не только	8	9
17	том что	8	9
18	с точки	2	9
19	может быть	3	9
20	того чтобы	4	8
21	прежде всего	6	8
22	как на	1	8
23	самом деле	2	7
24	и с	8	7
25	в данном	2	7
26	к тому	1	7
27	о том	4	7
28	к которой	1	6
29	в своем	3	6
30	и к	4	6
31	с тем	2	6
32	в своих	4	6
33	и при	2	6
34	если бы	2	6
35	все это	8	6
36	и для	2	6
37	для того	2	6
38	что он	2	6
39	для всех	1	6
40	для него	2	6
41	на самом	2	6
42	вопрос о	1	5
43	и на	7	5
44	между собой	1	5
45	во всех	8	5
46	в нем	8	5
47	при этом	4	5
48	он не	5	5
49	было бы	2	5
50	в своей	2	5
51	никогда не	5	5
52	потому что	6	5
53	между тем	3	5
54	и только	1	5
55	только в	9	5
56	конечно не	4	5
57	или иной	1	5
58	до сих	8	5
59	из которых	2	5
60	сих пор	8	5
61	а в	2	5
62	и то	2	4
63	бы то	2	4
64	но не	5	4
65	себе и	2	4
66	себя в	1	4
67	все же	2	4
68	более или	2	4
69	не в	3	4
70	в этой	6	4
71	то ни	2	4
72	в совершенно	4	4
73	его в	2	4
74	как и	5	4
75	которой он	1	4
76	или менее	2	4
77	в их	3	4
78	точку зрения	1	4
79	тогда когда	1	4
80	во всем	4	4
81	не могут	1	4
82	в мире	2	4
83	можно было	1	4
84	и т.д	3	4
85	в его	18	4
86	так как	4	4
87	вместе с	2	4
88	как бы	11	4
89	к вопросу	1	4
90	жизни и	1	4
91	что в	5	4
92	сил и	1	3
93	так чтобы	1	3
94	и ни	1	3
95	еще не	10	3
96	из этих	1	3
97	что они	2	3
98	в самом	9	3
99	что это	4	3
100	главным образом	3	3
101	на том	1	3
102	был и	2	3
103	в другом	3	3
104	лишь в	1	3
105	о которых	1	3
106	несмотря на	2	3
107	всех этих	3	3
108	но если	1	3
109	и сейчас	1	3
110	мы говорили	1	3
111	одна из	4	3
112	связи с	6	3
113	то это	1	3
114	что оно	1	3
115	той или	2	3
116	что все	4	3
117	данном случае	2	3
118	может только	1	3
119	для этого	1	3
120	при котором	1	3
121	но мы	1	3
122	в вопросах	1	3
123	в значительной	2	3
124	и во	2	3
125	что и	3	3
126	а следовательно	1	3
127	того что	1	3
128	одной из	3	3
129	в качестве	4	3
130	с нею	1	3
131	в большинстве	7	3
132	тем чтобы	1	3
133	в виде	2	3
134	из них	2	3
135	тем что	1	3
136	именно в	1	3
137	что для	3	3
138	не было	5	3
139	и потому	4	3
140	культуры в	2	3
141	о котором	1	3
142	и как	2	3
143	ибо в	1	3
144	все они	6	3
145	из этого	1	3
146	речь идет	1	2
147	говоря о	1	2
148	из всех	2	2
149	либо с	1	2
150	в ней	4	2
151	или от	1	2
152	время в	3	2
153	взгляде на	2	2
154	там и	1	2
155	именно на	1	2
156	по отношению	1	2
157	не просто	3	2
158	целый ряд	2	2
159	и наконец	3	2
160	но в	6	2
161	не можем	1	2
162	все эти	15	2
163	во многих	1	2
164	и те	2	2
165	говорили в	1	2
166	стремиться к	1	2
167	культуре и	1	2
168	состоит в	1	2
169	не к	1	2
170	и вот	1	2
171	так часто	2	2
172	для народа	1	2
173	мы уже	10	2
174	по сторонам	1	2
175	на этой	1	2
176	на почве	1	2
177	и тем	1	2
178	ведь в	3	2
179	участие в	1	2
180	культуры с	1	2
181	и тогда	1	2
182	народа и	1	2
183	в этих	11	2
184	во время	5	2
185	в котором	2	2
186	место в	1	2
187	друг другу	2	2
188	и более	4	2
189	их в	4	2
190	том же	1	2
191	тому что	1	2
192	ясностью и	1	2
193	в таких	3	2
194	для нас	1	2
195	у него	7	2
196	следовательно и	1	2
197	весь смысл	1	2
198	людей и	2	2
199	и является	1	2
200	как будто	1	2
201	в области	5	2
202	и серьезно	1	2
203	если же	1	2
204	и о	3	2
205	значительной мере	1	2
206	жизни своего	2	2
207	культуры и	2	2
208	в борьбе	2	2
209	это только	1	2
210	культуры которая	1	2
211	настоящее время	3	2
212	и что	1	2
213	от него	1	2
214	к нему	2	2
215	это в	2	2
216	вся эта	2	2
217	речь шла	1	2
218	отметить что	2	2
219	быть и	1	2
220	время когда	1	2
221	бы ни	1	2
222	по этому	1	2
223	так что	3	2
224	уже не	3	2
225	только на	2	2
226	в начале	1	2
227	его и	1	2
228	разных сторон	1	2
229	ни в	2	2
230	мы можем	1	2
231	только с	1	2
232	и вместе	1	2
233	в других	2	2
234	и даже	8	2
235	а с	1	2
236	в некоторых	3	2
237	а не	2	2
238	большинстве случаев	6	2
239	на эту	3	2
240	себя на	2	2
241	в частности	7	2
242	так же	2	2
243	политической жизни	1	2
244	их к	1	2
245	есть и	5	2
246	этого вида	1	2
247	благодаря этому	2	2
248	но это	2	2
249	и от	1	2
250	не подлежит	3	2
251	в результате	5	2
252	в настоящее	3	2
253	с ним	2	2
254	ее в	1	2
255	того же	1	1
256	идет о	1	1
257	показать что	1	1
258	ту же	4	1
259	можно лишь	1	1
260	что эти	2	1
261	также и	2	1
262	их и	2	1
263	и яркое	1	1
264	мы не	2	1
265	преимущественно из	1	1
266	не во	1	1
267	он как	1	1
268	в сущности	8	1
269	свою особую	1	1
270	в полной	1	1
271	они были	4	1
272	и видеть	1	1
273	он был	12	1
274	на них	3	1
275	не был	4	1
276	что его	1	1
277	географических названий	1	1
278	друг к	1	1
279	к этому	2	1
280	точка зрения	2	1
281	значение и	2	1
282	русского языка	1	1
283	стремящийся к	1	1
284	которые не	1	1
285	культуре в	1	1
286	в одной	1	1
287	перед нами	3	1
288	когда он	2	1
289	что по	1	1
290	не быть	1	1
291	и конечно	2	1
292	в которой	4	1
293	перестанет быть	1	1
294	сущности и	1	1
295	но ведь	1	1
296	им в	1	1
297	тому же	1	1
298	претендовать на	1	1
299	но на	1	1
300	он всегда	1	1
301	вообще не	1	1
302	на его	6	1
303	не следует	1	1
304	всех остальных	1	1
305	а скорее	1	1
306	они в	1	1
307	к одному	1	1
308	пор мы	1	1
309	войти в	1	1
310	языком и	1	1
311	но дело	2	1
312	так например	2	1
313	это конечно	1	1
314	здесь мы	3	1
315	для всей	1	1
316	тем же	1	1
317	к другу	1	1
318	момент и	1	1
319	то есть	24	1
320	или даже	1	1
321	всех областях	2	1
322	заключается в	1	1
323	с другими	1	1
324	его личности	1	1
325	это не	2	1
326	из нее	2	1
327	этого слова	1	1
328	но вся	1	1
329	исторический момент	1	1
330	со своими	1	1
331	не всегда	1	1
332	такой же	5	1
333	в один	1	1
334	одного и	1	1
335	что значит	1	1
336	все элементы	1	1
337	шла о	1	1
338	просто в	1	1
339	из которой	1	1
340	на свою	1	1
341	оказывается что	1	1
342	в которых	2	1
343	он весь	1	1
344	результате этого	1	1
345	быта и	1	1
346	своему существу	1	1
347	нельзя было	1	1
348	культуре он	1	1
349	были проникнуты	1	1
350	далее что	1	1
351	когда эти	2	1
352	быть таким	1	1
353	и эти	2	1
354	на другую	1	1
355	ни было	2	1
356	о какой-то	1	1
357	вовсе не	6	1
358	даже в	4	1
359	же мы	1	1
360	и вся	1	1
361	задачи и	1	1
362	народа это	1	1
363	к такой	1	1
364	до известной	1	1
365	что эта	1	1
366	строя и	1	1
367	она могла	1	1
368	самого начала	1	1
369	и всегда	1	1
370	дело в	2	1
371	полного и	1	1
372	не по	1	1
373	в основе	4	1
374	три века	1	1
375	образом в	2	1
376	чтобы стать	2	1
377	он с	1	1
378	только не	2	1
379	казалось бы	3	1
380	преимущественно в	1	1
381	и весь	1	1
382	и народов	1	1
383	с одним	2	1
384	таким путем	1	1
385	явление в	1	1
386	этих последних	1	1
387	особое значение	2	1
388	свидетельствуют о	1	1
389	и сама	1	1
390	хочет быть	1	1
391	русского человека	1	1
392	было не	1	1
393	этом отношении	1	1
394	нем все	1	1
395	личности к	1	1
396	что на	2	1
397	иметь никакой	1	1
398	стороны и	1	1
399	в духе	4	1
400	нет ни	2	1
401	могут быть	1	1
402	похож на	2	1
403	совершенно новым	1	1
404	слова но	1	1
405	же самое	1	1
406	всего в	1	1
407	все свое	1	1
408	и это	1	1
409	политической деятельности	1	1
410	из всего	1	1
411	как мы	7	1
412	но по	4	1
413	с ее	5	1
414	но при	1	1
415	на нем	1	1
416	в ее	6	1
417	таит в	1	1
418	языка и	6	1
419	только то	1	1
420	в себя	1	1
421	с самого	1	1
422	ряду с	1	1
423	роль в	5	1
424	ином виде	1	1
425	так и	13	1
426	те же	1	1
427	его жизни	2	1
428	больше в	1	1
429	собой в	1	1
430	мог бы	1	1
431	глубоко и	1	1
432	две части	2	1
433	с реальными	1	1
434	по сравнению	1	1
435	мы в	1	1
436	в эпоху	10	1
437	народа его	1	1
438	которому принадлежит	1	1
439	другом месте	3	1
440	язык и	2	1
441	можно сказать	2	1
442	с другой	2	1
443	по их	1	1
444	должно было	1	1
445	борьба с	1	1
446	подлежит сомнению	3	1
447	невозможным не	1	1
448	которые и	1	1
449	на отдельные	1	1
450	от них	1	1
451	такие черты	1	1
452	образом связаны	1	1
453	с реальной	1	1
454	и писать	1	1
455	у всех	2	1
456	в лице	1	1
457	происходит в	1	1
458	наконец и	1	1
459	на будущее	1	1
460	оставаясь в	1	1
461	по своей	4	1
462	один из	5	1
463	оно и	1	1
464	сомнению что	1	1
465	на другие	1	1
466	и углубляют	1	1
467	узнаем что	1	1
468	носит в	1	1
469	культурой и	1	1
470	и у	1	1
471	вопроса о	1	1
472	же у	1	1
473	и обратно	1	1
474	и других	4	1
475	за ним	1	1
476	к своим	1	1
477	мы знаем	1	1
478	теснейшим образом	2	1
479	и их	8	1
480	в прошлом	1	1
481	к ним	2	1
482	превращается в	1	1
483	в очень	1	1
484	с общим	1	1
485	связан с	2	1
486	себе представить	1	1
487	влияние на	1	1
488	связаны с	6	1
489	говорить и	1	1
490	человека а	1	1
491	к которому	3	1
492	и прежде	1	1
493	еще и	3	1
494	на национальном	1	1
495	а на	2	1
496	был в	2	1
497	на этот	1	1
498	которых мы	1	1
499	до конца	11	1
500	не верит	1	1
501	не на	3	1
502	и культур	1	1
503	однако и	1	1
504	власти и	2	1
505	в свете	4	1
506	в связи	3	1
507	связь с	3	1
508	о себе	2	1
509	если этот	1	1
510	в самой	1	1
511	играют в	1	1
512	как современная	1	1
513	речь не	1	1
514	по своему	8	1
515	неожиданно и	1	1
516	в тот	1	1
517	оно вовсе	1	1
518	на ней	1	1
519	громадное количество	1	1
520	ложь и	1	1
521	в церкви	2	1
522	время вполне	1	1
523	с некоторым	1	1
524	его творчество	3	1
525	с этой	2	1
526	есть много	1	1
527	и некоторые	2	1
528	числе и	2	1
529	к другим	1	1
530	с большой	1	1
531	отношениях к	1	1
532	известной степени	1	1
533	на все	1	1
534	которых он	2	1
535	этому и	1	1
536	что кроме	1	1
537	это как	1	1
538	в те	3	1
539	в отдельных	1	1
540	но когда	1	1
541	и внешней	1	1
542	бы в	3	1
543	тем более	1	1
544	другая в	1	1
545	было только	1	1
546	и все	6	1
547	может и	1	1
548	всюду где	1	1
549	из тех	1	1
550	всех странах	2	1
551	к его	3	1
552	отношению к	1	1
553	этот последний	1	1
554	что ни	1	1
555	значение их	1	1
556	и культуре	1	1
557	для эпохи	2	1
558	яркое выражение	1	1
559	многие из	2	1
560	том числе	3	1
561	они не	5	1
