N	4gram	Tiupa_Hudo_1	Formalny
1	в то же время	5	8
2	химическом соединении с художественной	1	2
3	в химическом соединении с	1	2
4	в том отношении что	1	1
5	в том числе и	1	1
6	в их отношении к	1	1
7	и в то же	1	1
8	этом смысле можно говорить	1	1
9	бы то ни было	1	1
10	с этой точки зрения	1	1
11	в более или менее	1	1
12	не может быть и	1	1
13	того или иного жанра	2	1
14	соединении с художественной идеологемой	1	1
15	произведения искусства в его	1	1
16	и глубже чем это	1	1
17	смысле можно говорить о	1	1
18	в этом смысле можно	1	1
