N	2gram	Losev_Vlad_1	VrazhdaK
1	в году	30	18
2	не только	24	9
3	в этом	14	8
4	и в	31	8
5	и что	6	8
6	но и	19	7
7	и все	4	7
8	года в	3	7
9	то что	18	7
10	что в	14	7
11	все же	3	6
12	но в	12	6
13	в нем	4	6
14	как и	4	6
15	в котором	6	6
16	и с	14	6
17	о нем	7	6
18	в начале	3	6
19	и даже	15	6
20	то же	6	5
21	об этом	7	5
22	в то	8	5
23	александра ii	1	5
24	же время	4	5
25	в письме	8	5
26	у него	15	5
27	не было	5	5
28	в россии	4	5
29	и не	17	5
30	в ней	1	4
31	что он	12	4
32	в истории	4	4
33	в россию	5	4
34	в вестнике	1	4
35	при этом	2	4
36	это не	1	4
37	несмотря на	4	4
38	все это	5	4
39	письме к	10	4
40	вестнике европы	1	4
41	во многом	2	4
42	с ним	5	4
43	о том	11	4
44	для нас	4	4
45	уже в	7	4
46	может быть	6	4
47	он считал	1	4
48	в своих	5	4
49	так же	1	4
50	одним из	2	3
51	который был	2	3
52	я не	4	3
53	он был	14	3
54	в чем	2	3
55	с его	11	3
56	в своем	4	3
57	и как	4	3
58	в этот	4	3
59	раз в	1	3
60	на то	5	3
61	он не	10	3
62	в париже	2	3
63	далеко не	1	3
64	и уже	1	3
65	том что	14	3
66	но он	5	3
67	года он	6	3
68	и его	7	3
69	связи с	1	3
70	человека в	1	3
71	и о	2	3
72	что у	4	3
73	и во	1	3
74	в его	12	3
75	в том	11	3
76	в январе	1	3
77	апреля года	1	3
78	и у	4	3
79	чтобы он	2	3
80	в конце	9	3
81	тем что	2	3
82	относился к	4	3
83	в связи	3	3
84	в те	8	3
85	он использовал	1	3
86	в петербург	3	3
87	марта года	3	3
88	к этому	6	3
89	отношения к	1	2
90	и то	10	2
91	но после	1	2
92	на место	1	2
93	и он	3	2
94	он сам	2	2
95	столь же	1	2
96	но как	5	2
97	ответ на	2	2
98	в эти	7	2
99	тогда как	1	2
100	он пишет	3	2
101	человека с	1	2
102	отнюдь не	3	2
103	его на	2	2
104	мая года	1	2
105	ноябре года	1	2
106	за границей	2	2
107	в этой	4	2
108	что к	3	2
109	в себе	4	2
110	время и	2	2
111	после этого	1	2
112	о которой	3	2
113	их в	1	2
114	таким образом	3	2
115	об этой	1	2
116	мне и	1	2
117	те годы	3	2
118	в них	2	2
119	а с	5	2
120	сказал он	1	2
121	мы знаем	2	2
122	не мог	3	2
123	на первый	2	2
124	во время	3	2
125	точки зрения	2	2
126	в своей	4	2
127	место в	2	2
128	письмо к	1	2
129	не менее	2	2
130	том же	1	2
131	ноября года	2	2
132	одна из	1	2
133	никогда не	9	2
134	м м	15	2
135	приехал в	1	2
136	и далее	1	2
137	в момент	2	2
138	к себе	2	2
139	на это	2	2
140	время он	3	2
141	и это	2	2
142	году в	2	2
143	в в	3	2
144	так в	1	2
145	еще не	2	2
146	он писал	4	2
147	году и	2	2
148	а также	5	2
149	там же	13	2
150	этот момент	2	2
151	тем более	2	2
152	после смерти	4	2
153	по мнению	1	2
154	уже не	3	2
155	из них	2	2
156	для него	7	2
157	отношение к	3	2
158	как раз	7	2
159	и стал	3	2
160	с которым	2	2
161	о чем	1	2
162	эти годы	3	2
163	начиная с	2	2
164	не может	6	2
165	вместе с	3	2
166	и а	2	2
167	в ноябре	2	2
168	это письмо	1	2
169	ко мне	1	2
170	в это	2	2
171	но это	3	2
172	что я	2	2
173	в петербургском	1	2
174	же в	1	2
175	а в	9	2
176	а н	2	2
177	в период	5	2
178	в свою	1	2
179	которых не	1	1
180	как известно	1	1
181	к людям	1	1
182	можно говорить	1	1
183	также и	10	1
184	котором уже	1	1
185	того же	6	1
186	к своей	2	1
187	это и	2	1
188	и есть	1	1
189	ему не	1	1
190	не хочет	1	1
191	едва ли	3	1
192	в их	1	1
193	по его	2	1
194	той же	2	1
195	что уже	1	1
196	что никто	1	1
197	он как	3	1
198	хуже чем	1	1
199	в полной	2	1
200	в разные	1	1
201	ему в	2	1
202	и был	6	1
203	это время	3	1
204	на них	1	1
205	первый план	2	1
206	полной уверенности	1	1
207	по своему	3	1
208	а следовательно	1	1
209	не мешало	2	1
210	и всего	1	1
211	в петербурге	8	1
212	совсем не	4	1
213	но не	3	1
214	заметим что	1	1
215	в сторону	1	1
216	был также	1	1
217	тут же	7	1
218	не хотел	1	1
219	что они	3	1
220	и я	2	1
221	взглядами и	2	1
222	же с	11	1
223	как в	3	1
224	только об	1	1
225	дает нам	1	1
226	для всех	1	1
227	некоторое время	2	1
228	как к	2	1
229	что как	1	1
230	себе на	1	1
231	знаю что	1	1
232	себе не	1	1
233	христианство с	1	1
234	и глубокой	1	1
235	то в	1	1
236	поэтому он	1	1
237	писал я	2	1
238	в самом	2	1
239	в целом	3	1
240	момент его	1	1
241	не был	5	1
242	за это	2	1
243	что же	5	1
244	и и	7	1
245	выражение в	1	1
246	почти одновременно	1	1
247	тому же	2	1
248	как он	4	1
249	он всегда	1	1
250	стал на	1	1
251	вражды и	1	1
252	вас и	1	1
253	не могла	1	1
254	в свет	1	1
255	да и	4	1
256	чем у	1	1
257	в силу	1	1
258	и читал	1	1
259	через год	3	1
260	из него	1	1
261	никому не	1	1
262	он тогда	1	1
263	ним на	1	1
264	одно и	1	1
265	это конечно	3	1
266	было время	1	1
267	не будет	1	1
268	никто из	1	1
269	их и	1	1
270	и князь	1	1
271	это было	6	1
272	заключается в	1	1
273	августа года	1	1
274	года на	2	1
275	было бы	2	1
276	в итоге	1	1
277	был очень	2	1
278	в жизни	3	1
279	из первых	1	1
280	о второй	1	1
281	в высшей	1	1
282	писал о	2	1
283	а за	1	1
284	всю жизнь	3	1
285	которой он	5	1
286	он и	6	1
287	в москве	8	1
288	своего приятеля	1	1
289	года и	2	1
290	но я	3	1
291	которую он	2	1
292	в этих	1	1
293	в №	1	1
294	всяком случае	2	1
295	заграничное путешествие	1	1
296	м о	1	1
297	весьма критически	1	1
298	каким был	1	1
299	на свою	3	1
300	важнее всего	1	1
301	представление о	1	1
302	сам же	1	1
303	не будем	2	1
304	конце жизни	1	1
305	тем не	2	1
306	без всяких	1	1
307	через несколько	3	1
308	с такими	1	1
309	что этот	3	1
310	он относился	2	1
311	а вот	1	1
312	на расстоянии	1	1
313	раз и	3	1
314	за обедом	1	1
315	вплоть до	1	1
316	тем самым	2	1
317	петербурге и	1	1
318	без ответа	1	1
319	правда в	1	1
320	было не	1	1
321	как о	1	1
322	общественный деятель	1	1
323	нем в	1	1
324	только не	1	1
325	следовательно и	1	1
326	ничего не	3	1
327	он оказался	2	1
328	был охвачен	1	1
329	весьма важно	2	1
330	ему было	3	1
331	того в	2	1
332	более что	2	1
333	по своей	4	1
334	же года	5	1
335	ввиду этого	1	1
336	потому что	11	1
337	до того	1	1
338	никуда не	2	1
339	этом отношении	1	1
340	в каком	2	1
341	н к	3	1
342	этот факт	2	1
343	и дал	1	1
344	мнения о	1	1
345	этого и	1	1
346	за что	1	1
347	по всем	2	1
348	не есть	1	1
349	уже на	1	1
350	правда не	1	1
351	отзывался о	2	1
352	с ее	1	1
353	свою очередь	1	1
354	не могло	1	1
355	характера он	1	1
