N	3gram	Tiupa_Narr_1	SlovoVZh
1	по отношению к	3	11
2	не может быть	4	7
3	можно сказать что	2	5
4	дело в том	2	4
5	как если бы	2	4
6	в том что	5	4
7	и не может	1	3
8	тем не менее	3	3
9	бы то ни	1	3
10	может быть и	1	3
11	до сих пор	2	3
12	то ни было	1	3
13	и то же	2	2
14	на самом деле	1	2
15	с другой стороны	1	2
16	то же самое	2	2
17	с точки зрения	1	2
18	в зависимости от	2	2
19	до известной степени	1	2
20	одно и то	2	2
21	в данном случае	8	2
22	с одной стороны	1	2
23	но все же	1	1
24	один и тот	1	1
25	имеем дело с	2	1
26	в нашем случае	1	1
27	точки зрения как	1	1
28	мы имеем дело	2	1
29	какой бы то	1	1
30	более или менее	1	1
31	во всяком случае	2	1
32	одна и та	1	1
33	в самом деле	2	1
34	бы не было	1	1
35	за ее пределы	1	1
36	самом деле в	1	1
37	же как и	1	1
38	в частности в	1	1
39	и точек зрения	1	1
40	сам по себе	1	1
41	сами по себе	2	1
42	то что мы	1	1
43	в свою очередь	2	1
44	но и в	2	1
45	и та же	1	1
46	о том что	2	1
47	только то что	1	1
48	в этом отношении	3	1
49	что не только	1	1
50	в конечном счете	1	1
51	не сливаются в	1	1
52	если бы не	1	1
53	отношению к ним	1	1
54	то же время	4	1
55	подобно тому как	3	1
56	между тем это	1	1
57	в русской литературе	1	1
58	но в своем	1	1
59	прежде всего тем	1	1
60	он думает и	1	1
61	по крайней мере	1	1
62	в то же	4	1
63	случае мы имеем	1	1
64	в значительной степени	1	1
65	к нему в	1	1
66	как и в	1	1
67	и с героем	1	1
68	к тому же	5	1
69	принимают участие в	1	1
70	сохраняет при этом	1	1
71	и тот же	1	1
