N	2gram	Medvedev_B_1	Literetu
1	а не	1	20
2	и в	1	19
3	и не	2	11
4	не только	1	8
5	с другой	1	8
6	так и	1	7
7	и на	1	6
8	у нас	3	5
9	отнюдь не	1	4
10	в области	1	4
11	в ней	2	4
12	прежде всего	1	4
13	другой стороны	1	4
14	что в	1	4
15	в данном	1	3
16	все же	1	2
17	по крайней	1	2
18	не вполне	1	2
19	то как	1	2
20	еще не	1	2
21	крайней мере	1	2
22	было бы	1	2
23	одной из	1	2
24	не было	1	2
25	до конца	1	2
26	и нет	1	2
27	должна быть	1	1
28	за пределы	1	1
29	не следует	1	1
30	никак не	1	1
31	таким образом	1	1
32	его не	1	1
33	о художественной	1	1
34	далеко не	1	1
35	в своей	1	1
36	бы пожалуй	1	1
37	и о	1	1
38	в пределах	1	1
39	можно было	2	1
40	словесного творчества	1	1
41	неудивительно что	1	1
42	не все	1	1
43	так по	1	1
44	признать его	1	1
45	нашему мнению	1	1
46	по нашему	1	1
47	и потому	1	1
48	всего в	1	1
49	на самом	1	1
50	также не	1	1
