N	2gram	Bakhtin_Pr_2	Sotsiolo
1	все это	5	7
2	в том	6	5
3	в этом	13	5
4	и только	3	3
5	как же	2	3
6	для нас	2	3
7	не только	11	3
8	и в	43	3
9	но ведь	5	3
10	не в	11	3
11	в его	10	3
12	за пределы	3	2
13	историка литературы	1	2
14	но и	14	2
15	конце концов	2	2
16	и мы	1	2
17	было бы	5	2
18	к которому	1	2
19	в смысле	1	2
20	она может	1	2
21	должна быть	3	2
22	только в	4	2
23	по природе	1	2
24	далеко не	4	2
25	в результате	4	2
26	тем более	1	2
27	том что	2	2
28	как будто	1	2
29	то что	7	2
30	или даже	1	2
31	и что	5	2
32	литературы и	1	2
33	еще не	9	2
34	ведь это	2	2
35	таким образом	5	2
36	это и	1	2
37	отношению к	5	2
38	в конце	2	2
39	что в	4	2
40	может быть	23	2
41	как бы	22	2
42	по отношению	5	2
43	по существу	3	2
44	то же	8	2
45	друг от	2	1
46	крайней мере	1	1
47	что все	1	1
48	я и	2	1
49	стиля как	1	1
50	же не	4	1
51	нашей работы	2	1
52	наконец в	3	1
53	по себе	11	1
54	даже в	3	1
55	сама по	4	1
56	а вот	2	1
57	в мире	1	1
58	не должна	3	1
59	эти вопросы	1	1
60	в этой	1	1
61	и должны	1	1
62	стоит только	1	1
63	этот основной	1	1
64	и самые	1	1
65	с другой	4	1
66	совокупность приемов	1	1
67	его в	3	1
68	с ним	3	1
69	это не	3	1
70	на этот	4	1
71	все же	3	1
72	один из	1	1
73	и есть	1	1
74	перед нами	7	1
75	в то	7	1
76	его собственная	1	1
77	мысли в	1	1
78	тем же	2	1
79	и наконец	6	1
80	еще и	1	1
81	а с	2	1
82	том как	1	1
83	тем что	3	1
84	и как	2	1
85	сущности есть	1	1
86	в процессе	2	1
87	на ней	1	1
88	что он	13	1
89	прежде всего	10	1
90	бы он	2	1
91	слова но	2	1
92	в них	4	1
93	так и	3	1
94	не было	1	1
95	одной стороны	1	1
96	те же	1	1
97	но только	1	1
98	и не	29	1
99	это вовсе	2	1
100	никогда не	9	1
101	основной вопрос	1	1
102	не место	2	1
103	мы не	4	1
104	это как	1	1
105	же время	5	1
106	ничего не	3	1
107	переходим к	3	1
108	между собою	4	1
109	и о	2	1
110	все эти	5	1
111	именно на	1	1
112	как и	14	1
113	между собой	2	1
114	бы в	5	1
115	без этого	1	1
116	с помощью	1	1
117	для этого	2	1
118	этом не	1	1
119	в настоящее	2	1
120	что автор	1	1
121	остается в	1	1
122	в таких	1	1
123	в сущности	9	1
124	но она	1	1
125	конечно не	2	1
126	в связи	1	1
127	часть нашей	1	1
128	иначе и	1	1
129	и его	8	1
130	в этих	6	1
131	автор не	1	1
132	связи с	1	1
133	от друга	2	1
134	хотя бы	2	1
135	его собственные	1	1
136	в целом	2	1
137	теперь он	2	1
138	мы переходим	2	1
139	стало быть	1	1
140	для наших	2	1
141	не может	18	1
142	в своей	4	1
143	не от	1	1
144	стиль в	1	1
145	а в	5	1
146	не способен	1	1
147	благодаря этому	1	1
148	него и	1	1
149	что она	1	1
150	о том	5	1
151	развиваться в	1	1
152	именно и	1	1
153	и потому	1	1
154	настоящее время	2	1
155	в него	7	1
156	в котором	6	1
157	никак не	5	1
158	между ними	4	1
159	могут оказаться	2	1
160	существу своему	1	1
161	положения в	1	1
162	на что	1	1
163	все то	1	1
164	может не	1	1
165	всяком случае	1	1
166	каждом своем	1	1
167	собой не	1	1
168	сплошь из	1	1
169	где же	1	1
170	не выходит	1	1
171	он говорит	2	1
172	ни на	3	1
173	что это	2	1
174	вовсе не	5	1
175	ни были	1	1
176	ли не	1	1
177	же самое	1	1
178	с одной	1	1
179	может служить	2	1
180	а между	2	1
181	может развиваться	1	1
182	но не	5	1
183	у него	6	1
184	в виде	3	1
185	дело конечно	1	1
186	и страдает	1	1
187	между тем	3	1
188	но как	1	1
189	и по	1	1
190	что на	2	1
191	не меняет	1	1
192	по крайней	1	1
193	бы о	1	1
194	единство не	1	1
195	том и	1	1
196	во всяком	2	1
197	в каждом	11	1
198	они не	1	1
