N	2gram	Bakhtin_Fr_6	Retstnzi
1	не может	4	4
2	и в	41	3
3	в центре	2	2
4	один из	6	2
5	нет и	1	1
6	в особенности	7	1
7	себе все	1	1
8	и не	3	1
9	вещей и	1	1
10	категорий и	1	1
11	не только	10	1
12	связи с	2	1
13	точки зрения	2	1
14	конечно и	4	1
15	во второй	1	1
16	не оказать	1	1
17	но и	13	1
18	и заставляет	1	1
19	не менее	1	1
20	в системе	1	1
21	с другими	3	1
22	тех же	2	1
23	не из	1	1
24	по своим	1	1
25	в ней	4	1
26	в то	6	1
27	с точки	2	1
28	подхода к	1	1
29	истории но	3	1
30	и на	9	1
31	для него	1	1
32	мы видим	6	1
33	и больше	1	1
34	влияния на	2	1
35	в языке	1	1
36	на нее	1	1
37	а не	2	1
38	может быть	2	1
39	вполне понятно	2	1
40	несмотря на	1	1
41	в его	7	1
42	он в	2	1
43	же время	5	1
44	то же	5	1
45	и все	9	1
46	из этих	2	1
47	в каждом	1	1
48	исходя из	1	1
49	бы в	2	1
