N	3gram	Losev_Prob_2	Mirosoze
1	не может быть	3	8
2	есть прежде всего	4	5
3	друг к другу	2	5
4	для того чтобы	2	4
5	что иное как	3	3
6	же как и	1	3
7	до сих пор	4	3
8	так же как	1	3
9	от того что	1	3
10	и в этом	3	3
11	это и есть	2	3
12	есть не что	3	3
13	не что иное	3	3
14	что она не	1	2
15	и той же	2	2
16	подобно тому как	2	2
17	также и в	1	2
18	но это не	1	2
19	с самим собою	1	2
20	может быть и	2	2
21	у нас не	2	2
22	все что было	1	2
23	о том что	14	2
24	одной и той	2	2
25	в том что	4	2
26	и для всякой	1	1
27	том что в	2	1
28	в тот момент	1	1
29	она и есть	1	1
30	прежде всего как	1	1
31	есть та или	1	1
32	обычном смысле слова	1	1
33	ли сказать что	2	1
34	только тогда когда	3	1
35	можно ли сказать	2	1
36	и во многих	1	1
37	но и в	3	1
38	между тем как	1	1
39	а может быть	2	1
40	в этом отношении	1	1
41	несет с собой	1	1
42	на то что	4	1
43	она должна быть	1	1
44	не потому что	1	1
45	в обычном смысле	1	1
46	тому что на	1	1
47	не есть ни	3	1
48	бы для этого	1	1
49	что это за	1	1
50	значение и не	1	1
51	один из моментов	2	1
52	решение вопроса о	1	1
53	на эту тему	2	1
54	и что же	1	1
55	может быть никакого	1	1
56	не то чтобы	1	1
57	что же такое	4	1
58	тому как человек	1	1
59	том что это	1	1
60	в глубине самого	1	1
61	могли бы и	1	1
62	та или иная	2	1
63	она существует для	1	1
64	не может существовать	1	1
65	хотя бы в	1	1
66	можно как угодно	1	1
67	иванов и в	1	1
68	и не знает	1	1
69	той или иной	1	1
70	если бы не	3	1
71	и возможно что	1	1
72	только в этом	1	1
73	из людей не	1	1
74	сама по себе	4	1
75	на самом деле	2	1
76	может не быть	1	1
77	он перестает быть	1	1
78	в конце концов	7	1
