N	3gram	Bakhtin_Fr_1	NovoeSre
1	не может быть	1	4
2	в средние века	4	3
3	в наши дни	1	3
4	xix века и	1	2
5	в нем нет	1	2
6	с одной стороны	2	2
7	с другой стороны	1	2
8	все эти формы	1	2
9	по своей природе	1	1
10	в своем развитии	1	1
11	которые господствовали в	1	1
12	нового времени его	1	1
13	и до сих	1	1
14	в том числе	10	1
15	до сих пор	4	1
16	и не может	1	1
17	в эпоху ренессанса	1	1
18	в эту эпоху	1	1
19	сами по себе	1	1
20	в отличие от	4	1
21	должно было быть	1	1
22	но и в	2	1
23	том числе и	7	1
24	может быть только	1	1
25	и в наши	1	1
26	жизни как в	1	1
27	но нет и	1	1
28	не только в	1	1
29	который в известном	1	1
30	и в большинстве	1	1
31	в известном смысле	1	1
32	не могут быть	1	1
33	это конечно не	1	1
34	во всяком случае	1	1
35	и еще не	3	1
36	и пр в	1	1
37	в значительной степени	2	1
38	имея в виду	1	1
39	это тем что	1	1
40	место в жизни	1	1
41	нового времени не	1	1
42	выходит за пределы	3	1
43	в этой системе	1	1
44	в новое время	3	1
45	в большинстве случаев	2	1
46	нового времени и	3	1
47	они возникают не	1	1
48	в том что	6	1
