N	2gram	Bakhtin_fo_2	SlovoVZh
1	не может	2	16
2	может быть	7	14
3	точки зрения	10	14
4	как бы	10	13
5	и его	12	13
6	таким образом	3	12
7	и в	46	12
8	в нашем	1	11
9	и не	9	10
10	если бы	1	9
11	так как	6	9
12	прежде всего	14	8
13	сказать что	1	7
14	в ней	1	6
15	в том	10	6
16	только в	11	6
17	при этом	6	6
18	с помощью	3	6
19	в нем	5	6
20	слова и	3	6
21	должна быть	1	5
22	то же	8	5
23	в виду	3	5
24	можно сказать	2	5
25	отнюдь не	4	5
26	как в	4	5
27	но в	10	5
28	и др	5	5
29	а не	4	5
30	как и	8	5
31	и следовательно	1	5
32	том что	4	5
33	никогда не	6	5
34	то что	7	5
35	на самом	1	4
36	за пределы	1	4
37	в литературе	2	4
38	в этом	22	4
39	все же	6	4
40	в самом	1	4
41	уже не	3	4
42	не только	11	4
43	отношение к	3	4
44	так и	7	4
45	с другой	2	4
46	что не	1	4
47	не в	9	4
48	его в	6	4
49	дело в	1	4
50	и является	1	4
51	и к	2	4
52	жизни и	8	4
53	и на	7	4
54	здесь не	2	3
55	самом деле	1	3
56	формы и	1	3
57	в котором	4	3
58	в пределах	5	3
59	еще не	6	3
60	мы не	1	3
61	и вообще	1	3
62	о том	4	3
63	но и	9	3
64	между тем	1	3
65	точка зрения	3	3
66	нуждается в	1	3
67	того что	3	3
68	быть и	2	3
69	когда он	1	3
70	и наконец	6	3
71	и ее	1	3
72	все эти	5	3
73	конечно не	4	3
74	в себе	4	3
75	в поэзии	2	3
76	да и	1	3
77	для него	3	3
78	и по	3	3
79	и с	6	3
80	точек зрения	1	3
81	до сих	2	3
82	ни в	1	3
83	в некоторых	2	3
84	и пр	2	3
85	в них	7	3
86	и уже	1	3
87	в своей	1	3
88	так же	2	3
89	этой точки	1	3
90	и более	2	3
91	в содержание	1	3
92	по себе	2	3
93	сих пор	2	3
94	все это	6	3
95	и проч	1	3
96	и для	9	3
97	это как	1	3
98	ее и	2	3
99	так называемой	1	3
100	с ним	4	3
101	на границе	3	3
102	как не	1	2
103	и то	1	2
104	как это	2	2
105	словами и	1	2
106	опираясь на	1	2
107	в себя	2	2
108	действия и	1	2
109	и самое	4	2
110	и совершенно	3	2
111	те же	6	2
112	вещи и	2	2
113	со всех	1	2
114	на материале	1	2
115	мы имеем	2	2
116	в материале	1	2
117	мы в	1	2
118	истории литературы	1	2
119	и здесь	1	2
120	и та	2	2
121	с его	1	2
122	но мы	1	2
123	и что	1	2
124	между собой	1	2
125	в чем	1	2
126	тем как	1	2
127	но конечно	1	2
128	данном случае	1	2
129	в данном	2	2
130	для других	3	2
131	в его	8	2
132	что и	3	2
133	подчеркнуть что	1	2
134	в форме	3	2
135	в своем	5	2
136	в формах	1	2
137	кроме того	3	2
138	как уже	3	2
139	его к	1	2
140	дело с	1	2
141	словом и	2	2
142	и потому	2	2
143	и так	2	2
144	в самое	1	2
145	лежит на	1	2
146	в настоящее	1	2
147	бы не	1	2
148	с одной	2	2
149	выражение в	1	2
150	уже в	4	2
151	и те	1	2
152	имеем в	3	2
153	эта своеобразная	1	2
154	он не	5	2
155	перестает быть	2	2
156	в корне	2	2
157	к ним	2	2
158	мы можем	1	2
159	но что	1	2
160	из него	1	2
161	форма в	2	2
162	одно и	1	2
163	но все	1	2
164	в особенности	6	2
165	влияние на	2	2
166	это не	2	2
167	оно не	1	2
168	себя и	3	2
169	литературы с	1	2
170	более того	1	2
171	одной стороны	1	2
172	до конца	2	2
173	другой стороны	1	2
174	его как	1	2
175	там где	2	2
176	автора и	2	2
177	и слово	1	2
178	смысл и	1	2
179	имеет место	3	2
180	основной тон	1	2
181	вместе с	9	2
182	в отношении	2	2
183	но не	5	2
184	место в	4	2
185	точку зрения	1	2
186	быть только	1	2
187	с этой	4	2
188	она не	2	2
189	с точки	8	2
190	в условиях	1	2
191	такой же	1	2
192	в основном	8	2
