N	4gram	Vygotskiy__5	Freidism
1	одной и той же	2	3
2	один и тот же	1	3
3	ни в чем не	1	2
4	с объективной точки зрения	1	2
5	в зависимости от того	2	2
6	до сих пор не	1	1
7	из того что мы	1	1
8	только потому что оно	1	1
9	на этот вопрос нам	1	1
10	в собственном смысле слова	1	1
11	в самом деле если	2	1
12	том что с точки	1	1
13	отличает его от других	1	1
14	ответ на этот вопрос	2	1
15	самом деле если мы	1	1
16	в том что в	1	1
17	то это означает что	1	1
18	что с точки зрения	1	1
19	в данном случае в	1	1
