1	в то же время	3	5
2	присутствия я в мире	1	5
3	состоит в том что	4	4
4	не следует смешивать с	1	3
5	одного и того же	1	3
6	имеет в своем составе	1	2
7	осмысленном и конкретном целом	1	1
8	слияние пространственных и временных	1	1
9	как раз в том	1	1
10	точно так же как	2	1
11	а не все что	1	1
12	не отделен от своей	1	1
13	его поступки только раскрывают	1	1
14	в данном случае это	1	1
15	раз в том что	1	1
16	не что иное как	1	1
17	и временных примет в	1	1
18	своей судьбы они едины	1	1
19	временных примет в осмысленном	1	1
20	специфически человеческий способ существования	1	1
21	внеличную сторону индивида и	1	1
22	только раскрывают содержание судьбы	1	1
23	никак не может быть	1	1
24	отделен от своей судьбы	1	1
25	они едины судьба выражает	1	1
26	и его поступки только	1	1
27	и в то же	1	1
28	от своей судьбы они	1	1
29	судьбы они едины судьба	1	1
30	есть не что иное	1	1
31	в той или иной	1	1
32	в том или ином	1	1
33	поступки только раскрывают содержание	1	1
34	не несет в себе	1	1
35	имеет место слияние пространственных	1	1
36	индивида и его поступки	1	1
37	в осмысленном и конкретном	1	1
38	едины судьба выражает внеличную	1	1
39	той мере в какой	2	1
40	сторону индивида и его	1	1
41	примет в осмысленном и	1	1
42	во всей его полноте	1	1
43	пространственных и временных примет	1	1
44	позицию по отношению к	1	1
45	место слияние пространственных и	1	1
46	следует иметь в виду	1	1
47	мы имеем дело с	2	1
48	выражает внеличную сторону индивида	1	1
49	того или иного рода	1	1
50	и здесь мы имеем	1	1
51	как уже говорилось выше	1	1
52	судьба выражает внеличную сторону	1	1
53	в той мере в	2	1
