N	2gram	Bakhtin_sl_2	Literetu
1	и не	22	22
2	в мире	1	16
3	и в	39	16
4	х годов	2	15
5	при этом	7	15
6	в этом	16	14
7	не только	24	14
8	но и	21	14
9	в том	5	12
10	может быть	37	12
11	а не	14	12
12	то что	2	12
13	в частности	1	11
14	не в	9	10
15	то же	4	9
16	так и	15	9
17	в то	4	9
18	того что	1	9
19	в этой	1	8
20	том что	5	8
21	не может	20	8
22	к себе	1	8
23	как бы	7	8
24	в своей	1	7
25	же время	4	7
26	только в	5	7
27	себя в	8	7
28	в противовес	2	7
29	точки зрения	8	7
30	еще не	7	6
31	с его	7	6
32	в себе	2	6
33	в другом	2	6
34	о том	2	6
35	и его	33	6
36	в его	7	6
37	и т.п	2	6
38	с другой	5	6
39	в отличие	12	5
40	отличие от	13	5
41	как в	13	5
42	в целом	1	5
43	то есть	26	5
44	лишь в	3	5
45	это не	5	5
46	как и	6	5
47	в основе	4	5
48	этом отношении	3	5
49	что он	2	5
50	в качестве	1	5
51	в поэзии	2	5
52	именно в	2	5
53	а именно	2	5
54	вместе с	2	5
55	особого рода	1	5
56	а в	4	5
57	одним из	2	4
58	но не	6	4
59	по отношению	4	4
60	в рамках	1	4
61	хотя и	2	4
62	входит в	4	4
63	должно быть	1	4
64	место в	1	4
65	однако в	2	4
66	даже в	2	4
67	никогда не	7	4
68	а также	3	4
69	с одной	5	4
70	одно из	1	4
71	в одном	2	4
72	как у	1	4
73	до конца	17	4
74	одной стороны	5	4
75	в данном	2	4
76	и для	5	4
77	жизни в	2	4
78	отношению к	4	4
79	отношения к	4	3
80	например в	5	3
81	для которого	1	3
82	той же	3	3
83	с ее	2	3
84	но уже	1	3
85	в сторону	1	3
86	отнюдь не	1	3
87	однако не	1	3
88	и как	3	3
89	и наконец	5	3
90	и к	6	3
91	но в	6	3
92	бы и	3	3
93	на его	2	3
94	и тем	1	3
95	в слове	6	3
96	с точки	3	3
97	только для	1	3
98	произведения в	1	3
99	по своей	1	3
100	в области	2	3
101	еще в	1	3
102	прежде всего	8	3
103	между тем	3	3
104	все время	1	3
105	ни к	2	3
106	уже не	5	3
107	в самом	1	3
108	наконец в	4	3
109	более того	2	3
110	мира в	1	3
111	как это	3	3
112	в иных	1	3
113	там где	6	3
114	это как	1	3
115	в романе	46	3
116	жизни и	6	3
117	том числе	1	3
118	того же	1	2
119	установка на	2	2
120	как мы	7	2
121	и на	4	2
122	во всех	12	2
123	отношение к	4	2
124	без другого	1	2
125	стороны и	3	2
126	все же	6	2
127	могли бы	1	2
128	как таковое	1	2
129	не знает	2	2
130	он в	1	2
131	объекта в	1	2
132	на то	1	2
133	все они	2	2
134	в нем	19	2
135	этом с	1	2
136	человека в	5	2
137	и с	9	2
138	его в	4	2
139	знает что	1	2
140	действительности в	1	2
141	и даже	7	2
142	здесь это	2	2
143	той или	5	2
144	далеко не	2	2
145	не всегда	2	2
146	несмотря на	1	2
147	еще раз	3	2
148	и при	2	2
149	и ее	1	2
150	в конце	1	2
151	по себе	5	2
152	автора и	2	2
153	не менее	4	2
154	с которой	1	2
155	как о	2	2
156	в нас	1	2
157	того чтобы	2	2
158	текста и	1	2
159	как раз	1	2
160	другой стороны	1	2
161	а лишь	2	2
162	числе и	1	2
163	этот путь	1	2
164	с образом	1	2
165	то она	1	2
166	и сам	1	2
167	не с	3	2
168	здесь как	2	2
169	во второй	1	2
170	мира и	5	2
171	о нем	2	2
172	можно сказать	1	2
173	оставляет в	2	2
174	что и	3	2
175	во всей	1	2
176	и только	1	2
177	в ту	1	2
178	и об	1	2
179	как например	2	2
180	здесь не	4	2
181	вне себя	2	2
182	с ними	5	2
183	со всеми	2	2
184	связи с	3	2
185	решающее значение	1	2
186	за ним	1	2
187	для него	7	2
188	тем что	1	2
189	для того	2	2
190	или иной	5	2
191	или иначе	1	2
192	себя и	4	2
193	что не	1	2
194	а на	1	2
195	и выше	1	2
196	все более	1	2
197	я говорю	1	2
198	и потому	7	2
199	какого бы	1	2
200	xix века	4	2
201	в самый	1	2
202	быть только	1	2
203	автором и	1	2
204	один из	5	2
205	за его	1	2
206	сознания и	1	2
207	что в	3	2
208	же в	1	2
209	романа и	5	2
210	а со	1	2
211	в свою	3	2
212	оно не	8	2
213	эти слова	2	2
214	в своих	1	2
215	к этому	1	2
216	и наиболее	1	1
217	как известно	1	1
218	от этой	1	1
219	и т	35	1
220	это и	2	1
221	идет о	1	1
222	и есть	1	1
223	между двумя	1	1
224	из самых	1	1
225	его же	1	1
226	по преимуществу	1	1
227	и до	1	1
228	оно было	2	1
229	все те	1	1
230	романный герой	1	1
231	с таким	2	1
232	которое может	1	1
233	и за	1	1
234	мы уже	2	1
235	всей ее	1	1
236	есть образ	1	1
237	в филологических	1	1
238	к художественному	1	1
239	от художественного	1	1
240	во внешнюю	1	1
241	в последнем	1	1
242	говорить о	3	1
243	само слово	1	1
244	к началу	1	1
245	и со	1	1
246	не знают	1	1
247	романного героя	1	1
248	этот как	1	1
249	в ней	3	1
250	проявляется в	1	1
251	герой может	1	1
252	было стать	1	1
253	такое отношение	1	1
254	он сам	1	1
255	мысли и	1	1
256	быть в	1	1
257	этой почве	1	1
258	в чем	3	1
259	и себе	1	1
260	тем как	1	1
261	в создании	1	1
262	к которой	1	1
263	остаются в	1	1
264	не просто	1	1
265	человеку и	1	1
266	за пределы	2	1
267	сама по	3	1
268	внешних и	1	1
269	к сожалению	1	1
270	в истории	11	1
271	независимо от	2	1
272	с этим	2	1
273	к высокому	1	1
274	в своем	6	1
275	перед нами	3	1
276	сознания в	1	1
277	героев достоевского	1	1
278	более или	2	1
279	все новые	1	1
280	или иную	1	1
281	за собой	1	1
282	для второй	1	1
283	себе как	2	1
284	в нашем	2	1
285	и еле	1	1
286	т п	33	1
287	уже в	2	1
288	то центральная	1	1
289	ее как	1	1
290	как он	2	1
291	так сказать	6	1
292	вообще не	1	1
293	не знающий	1	1
294	больше всего	1	1
295	тем не	1	1
296	он не	2	1
297	при определенных	1	1
298	с глубокой	1	1
299	и еще	1	1
300	в корне	1	1
301	целом как	1	1
302	века это	1	1
303	людей и	2	1
304	прежде чем	1	1
305	интерес в	1	1
306	внутреннюю устремленность	1	1
307	слова и	8	1
308	значение в	2	1
309	его не	4	1
310	высказывания и	1	1
311	на все	1	1
312	с другими	4	1
313	его аудитории	1	1
314	что неизбежно	1	1
315	а просто	2	1
316	даже по	1	1
317	том пути	1	1
318	в них	6	1
319	ослабление и	1	1
320	о которых	1	1
321	все равно	1	1
322	в самую	1	1
323	этого не	1	1
324	и уже	1	1
325	и вне	2	1
326	чем в	2	1
327	ведет к	1	1
328	говорящего как	3	1
329	на таких	1	1
330	на пути	1	1
331	проникнуть во	1	1
332	на первый	1	1
333	вообще очень	1	1
334	что такое	1	1
335	сознания но	1	1
336	в их	2	1
337	ее же	1	1
338	самого человека	1	1
339	лишь тогда	2	1
340	и новый	1	1
341	не столько	3	1
342	всегда остается	1	1
343	но это	3	1
344	но он	2	1
345	как от	1	1
346	в таких	1	1
347	новые и	1	1
348	бы быть	1	1
349	вовсе не	10	1
350	в историческом	2	1
351	и герой	1	1
352	например и	1	1
353	романа с	1	1
354	в отношении	4	1
355	с миром	1	1
356	она не	6	1
357	тогда когда	2	1
358	и притом	1	1
359	к новым	1	1
360	и остается	3	1
361	в процессе	13	1
362	и внутренней	2	1
363	самого по	1	1
364	в игру	1	1
365	для всего	1	1
366	только не	1	1
367	мышления и	5	1
368	борьба с	4	1
369	здесь может	1	1
370	слова как	2	1
371	эпохи в	1	1
372	и другими	1	1
373	во всем	4	1
374	всей жизни	1	1
375	как ни	1	1
376	себе во	1	1
377	языка который	1	1
378	слова о	2	1
379	входят в	2	1
380	не столь	1	1
381	интересам и	1	1
382	в образах	1	1
383	именно такой	1	1
384	xx века	1	1
385	и всех	1	1
386	как только	1	1
387	его понимании	1	1
388	значительной степени	6	1
389	самую гущу	1	1
390	чтобы стать	1	1
391	значение это	1	1
392	правда не	1	1
393	и о	1	1
394	в виду	1	1
395	свою очередь	2	1
396	остается в	5	1
397	с каким	1	1
398	и от	3	1
399	языка и	9	1
400	исторической жизни	3	1
401	чтобы быть	1	1
402	так в	2	1
403	материала для	1	1
404	на том	1	1
405	с собой	1	1
406	здесь нет	1	1
407	в чужом	4	1
408	эпохи эта	1	1
409	для этого	4	1
