N	2gram	Nazirov_Tv_2	Formalny
1	и в	20	38
2	в этом	8	27
3	может быть	8	23
4	и его	9	21
5	таким образом	10	20
6	и не	9	20
7	в самом	3	16
8	не в	4	15
9	прежде всего	8	15
10	и т	13	14
11	не может	7	14
12	в нем	3	13
13	связи с	1	13
14	но и	8	13
15	в пределах	1	12
16	в поэзии	1	12
17	с его	1	11
18	в том	8	11
19	вовсе не	2	11
20	с другими	2	10
21	в его	10	10
22	в связи	1	10
23	не только	13	9
24	при этом	8	9
25	и с	8	9
26	как и	6	9
27	т п	2	9
28	в процессе	2	9
29	самом деле	2	8
30	отнюдь не	4	8
31	все же	5	8
32	так и	6	8
33	что и	1	8
34	тем что	3	8
35	в первом	1	7
36	как мы	1	7
37	лишь в	1	7
38	по себе	1	7
39	для него	3	7
40	в своей	6	7
41	уже не	3	7
42	не могут	1	7
43	что в	7	7
44	художественного произведения	1	6
45	и ее	2	6
46	в истории	2	6
47	все эти	4	6
48	в этой	5	6
49	то же	7	6
50	было бы	1	6
51	он не	3	6
52	в их	3	6
53	могут быть	2	6
54	все время	2	6
55	только в	2	6
56	то что	3	6
57	не было	2	6
58	вместе с	3	6
59	а не	6	6
60	как раз	1	6
61	в результате	1	6
62	а в	4	6
63	это и	1	5
64	по преимуществу	2	5
65	в первый	1	5
66	говорить о	2	5
67	во всех	1	5
68	т д	11	5
69	в то	10	5
70	в основе	2	5
71	же время	7	5
72	ни о	1	5
73	если бы	4	5
74	сводится к	2	5
75	и должно	1	5
76	и только	2	5
77	что он	6	5
78	всяком случае	2	5
79	именно в	6	5
80	с этим	1	5
81	что же	1	5
82	более того	2	5
83	и для	1	5
84	еще более	1	5
85	или иного	1	5
86	во всяком	2	5
87	высшей степени	1	4
88	литературы и	1	4
89	что оно	1	4
90	что они	4	4
91	как в	4	4
92	и наконец	2	4
93	и к	1	4
94	в статье	2	4
95	входит в	1	4
96	в высшей	1	4
97	мы видели	1	4
98	не столько	2	4
99	как о	2	4
100	ничего не	4	4
101	к тому	1	4
102	в дальнейшем	4	4
103	того или	1	4
104	но в	4	4
105	в большинстве	1	4
106	что не	3	4
107	из них	2	4
108	так как	3	4
109	не о	1	4
110	и даже	5	4
111	другой стороны	2	4
112	на фоне	1	4
113	мы говорим	1	4
114	как бы	11	4
115	совершенно не	1	4
116	к этому	3	4
117	б м	2	3
118	например в	5	3
119	же как	3	3
120	и отчасти	3	3
121	и до	1	3
122	из всего	1	3
123	мы не	4	3
124	то это	1	3
