N	3gram	Bakhtin_Fr_7	UchenyiS
1	то же время	9	3
2	в то же	9	3
3	и в этой	2	2
4	в этом смысле	1	2
5	материала и формы	1	2
6	то же самое	1	2
7	уже знакомая нам	1	2
8	в этом отношении	2	2
9	в том что	3	2
10	в конце концов	4	2
11	все они в	2	1
12	более или менее	2	1
13	имеем в виду	2	1
14	одним из самых	1	1
15	на первый план	1	1
16	но по существу	2	1
17	сам по себе	1	1
18	в той же	1	1
19	таким образом на	1	1
20	является одним из	1	1
21	он знает только	1	1
22	с тем что	1	1
23	и прежде всего	1	1
24	и все они	2	1
25	также несомненно и	1	1
26	мы имеем в	2	1
27	в этой же	1	1
28	и у других	1	1
29	то что было	1	1
30	все это в	2	1
31	в данном случае	1	1
32	но именно этот	1	1
33	но в то	3	1
34	не только в	1	1
