N	2gram	Berdyaev_M_1	Tragedij
1	и в	28	18
2	петра верховенского	1	17
3	и оскорбленных	1	17
4	униженных и	1	16
5	в этом	20	9
6	в бесах	2	9
7	не только	29	8
8	он сам	6	7
9	и с	3	7
10	и на	6	7
11	достоевский в	5	7
12	может быть	30	7
13	как бы	2	7
14	и не	11	7
15	но в	7	6
16	и его	9	6
17	в образе	1	6
18	что он	10	6
19	у него	17	6
20	все же	2	5
21	это не	5	5
22	как и	5	5
23	в то	2	5
24	так и	1	5
25	это очень	3	5
26	не может	28	5
27	к жизни	1	5
28	у достоевского	42	5
29	я не	1	4
30	еще не	1	4
31	в себе	7	4
32	что достоевский	4	4
33	в этой	6	4
34	в нем	13	4
35	об этом	1	4
36	том что	3	4
37	что я	1	4
38	достоевский не	6	4
39	и что	2	4
40	но и	25	4
41	и даже	1	4
42	прежде всего	10	4
43	так же	1	4
44	но это	1	4
45	все это	6	4
46	что в	10	4
47	и все	10	4
48	то что	5	4
49	к людям	1	3
50	достоевского в	9	3
51	в мире	10	3
52	и он	12	3
53	как в	2	3
54	в своем	10	3
55	и как	2	3
56	все эти	2	3
57	то есть	3	3
58	должно быть	3	3
59	сам достоевский	3	3
60	о чем	2	3
61	и сам	1	3
62	мог бы	4	3
63	жизнь и	1	3
64	с ним	2	3
65	к нему	7	3
66	в его	9	3
67	один из	4	3
68	уже в	4	3
69	записках из	1	3
70	для него	11	3
71	никто не	2	3
72	в конце	7	3
73	как будто	2	3
74	ставрогина и	1	3
75	ивана карамазова	7	2
76	вряд ли	3	2
77	из самых	8	2
78	и до	1	2
79	она все	1	2
80	а как	2	2
81	отказывается от	1	2
82	никогда не	14	2
83	и то	1	2
84	он был	14	2
85	не был	7	2
86	в преступлении	2	2
87	с его	3	2
88	отношение к	4	2
89	отличие от	1	2
90	так что	1	2
91	и я	5	2
92	как говорит	1	2
93	о жизни	1	2
94	романах достоевского	1	2
95	это был	1	2
96	говорит что	1	2
97	в самом	11	2
98	бы и	3	2
99	то и	1	2
100	зла в	4	2
101	в записках	1	2
102	он не	24	2
103	что она	1	2
104	ее жизни	1	2
105	его в	3	2
106	знает что	1	2
107	дома и	1	2
108	в это	1	2
109	к области	1	2
110	нет в	4	2
111	с тем	9	2
112	не мог	3	2
113	в отличие	1	2
114	вопрос о	2	2
115	не в	16	2
116	этими двумя	1	2
117	в трагической	1	2
118	не имеет	3	2
119	достоевским в	2	2
120	не могут	5	2
121	он и	2	2
122	к тому	3	2
123	и это	12	2
124	в ее	3	2
125	веру в	4	2
126	еще в	2	2
127	как у	1	2
128	а что	1	2
129	ничего не	3	2
130	о том	2	2
131	в глаза	1	2
132	что и	4	2
133	и великий	1	2
134	бросается в	1	2
135	в том	6	2
136	между этими	1	2
137	и ее	1	2
138	человеческой личности	4	2
139	уже не	4	2
140	в душе	1	2
141	не так	3	2
142	в одном	1	2
143	тем что	4	2
144	чем он	1	2
145	в самую	5	2
146	говорит о	1	2
147	до конца	14	2
148	под влиянием	1	2
149	было в	1	2
150	с первого	1	2
151	о его	1	2
152	устремлен к	2	2
153	для достоевского	5	2
154	потому что	16	2
155	личности и	1	2
156	в частности	1	2
157	мертвого дома	1	2
158	русской литературы	5	2
159	бунта против	1	2
160	эта новая	1	1
161	я и	1	1
162	только он	1	1
163	ту же	1	1
164	также что	1	1
165	и т	1	1
166	одним из	2	1
167	достоевский но	1	1
168	от самой	1	1
169	человека и	14	1
170	и др	1	1
171	самом деле	1	1
172	это и	4	1
173	и есть	14	1
174	проникает в	2	1
175	должна быть	6	1
176	высшей степени	2	1
177	имя его	1	1
178	века в	2	1
179	и психологической	1	1
180	– ставрогин	1	1
181	не вполне	1	1
182	ему в	1	1
183	средство для	1	1
184	в виду	2	1
185	не способен	1	1
186	в ней	15	1
187	литературы и	2	1
188	и доброго	1	1
189	или от	2	1
190	его ума	1	1
191	и мира	3	1
192	во всех	1	1
193	но не	8	1
194	отказ от	1	1
195	и достоевский	12	1
196	за пределы	4	1
197	и петра	1	1
198	в истории	2	1
199	вызывает в	1	1
200	писателя в	1	1
201	в центре	2	1
202	вот я	1	1
203	человеческая личность	1	1
204	достоевского не	4	1
205	и наконец	1	1
206	силе и	1	1
207	идеи но	2	1
208	чего же	2	1
209	добро и	3	1
210	со своей	1	1
211	в которой	6	1
212	дьявол и	1	1
213	он в	2	1
214	бы не	2	1
215	страсти я	1	1
216	имеет для	1	1
217	только один	2	1
218	как он	2	1
219	вы так	1	1
220	если он	5	1
221	в братьях	3	1
222	жизни ее	1	1
223	человек не	10	1
224	вообще не	2	1
225	что без	2	1
226	идей и	3	1
227	одержимость идеей	1	1
228	между достоевским	1	1
229	которой не	1	1
230	и еще	3	1
231	не значит	2	1
232	ставрогине и	1	1
233	чем у	4	1
234	к одному	1	1
235	не к	4	1
236	не как	4	1
237	страдания и	2	1
238	в россии	2	1
239	и по	4	1
240	на этом	3	1
241	что сам	1	1
242	от нее	5	1
243	же не	1	1
244	и чтобы	1	1
245	на все	1	1
246	лишь в	6	1
247	это было	1	1
248	заключается в	1	1
249	мира сего	2	1
250	которым все	2	1
251	против бога	4	1
252	быть не	2	1
253	с начала	1	1
254	в них	4	1
255	достоевский и	3	1
256	он же	1	1
257	достоевского и	10	1
258	в высшей	2	1
259	что ему	1	1
260	из подполья	10	1
261	мировой литературы	1	1
262	всю жизнь	4	1
263	которой он	1	1
264	когда я	1	1
265	с такой	1	1
266	ведет к	6	1
267	же я	1	1
268	перед собой	1	1
269	все герои	2	1
270	но если	3	1
271	в гюго	2	1
272	в своей	15	1
273	этой связи	1	1
274	в такой	1	1
275	эта тема	1	1
276	достоевский всегда	1	1
277	в котором	8	1
278	знает и	1	1
279	не столько	1	1
280	понимал что	1	1
281	должны были	1	1
282	знал и	1	1
283	стало быть	1	1
284	сам же	1	1
285	и вот	3	1
286	но он	9	1
287	смертной казни	1	1
288	в ставрогине	1	1
289	и тайны	1	1
290	открывается в	2	1
291	возвращается к	2	1
292	этого зла	1	1
293	достоевского так	1	1
294	что христос	2	1
295	не менее	1	1
296	вплоть до	1	1
297	не раз	1	1
298	она не	4	1
299	на земле	2	1
300	в обоих	1	1
301	россии но	1	1
302	достоевский никогда	1	1
303	как его	1	1
304	карамазова в	1	1
305	он еще	1	1
306	от достоевского	1	1
307	личности при	1	1
308	творчества достоевского	1	1
309	глава i	1	1
310	на путях	3	1
311	до самой	4	1
312	в самой	7	1
313	трагической судьбы	1	1
314	к ней	4	1
315	и добро	1	1
316	по своей	2	1
317	для нас	3	1
318	не нужен	1	1
319	в бунте	1	1
320	в области	1	1
321	нашей эпохи	2	1
322	но все-таки	1	1
323	xx века	1	1
324	в момент	3	1
325	к себе	1	1
326	своей книге	1	1
327	могут быть	2	1
328	свободы ибо	1	1
329	быть свободен	1	1
330	его с	2	1
331	всего что	2	1
332	не есть	9	1
333	в бога	2	1
334	и о	1	1
335	того чтобы	2	1
336	людей в	1	1
337	достоевского к	5	1
338	в душу	1	1
339	настасьи филипповны	1	1
340	роль в	1	1
341	человека с	2	1
342	природе своей	1	1
343	к окончательному	1	1
344	с собой	3	1
345	можно было	1	1
346	по природе	1	1
347	когда его	1	1
348	по сравнению	2	1
349	с человека	1	1
350	быть может	7	1
351	в эпоху	1	1
352	говорил что	1	1
353	себя а	1	1
354	разрушения и	1	1
355	достоевского все	4	1
356	она всегда	1	1
357	с того	2	1
358	своеволия в	1	1
359	раскольникова и	2	1
360	толстой и	3	1
361	чтобы не	2	1
362	внешней формы	1	1
363	от него	4	1
364	восходит к	1	1
365	все в	6	1
366	а достоевский	1	1
367	доходит до	1	1
368	добра и	5	1
369	между тем	1	1
370	достоевского тема	1	1
371	все время	1	1
372	и она	2	1
373	о своих	2	1
374	xix век	1	1
375	того что	7	1
376	с судьбой	3	1
377	в новой	1	1
378	мы видим	2	1
379	только в	6	1
380	во всем	1	1
381	в обществе	1	1
382	против всех	1	1
383	лишь бы	1	1
384	и хочу	1	1
385	он очень	1	1
386	завершения в	1	1
387	отцов и	1	1
388	рассказывает о	1	1
389	самостоятельное значение	1	1
390	него нет	1	1
391	одно из	3	1
392	на первую	1	1
393	и их	3	1
394	всяком случае	1	1
395	т п	1	1
396	ее не	1	1
397	к ним	1	1
398	братьях карамазовых	3	1
399	идет в	1	1
400	характерны для	1	1
401	и вместе	4	1
402	мир на	1	1
403	рядом с	1	1
404	и возвращается	1	1
405	пафос его	3	1
406	русской интеллигенции	1	1
407	человек слишком	1	1
408	что не	1	1
409	обратиться к	1	1
410	не было	18	1
411	а на	1	1
412	попал в	1	1
413	на этот	2	1
414	в муках	3	1
