N	3gram	Vygotskiy__5	VelikijI
1	к тому что	1	3
2	том что он	2	2
3	вместо того чтобы	3	2
4	в вопросе о	1	2
5	в том что	11	2
6	но все же	2	1
7	видим что все	1	1
8	и во всяком	1	1
9	что в известном	2	1
10	то и другое	2	1
11	в нем но	1	1
12	вместе с тем	2	1
13	так как она	2	1
14	что он был	1	1
15	того что он	1	1
16	потому что оно	1	1
17	в известном смысле	7	1
18	не могут быть	1	1
19	тем что они	1	1
20	с другой стороны	2	1
21	по сравнению с	5	1
22	так и в	1	1
23	и вместе с	1	1
24	и никогда не	1	1
25	мы видим что	2	1
26	в духе его	1	1
27	и что в	1	1
