N	2gram	Tiupa_Narr_1	ViktorSh
1	в книге	1	3
2	а.н веселовского	1	2
3	в том	18	2
4	и в	19	2
5	в конце	1	2
6	том что	14	2
7	дело в	1	1
8	речи и	1	1
9	как же	1	1
10	только в	4	1
11	и не	20	1
12	в другом	1	1
13	то же	4	1
14	по крайней	1	1
15	этом и	1	1
16	все время	1	1
17	и его	5	1
18	в которых	1	1
19	да и	4	1
20	сколь и	1	1
21	в этом	17	1
22	крайней мере	1	1
23	столь же	3	1
24	сводится к	3	1
25	том же	1	1
26	в их	1	1
27	именно в	6	1
28	и только	2	1
29	и то	1	1
30	в частности	14	1
31	по поводу	1	1
32	собственно и	1	1
33	потому что	1	1
34	юноши в	1	1
35	далеко не	5	1
36	чего не	1	1
37	впрочем не	1	1
38	хотя бы	4	1
39	в значительной	2	1
40	в самом	1	1
41	время в	2	1
42	все то	2	1
43	и т.д	7	1
44	на одном	1	1
45	от других	1	1
46	по существу	2	1
47	даже не	3	1
48	бы уже	1	1
49	но это	1	1
50	самом деле	2	1
51	значительной степени	2	1
52	тем более	2	1
