N	4gram	Trubetskoy_1	Psycholo
1	указывает на то что	1	3
2	заключается в том что	1	3
3	несмотря на то что	1	2
4	дело в том что	1	1
5	таким образом оказывается что	1	1
6	одного и того же	1	1
7	в том числе и	1	1
8	и более или менее	1	1
9	в самом деле для	1	1
10	только в том случае	2	1
11	точно так же и	1	1
12	в том случае если	3	1
13	что с точки зрения	1	1
14	даже тогда когда они	1	1
15	и во всяком другом	1	1
16	одну и ту же	1	1
17	то совершенно ясно что	1	1
18	точно так же как	1	1
19	состоит в том чтобы	1	1
20	в том случае когда	1	1
21	можно ли представить себе	1	1
