N	3gram	Bakhtin_Fr_2	SlovoVZh
1	по отношению к	1	11
2	не может быть	4	7
3	можно сказать что	2	5
4	дело в том	1	4
5	так как если	1	4
6	как если бы	1	4
7	в том что	1	4
8	и не может	1	3
9	до сих пор	4	3
10	это как бы	1	3
11	в художественном произведении	1	3
12	в какой степени	1	2
13	смысл и значение	2	2
14	имеем в виду	2	2
15	на самом деле	1	2
16	с другой стороны	3	2
17	да и вообще	1	2
18	одной стороны и	1	2
19	с точки зрения	5	2
20	до известной степени	1	2
21	мы можем сказать	1	2
22	находит свое выражение	1	2
23	в настоящее время	1	2
24	с одной стороны	3	2
25	но прежде всего	3	1
26	но все же	2	1
27	один и тот	1	1
28	все разобранные нами	1	1
29	и др все	1	1
30	ровно ничего не	1	1
31	все более и	1	1
32	во всяком случае	2	1
33	мы уже сказали	1	1
34	одна и та	1	1
35	здесь же мы	1	1
36	самом же деле	1	1
37	свое выражение в	1	1
38	самом деле в	1	1
39	определяется прежде всего	1	1
40	то что для	2	1
41	подчеркнем еще раз	1	1
42	и стиль и	1	1
43	ни в коем	1	1
44	но и в	4	1
45	в них и	1	1
46	и та же	1	1
47	здесь мы должны	1	1
48	на самом же	1	1
49	о том что	3	1
50	но все это	1	1
51	только то что	2	1
52	в этом отношении	3	1
53	но несмотря на	2	1
54	адекватное выражение в	1	1
55	более и более	1	1
56	и прежде всего	1	1
57	то же время	6	1
58	подобно тому как	2	1
59	как мы уже	3	1
60	включает в себя	2	1
61	мы имеем в	1	1
62	в то же	6	1
63	в коем случае	1	1
64	в них всегда	1	1
65	еще раз подчеркнуть	1	1
66	как не может	1	1
67	в значительной степени	2	1
68	все эти три	1	1
69	еще раз что	1	1
70	как и в	1	1
71	далеко не всегда	1	1
72	но в то	3	1
73	это прежде всего	1	1
74	коем случае нельзя	1	1
75	речь и в	1	1
76	в том же	1	1
77	и тот же	1	1
